step,Delta,mechanics_epochs,phase_epochs,mechanics_substep_loss,phase_substep_loss,elastic_energy,fracture_energy,alpha_mean,alpha_max,alpha_min,alpha_gt_0p5_area_fraction,max_He_current,max_He_current_x,max_He_current_y,max_He_history,max_He_history_x,max_He_history_y,max_mechanics_drive,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,bottom_right_alpha_max,bottom_right_to_notch_alpha_ratio,notch_tip_He_current_max,bottom_right_He_current_max,bottom_right_to_notch_He_current_ratio,reaction_N_tm_eff
0,1e-06,50,50,-1.7818745374679565,-5.8449788093566895,0.0006853771628811955,7.834504458514857e-07,0.9805888533592224,0.9992987513542175,0.0076186261139810085,0.9910374283790588,28710.275390625,0.0007712205406278372,0.004412472248077393,28710.275390625,0.0007712205406278372,0.004412472248077393,28710.275390625,0.0007712205406278372,0.004412472248077393,0.9977188110351562,0.9977188110351562,1.0,167.02352905273438,12.899763107299805,0.07723320888057011,-512.938232421875
1,5e-06,50,50,-3.476808786392212,-5.8522562980651855,0.00030837691156193614,7.951842917464091e-07,0.9998484253883362,1.0013313293457031,0.8432983756065369,1.0,48340.17578125,0.008311598561704159,0.00340937077999115,48340.17578125,0.008311598561704159,0.00340937077999115,48340.17578125,0.008311598561704159,0.00340937077999115,0.999989926815033,0.9998953342437744,0.9999054064758834,812.2034912109375,27.795761108398438,0.03422265652534556,-1224.6480712890625
2,1e-05,50,50,-3.579193592071533,-5.734650611877441,0.00025749095948413014,7.957864340824017e-07,0.999954342842102,1.0004136562347412,0.9723150134086609,1.0,42556.15625,0.0031492894049733877,0.0046048853546381,48340.17578125,0.008311598561704159,0.00340937077999115,48340.17578125,0.008311598561704159,0.00340937077999115,1.000001072883606,0.9997613430023193,0.9997602703759154,39064.8515625,9.170427322387695,0.000234748807574909,-1554.2677001953125
3,1.5e-05,50,50,-3.5361008644104004,-5.6436381340026855,0.000282649154542014,7.959433787618764e-07,0.9999862909317017,1.0003222227096558,0.9993807673454285,1.0,37571.98046875,0.007818197831511497,0.005001684185117483,48340.17578125,0.008311598561704159,0.00340937077999115,48340.17578125,0.008311598561704159,0.00340937077999115,1.0000011920928955,0.9998838901519775,0.9998826981989166,6174.48974609375,48.69511032104492,0.00788649950416576,-1150.83544921875
4,2e-05,50,50,-3.459075450897217,-5.588103771209717,0.0003463386674411595,7.959580443639425e-07,0.99998939037323,1.0001194477081299,0.9996113181114197,1.0,41447.7109375,0.00852828100323677,0.00451709283515811,48340.17578125,0.008311598561704159,0.00340937077999115,48340.17578125,0.008311598561704159,0.00340937077999115,1.0000019073486328,0.9998912215232849,0.9998893143857681,7335.39990234375,3.576087474822998,0.0004875109090753722,-1132.7021484375
5,2.5e-05,50,50,-3.4705631732940674,-5.535333633422852,0.0003338624956086278,7.959654340083944e-07,0.9999918341636658,1.000083565711975,0.9997481107711792,1.0,56623.1484375,0.007005487568676472,0.00396496057510376,56623.1484375,0.007005487568676472,0.00396496057510376,56623.1484375,0.007005487568676472,0.00396496057510376,1.0000009536743164,0.9998947978019714,0.999893844228893,8374.521484375,67.84646606445312,0.008101533465648108,-1737.142333984375
6,3e-05,50,50,-3.5922484397888184,-5.507714748382568,0.0002519161207601428,7.959696404213901e-07,0.9999929070472717,1.0000264644622803,0.9998019933700562,1.0,25674.4453125,0.0010705174645408988,0.004457532428205013,56623.1484375,0.007005487568676472,0.00396496057510376,56623.1484375,0.007005487568676472,0.00396496057510376,1.0000017881393433,0.9998806715011597,0.9998788835783895,7030.5849609375,58.00675964355469,0.008250630632563996,-1084.186767578125
7,3.5e-05,50,50,-3.466002941131592,-5.476654052734375,0.000333332980517298,7.95973733147548e-07,0.999993622303009,1.0000174045562744,0.9998345375061035,1.0,44239.7578125,0.009039635770022869,0.0065123639069497585,56623.1484375,0.007005487568676472,0.00396496057510376,56623.1484375,0.007005487568676472,0.00396496057510376,1.0000019073486328,0.9998814463615417,0.9998795392426696,4327.509765625,31.59113311767578,0.007300072057287024,-1125.485107421875
8,4e-05,50,50,-3.422961711883545,-5.438807964324951,0.0003729855816345662,7.959770869092608e-07,0.9999943971633911,1.000013828277588,0.9998018741607666,1.0,102034.453125,0.008078373968601227,0.0042577870190143585,102034.453125,0.008078373968601227,0.0042577870190143585,102034.453125,0.008078373968601227,0.0042577870190143585,1.0000026226043701,0.9998838305473328,0.9998812082545064,10117.0224609375,50.53341293334961,0.004994889862947572,-2088.284912109375
9,4.5e-05,50,50,-3.4433202743530273,-5.417377948760986,0.0003583657671697438,7.959797585499473e-07,0.9999948143959045,1.0000089406967163,0.999846875667572,1.0,31228.30859375,0.003004756523296237,0.006459913682192564,102034.453125,0.008078373968601227,0.0042577870190143585,102034.453125,0.008078373968601227,0.0042577870190143585,1.000002145767212,0.9998828768730164,0.9998807313617272,5545.2373046875,34.096588134765625,0.006148805950277925,-3383.21240234375
10,4.7e-05,50,50,-3.431098699569702,-5.394344329833984,0.0003682907554320991,7.959818617564451e-07,0.9999955296516418,1.0000098943710327,0.9998762607574463,1.0,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.000002384185791,0.9999274611473083,0.9999250771401473,9728.63671875,103.2795181274414,0.01061603193882148,-2779.312255859375
11,4.9e-05,50,50,-3.3910298347473145,-5.377920150756836,0.00040189980063587427,7.959848744576448e-07,0.9999958872795105,1.0000078678131104,0.9999289512634277,1.0,50918.98046875,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000015497207642,0.9999769926071167,0.9999754429244091,7784.93505859375,307.3883056640625,0.03948501860972342,-1944.0655517578125
12,5.1e-05,50,50,-3.4053189754486084,-5.3616509437561035,0.00038739072624593973,7.95986011326022e-07,0.9999961256980896,1.000008225440979,0.9998917579650879,1.0,34024.86328125,0.0058903321623802185,0.006969202309846878,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000019073486328,0.9999748468399048,0.9999729395428857,6683.32275390625,142.68096923828125,0.02134880724634875,-2534.040283203125
13,5.3e-05,50,50,-3.3456172943115234,-5.345980644226074,0.00044815611909143627,7.959876029417501e-07,0.9999963045120239,1.0000079870224,0.999893844127655,1.0,55110.984375,0.003003356046974659,0.007244178559631109,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000014305114746,0.9999727010726929,0.9999712706023159,27325.828125,22.92644500732422,0.0008390027523575452,-2105.80322265625
14,5.5e-05,50,50,-3.3783538341522217,-5.326684951782227,0.00041331147076562047,7.959890808706405e-07,0.9999967813491821,1.0000109672546387,0.999887228012085,1.0,50002.4765625,0.005346785765141249,0.004556711763143539,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000027418136597,0.9999918937683105,0.9999891519843941,5145.5859375,666.4286499023438,0.1295146282652759,-2057.17822265625
15,5.7e-05,50,50,-3.505394220352173,-5.315237522125244,0.00031144905369728804,7.959893082443159e-07,0.9999971389770508,1.0000057220458984,0.9999182224273682,1.0,33725.3828125,0.006329623982310295,0.004590389784425497,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000019073486328,0.9999912977218628,0.9999893903934662,2043.771728515625,230.25750732421875,0.11266302596888006,-1910.1181640625
16,5.9e-05,50,50,-3.2630443572998047,-5.300013542175293,0.0005417502834461629,7.959897629916668e-07,0.9999968409538269,1.0000070333480835,0.9999110102653503,1.0,40168.046875,0.002173064276576042,0.004224343225359917,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000027418136597,0.9999911189079285,0.9999883771261365,9378.212890625,37.342979431152344,0.003981886513632307,-2427.70849609375
17,6.1e-05,50,50,-3.24983811378479,-5.281308174133301,0.0005588591448031366,7.959906724863686e-07,0.9999971389770508,1.0000065565109253,0.9999505877494812,1.0,57486.0703125,0.002212842693552375,0.004419243428856134,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000017881393433,0.9999894499778748,0.9999876618605938,13795.66796875,47.921669006347656,0.0034736751504095345,-2575.55078125
18,6.3e-05,50,50,-3.281766414642334,-5.272029399871826,0.0005173389217816293,7.959911840771383e-07,0.9999973773956299,1.0000066757202148,0.9999644160270691,1.0,65728.515625,0.0017275376012548804,0.005976422689855099,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000035762786865,0.9999909400939941,0.999987363860498,13539.794921875,87.94639587402344,0.006495400881732451,-3282.17626953125
19,6.5e-05,50,50,-3.286973237991333,-5.258411884307861,0.0005108678597025573,7.959904451126931e-07,0.9999973177909851,1.0000077486038208,0.9999517202377319,1.0,91218.609375,0.0093672601506114,0.003145127324387431,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000051259994507,0.9999887943267822,0.9999836684110472,20502.068359375,412.23785400390625,0.020107134888924603,-2715.011474609375
