step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.1524998615423101,0.09520559160591802,15249.986154231008,9520.559160591802
1,5e-06,0.0005,0.760127844841918,0.4738797651953064,76012.7844841918,47387.97651953063
2,1e-05,0.001,1.5173399006016552,0.9444639254070353,151733.99006016552,94446.39254070351
3,1.5e-05,0.0015,2.27002844621893,1.4103121793596074,227002.844621893,141031.21793596074
4,2e-05,0.002,3.016280592419207,1.8695197359193116,301628.0592419207,186951.97359193114
5,2.5e-05,0.0025,3.7496440490940586,2.3170396088971756,374964.4049094058,231703.96088971753
6,3e-05,0.003,4.4719460274791345,2.7527422789717093,447194.6027479134,275274.22789717093
7,3.5e-05,0.0034999999999999996,5.175326252356172,3.169780713506043,517532.6252356171,316978.0713506043
8,4e-05,0.004,5.854656599694863,3.56282306893263,585465.6599694863,356282.30689326295
9,4.5e-05,0.0045000000000000005,6.502422736957669,3.9242067286977544,650242.2736957669,392420.6728697754
10,4.7e-05,0.004699999999999999,6.683964340481907,3.9905799203552306,668396.4340481907,399057.992035523
11,4.9e-05,0.0049,6.826928583905101,4.019486077595502,682692.8583905101,401948.60775955016
12,5.1e-05,0.0050999999999999995,6.931354437256232,4.008191346656531,693135.4437256232,400819.13466565305
13,5.3e-05,0.0053,6.986896274611354,3.947048608097248,698689.6274611354,394704.8608097247
14,5.5e-05,0.0055,6.979596771998331,3.8220122223719954,697959.6771998331,382201.2222371995
15,5.7e-05,0.0057,6.887300405651331,3.6172667605569586,688730.0405651331,361726.6760556958
16,5.9e-05,0.0059,6.710777699481696,3.328064616653137,671077.7699481696,332806.4616653137
17,6.1e-05,0.0060999999999999995,6.458692980231717,2.9525289282901213,645869.2980231717,295252.8928290121
18,6.3e-05,0.0063,6.138299097074196,2.5160576624330133,613829.9097074196,251605.7662433013
19,6.5e-05,0.0065,5.717116175219417,1.9886621084879152,571711.6175219417,198866.2108487915
20,6.7e-05,0.0067,5.226976587437093,1.3809447846142575,522697.65874370927,138094.47846142575
21,6.9e-05,0.0069,4.807073884876445,0.8437304968538228,480707.38848764444,84373.04968538228
22,7.1e-05,0.0071,4.395434705656953,0.3126934861938935,439543.47056569526,31269.348619389344
23,7.3e-05,0.0073,3.940681737731211,-0.25496864782326156,394068.17377312103,-25496.864782326153
24,7.5e-05,0.007499999999999999,4.571608209516853,0.2538636763347313,457160.82095168525,25386.367633473124
25,7.7e-05,0.0077,4.447862898814492,0.01838276310195397,444786.28988144913,1838.2763101953967
26,8e-05,0.008,4.419202276039869,-0.18554956750449492,441920.2276039868,-18554.95675044949
27,8.3e-05,0.0083,4.375462347525172,-0.4012908320873976,437546.23475251714,-40129.08320873976
28,8.6e-05,0.0086,4.318087710998952,-0.6287352152867243,431808.7710998952,-62873.52152867242
29,8.9e-05,0.0089,4.248853263561614,-0.8777966431807727,424885.3263561613,-87779.66431807727
30,9.2e-05,0.0092,4.171177482930943,-1.1299214856990147,417117.7482930943,-112992.14856990146
31,9.5e-05,0.0095,4.076159879332408,-1.4004418044351041,407615.9879332408,-140044.1804435104
32,9.8e-05,0.0098,3.9738153718644753,-1.679968430835288,397381.5371864475,-167996.8430835288
33,0.0001,0.01,3.802724269917235,-1.9598832441261038,380272.4269917234,-195988.32441261035
