case,event,metric,threshold,step,Delta,value
default_none,first_alpha_mean_gt_0p05,alpha_mean,0.05,5,2.5e-05,0.056088695116375535
default_none,first_alpha_mean_gt_0p1,alpha_mean,0.1,7,3.5e-05,0.10438987217407045
default_none,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
default_none,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
default_none,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,0,1e-06,1.0023765143290477
default_none,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,0,1e-06,1.0023765143290477
default_none,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,0,1e-06,1.0023765143290477
default_none,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,0,1e-06,1.0023765143290477
default_none,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,0,1e-06,1.2591907384876726
default_none,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,0,1e-06,1.2591907384876726
default_none,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0,1e-06,6.369940592776402e-07
default_none,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,1,5e-06,1.8569557141745463e-05
default_none,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0,1e-06,6.385078847870318e-07
default_none,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1,5e-06,1.8604112119646744e-05
default_none,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0,1e-06,6.369940592776402e-07
