case,event,metric,threshold,step,Delta,value
intact_none,first_alpha_mean_gt_0p05,alpha_mean,0.05,5,2.5e-05,0.0558920006234986
intact_none,first_alpha_mean_gt_0p1,alpha_mean,0.1,7,3.5e-05,0.10011364357268596
intact_none,first_alpha_mean_gt_0p2,alpha_mean,0.2,11,4.9e-05,0.20455976271586374
intact_none,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
intact_none,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,5,2.5e-05,0.39298349542886873
intact_none,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,8,4e-05,0.5914707480971291
intact_none,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
intact_none,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
intact_none,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
intact_none,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
intact_none,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0,1e-06,4.442606950760819e-05
intact_none,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0,1e-06,4.442606950760819e-05
intact_none,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0,1e-06,8.515492169181006e-07
intact_none,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1,5e-06,2.5486102003924312e-05
intact_none,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0,1e-06,4.442606950760819e-05
