case,alpha_init,coord_normalization,step,Delta,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_log10
default_none,default,none,0,1e-06,0.08710119873285294,6.293790488776096e-11,1.394469917548281e-15,-10.201078095976145
default_none,default,none,1,5e-06,0.46081599593162537,1.8211588903582765e-09,4.193848393563293e-12,-8.738653198226276
default_none,default,none,2,1e-05,0.9063014388084412,7.323519124469158e-09,6.878642100360821e-11,-8.131220090763817
default_none,default,none,3,1.5e-05,1.311095952987671,1.6201788355374447e-08,3.4503472301494753e-10,-7.781285376629451
default_none,default,none,4,2e-05,1.6600687503814697,2.7983608319459563e-08,1.0557266172384061e-09,-7.5370133341368755
default_none,default,none,5,2.5e-05,1.9391039609909058,4.204574466371014e-08,2.4979396329172232e-09,-7.3512138644568825
default_none,default,none,6,3e-05,2.1389410495758057,5.774735356567362e-08,4.9295429960238835e-09,-7.20289251570532
default_none,default,none,7,3.5e-05,2.2528884410858154,7.437456872594339e-08,8.645757887393302e-09,-7.080815562380159
default_none,default,none,8,4e-05,2.275949716567993,9.123720445813888e-08,1.3906229057170094e-08,-6.978217844966398
default_none,default,none,9,4.5e-05,2.2196834087371826,1.0786199311496603e-07,2.075861793571221e-08,-6.890689431502533
default_none,default,none,10,4.7e-05,2.1726760864257812,1.1426530477365304e-07,2.403294629971242e-08,-6.85918331196581
default_none,default,none,11,4.9e-05,2.1160924434661865,1.2057262210873887e-07,2.7529575064022538e-08,-6.829438498447543
default_unitbox,default,unit_box,0,1e-06,0.038089923560619354,3.5999467296043974e-11,1.578190093258318e-14,-10.44351357590333
default_unitbox,default,unit_box,1,5e-06,0.19108562171459198,1.050111331224457e-09,4.187508358729358e-13,-8.978591507003149
default_unitbox,default,unit_box,2,1e-05,0.3753374218940735,4.19978807286725e-09,4.424652311207922e-11,-8.372221084529961
default_unitbox,default,unit_box,3,1.5e-05,0.5229766964912415,9.233376729866904e-09,2.3856228104079946e-10,-8.023561107001171
default_unitbox,default,unit_box,4,2e-05,0.6336162090301514,1.5746319803611186e-08,8.011215024694707e-10,-7.78126915068336
default_unitbox,default,unit_box,5,2.5e-05,0.6847078204154968,2.2560962875672885e-08,2.445861957411921e-09,-7.601941448014047
default_unitbox,default,unit_box,6,3e-05,0.7059130072593689,2.908221574671188e-08,4.996700386783459e-09,-7.467514226250628
default_unitbox,default,unit_box,7,3.5e-05,0.7124813199043274,3.467166465043192e-08,8.407077700667287e-09,-7.365736984063715
default_unitbox,default,unit_box,8,4e-05,0.6950353384017944,3.861514130676369e-08,1.2565884333071153e-08,-7.2908910153371185
default_unitbox,default,unit_box,9,4.5e-05,0.7121880650520325,4.063025826894773e-08,1.6918876966087737e-08,-7.239961197932955
default_unitbox,default,unit_box,10,4.7e-05,0.7227647304534912,4.102648887283067e-08,1.8476365326591804e-08,-7.225462201778516
default_unitbox,default,unit_box,11,4.9e-05,0.7359966039657593,4.113580587272736e-08,1.9984431887110077e-08,-7.2138149650085355
intact_none,alpha-init-intact,none,0,1e-06,0.037750955671072006,3.6237922385051746e-11,2.9857013535789997e-15,-10.440800928766363
intact_none,alpha-init-intact,none,1,5e-06,0.19432587921619415,1.0512096748627187e-09,2.544913932367443e-12,-8.97726052113679
intact_none,alpha-init-intact,none,2,1e-05,0.38487154245376587,4.2715155856853926e-09,4.2975675101919464e-11,-8.3650704063586
intact_none,alpha-init-intact,none,3,1.5e-05,0.5386507511138916,9.539978584882647e-09,2.1123600091321748e-10,-8.010941286346968
intact_none,alpha-init-intact,none,4,2e-05,0.7568781971931458,1.74148002685115e-08,6.825133236354475e-10,-7.74238588804218
intact_none,alpha-init-intact,none,5,2.5e-05,1.298321008682251,3.720844787835631e-08,2.3432717988214335e-09,-7.402834628978629
intact_none,alpha-init-intact,none,6,3e-05,1.322428584098816,4.615919380057676e-08,3.802316683731988e-09,-7.30136444009206
intact_none,alpha-init-intact,none,7,3.5e-05,1.4078840017318726,6.186740364455545e-08,7.279199909504541e-09,-7.160229147354472
intact_none,alpha-init-intact,none,8,4e-05,1.994940161705017,9.120057598011044e-08,1.4907652001738825e-08,-6.974250938166846
intact_none,alpha-init-intact,none,9,4.5e-05,1.8772954940795898,1.0378507653285851e-07,2.244055430367098e-08,-6.898852450158013
intact_none,alpha-init-intact,none,10,4.7e-05,1.8497716188430786,1.0761516477941768e-07,2.4420424793447637e-08,-6.879308990977274
intact_none,alpha-init-intact,none,11,4.9e-05,1.728469967842102,1.1079048078954656e-07,2.666415355179197e-08,-6.8618406131508785
intact_unitbox,alpha-init-intact,unit_box,0,1e-06,0.03760998696088791,3.59853050135861e-11,3.2341558105247097e-15,-10.443835781675684
intact_unitbox,alpha-init-intact,unit_box,1,5e-06,0.18759112060070038,1.0450711407372637e-09,2.7251204764988657e-12,-8.9797231555513
intact_unitbox,alpha-init-intact,unit_box,2,1e-05,0.3654111325740814,4.1945824591493874e-09,4.589724086900837e-11,-8.372585011499982
intact_unitbox,alpha-init-intact,unit_box,3,1.5e-05,0.5165328979492188,9.232830500138789e-09,2.3860949327492165e-10,-8.023583987876227
intact_unitbox,alpha-init-intact,unit_box,4,2e-05,0.6271490454673767,1.573185492986795e-08,8.147539864999942e-10,-7.781290997647191
intact_unitbox,alpha-init-intact,unit_box,5,2.5e-05,0.6916587352752686,2.2536505994708023e-08,2.459332737458908e-09,-7.602132285971182
intact_unitbox,alpha-init-intact,unit_box,6,3e-05,0.706555187702179,2.9071097529254075e-08,4.985729162854113e-09,-7.467795820680835
intact_unitbox,alpha-init-intact,unit_box,7,3.5e-05,0.7021165490150452,3.4645264435084755e-08,8.4082234508287e-09,-7.365991659349788
intact_unitbox,alpha-init-intact,unit_box,8,4e-05,0.6766547560691833,3.862304254198534e-08,1.2538718507926205e-08,-7.291054514992917
intact_unitbox,alpha-init-intact,unit_box,9,4.5e-05,0.723417341709137,4.032030176404078e-08,1.7215182168683896e-08,-7.240064229690544
