case,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,He_current_ratio_denominator_valid,mechanics_drive_ratio_denominator_valid,bulk_He_current_p95_over_notch_tip_He_current_max_valid,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bottom_u_max,bottom_u_mean,bottom_u_min,bottom_v_max,bottom_v_mean,bottom_v_min,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95,top_u_max,top_u_mean,top_u_min,top_v_abs_max,top_v_max,top_v_mean,top_v_min
intact_none,0,1e-06,-8.504391075803142e-07,4.976758104941815e-05,4.515618974217523e-05,0.00018436710524838418,0.0,4.199879127376208e-07,8.388871581111699e-07,4.442606950760819e-05,4.199879127376208e-07,8.388871581111699e-07,4.442606950760819e-05,4.199879127376208e-07,8.388871581111699e-07,4.442606950760819e-05,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.00018436710524838418,0.00016177571992619498,4.981458226990304e-05,0.00011350711429258808,0.0001515646872576326,0.0001462400032323785,4.442606950760819e-05,3.888420528881721e-06,8.515492169181006e-07,3.817010490485607e-07,1.5287866972357733e-06,1.3152602491572907e-06,4.442606950760819e-05,3.888420528881721e-06,8.515492169181006e-07,3.817010490485607e-07,1.5287866972357733e-06,1.3152602491572907e-06,0.019167782033300707,0.034411927820307414,0.019167782033300707,0.034411927820307414,True,True,0.019167782033300707,0.034411927820307414,0.019167782033300707,0.034411927820307414,0.2701923545569126,0.8220809620753154,0.037750955671072006,3.6237922385051746e-11,2.9857013535789997e-15,3.6240908086405325e-11,-10.440800928766363,free,3.7213729342511215e-07,0.0,0.0,0.0,1.507434052427925e-06,0.00015103221885510721,1.507434052427925e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0833070923108608e-06,0.00017138323164545,3.0833070923108608e-06,nan,nan,4.442606950760819e-05,4.442606950760819e-05,4.442606950760819e-05,1.1620254190347613e-05,0.00018350085010752082,1.1620254190347613e-05,1.7561383458541968e-07,4.725585078801941e-09,-3.7213729342511215e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07
intact_none,1,5e-06,-2.8745969757437706e-05,0.0014405169820266572,0.0013487846361001892,0.0064841508865356445,0.0,1.225449745512432e-05,2.47240425216503e-05,0.0013913505245000124,1.225452394230898e-05,2.4724029402478237e-05,0.0013913505245000124,1.225452394230898e-05,2.4724029402478237e-05,0.0013913505245000124,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.0064841508865356445,0.005161908955938399,0.001425494457856862,0.003454969404265284,0.0034008226357400417,0.0033910275669768453,0.0013913505245000124,0.00010670157132764172,2.5486102003924312e-05,1.1244726359408455e-05,3.607810504036024e-05,3.2906801607168745e-05,0.0013913505245000124,0.00010670157132764172,2.5486102003924312e-05,1.1244735759594354e-05,3.607810504036024e-05,3.2906801607168745e-05,0.018317527866015537,0.025930277385222578,0.018317527866015537,0.025930277385222578,True,True,0.018317527866015537,0.025930277385222578,0.018317527866015537,0.025930277385222578,0.21984288811306116,0.5244823409032412,0.19432587921619415,1.0512096748627187e-09,2.544913932367443e-12,1.053754588795086e-09,-8.97726052113679,free,1.4137023072180455e-06,0.0,0.0,0.0,3.576097469704109e-05,0.0033998431288637223,3.576097469704109e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010834968998096883,0.0055858297273516655,0.00010834968998096883,nan,nan,0.0013913505245000124,0.0013913505245000124,0.0013913505245000124,0.00024666795507073344,0.006322423834353685,0.00024666795507073344,8.596977636443626e-07,7.035694196133591e-08,-1.4137023072180455e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06
intact_none,2,1e-05,-0.0001734157558530569,0.005921907870714339,0.00550223116707843,0.021151989698410034,0.0,5.08254658999428e-05,0.0001008600027978144,0.005619175732135773,5.082720814271019e-05,0.00010085913295455461,0.005619175732135773,5.082720814271019e-05,0.00010085913295455461,0.005619175732135773,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.021151989698410034,0.01899421544209735,0.005902384342286303,0.014602694939821958,0.01658475399017334,0.016245385631918907,0.005619175732135773,0.0004631800909745124,0.00010567572098807426,4.6400980253206775e-05,0.0001495398028055206,0.00013613077317131683,0.005619175732135773,0.0004631800909745124,0.00010567572098807426,4.64029316405975e-05,0.0001495398028055206,0.00013613077317131683,0.0188062673291601,0.02661240899627151,0.0188062673291601,0.02661240899627151,True,True,0.0188062673291601,0.02661240899627151,0.0188062673291601,0.02661240899627151,0.2790462942940057,0.7840753624903662,0.38487154245376587,4.2715155856853926e-09,4.2975675101919464e-11,4.314491260787312e-09,-8.3650704063586,free,2.7806413527287077e-06,0.0,0.0,0.0,0.0001481988998421002,0.016550817154347898,0.0001481988998421002,0.0,0.0,0.0,0.0,0.0,0.0,0.0003795382799580693,0.019801825284957886,0.0003795382799580693,nan,nan,0.005619175732135773,0.005619175732135773,0.005619175732135773,0.0010897191008552908,0.020923058688640594,0.0010897191008552908,1.708956915535964e-06,1.1757625557606844e-07,-2.7806413527287077e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06
intact_none,3,1.5e-05,-0.00018517083663027734,0.013105709783124097,0.012187905098679914,0.054921090602874756,0.0,0.00011878274868465071,0.00026429775745153626,0.014813396148383617,0.00011887249253528622,0.0002642958067494348,0.014813396148383617,0.00011887249253528622,0.0002642958067494348,0.014813396148383617,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.054921090602874756,0.047516145220358075,0.013006024522949569,0.03155246991664168,0.03217245265841484,0.03183711692690849,0.014813396148383617,0.00116627904028737,0.00024713540624361465,0.00010745972779250102,0.0003542442573234439,0.0003194181190337986,0.014813396148383617,0.0011676948216356247,0.00024713540624361465,0.00010753844174893608,0.0003542442573234439,0.0003194181190337986,0.016683237508002588,0.023913777352271626,0.016683237508002588,0.023913777352271626,True,True,0.016683237508002588,0.023913777352271626,0.016683237508002588,0.023913777352271626,0.2368129325215692,0.5857941330963087,0.5386507511138916,9.539978584882647e-09,2.1123600091321748e-10,9.751214585795864e-09,-8.010941286346968,free,4.7441571950912476e-06,0.0,0.0,0.0,0.0003507616434944794,0.03213891908526421,0.0003507616434944794,0.0,0.0,0.0,0.0,0.0,0.0,0.0011041759280487895,0.049964260309934616,0.0011041759280487895,nan,nan,0.014813396148383617,0.014813396148383617,0.014813396148383617,0.003261724300682543,0.0538826584815979,0.003261724300682543,2.292052158736624e-06,-5.516895384971576e-08,-4.7441571950912476e-06,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05
intact_none,4,2e-05,-0.0006215360481292009,0.024783522057232613,0.0220899949134224,0.08665584027767181,0.0,0.00023547620855074696,0.0005811905350411508,0.030475854873657227,0.00023690745548205486,0.0005822881809207589,0.030475854873657227,0.00023690745548205486,0.0005822881809207589,0.030475854873657227,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.08665584027767181,0.08106716824312733,0.0249473904091199,0.057053808122873306,0.05981041118502617,0.057863758876919746,0.030475854873657227,0.0026317638709259295,0.0004880619031609965,0.00020921240724169535,0.000620329927187413,0.0005534079973585904,0.030475854873657227,0.0026927912098073325,0.000490162760252132,0.00020988503789164337,0.000620329927187413,0.0005534079973585904,0.016014707550759087,0.020354799882040878,0.016083642683172764,0.020354799882040878,True,True,0.016014707550759087,0.020354799882040878,0.016083642683172764,0.020354799882040878,0.2878904679613149,0.6902063495475357,0.7568781971931458,1.74148002685115e-08,6.825133236354475e-10,1.8097313592146946e-08,-7.74238588804218,free,5.2571426749636885e-06,0.0,0.0,0.0,0.0006136377342045307,0.059615745954215524,0.0006136377342045307,0.0,0.0,0.0,0.0,0.0,0.0,0.0019060056656599045,0.08419306576251984,0.0019060056656599045,nan,nan,0.030475854873657227,0.030475854873657227,0.030475854873657227,0.006531564425677052,0.08603918254375457,0.006531564425677052,2.523812554500182e-06,-1.4916339097226228e-07,-5.2571426749636885e-06,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05
intact_none,5,2.5e-05,-0.0002539092965889722,0.0558920006234986,0.02252851748413043,0.09674035012722015,0.0,0.0004689041881676925,0.00028441561065338544,0.006729489658027887,0.000493646949004959,0.0006028819141393924,0.030475854873657227,0.000493646949004959,0.0006028819141393924,0.030475854873657227,0.0021725385449826717,0.005147793795913458,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.09518804401159286,0.09156363794248398,0.05860023461189218,0.08732503354549408,0.08296322822570801,0.08158541470766068,0.002080619102343917,0.0012285830811852563,0.0008176489674951876,0.0004832673307867518,0.0008287212112918496,0.000773974577896297,0.030475854873657227,0.0027932005404966744,0.000830430816859006,0.0004867217171948407,0.0008287212112918496,0.000773974577896297,0.39298349542886873,0.39830510560931387,0.0272488112409544,0.027192714190543713,True,True,0.39298349542886873,0.39830510560931387,0.0272488112409544,0.027192714190543713,0.6156259982057758,0.871571940438276,1.298321008682251,3.720844787835631e-08,2.3432717988214335e-09,3.9551719677177744e-08,-7.402834628978629,free,6.964270596654387e-06,0.0,0.0,0.0,0.0008232465479522943,0.08282544687390328,0.0008232465479522943,0.0,0.0,0.0,0.0,0.0,0.0,0.006729489658027887,0.09674035012722015,0.006729489658027887,nan,nan,0.006729489658027887,0.030475854873657227,0.030475854873657227,0.0017175932181999083,0.0943192109465599,0.006531564425677052,6.964270596654387e-06,3.3751161829798095e-07,-4.972979240847053e-06,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05
intact_none,6,3e-05,-0.0001029303966788575,0.07074522693092633,0.029333093849271033,0.13951441645622253,0.0,0.0005260535426795468,0.00037217139011080073,0.006214939057826996,0.0006266869050006311,0.0006325651638696515,0.030475854873657227,0.0006266869050006311,0.0006325651638696515,0.030475854873657227,0.004412558861076832,0.004863997921347618,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.13568739593029022,0.12934712249122254,0.0733756264165625,0.11236417256295678,0.1045493483543396,0.1031135767698288,0.0036498766858130693,0.001832066695461024,0.0009188443596940485,0.000527413109716652,0.0010178968077525496,0.0009644304227549583,0.030475854873657227,0.0029965454301069654,0.0010068880277685815,0.0006222048797394878,0.0010178968077525496,0.0009644304227549583,0.2517466859265578,0.27888525979770096,0.03303887723388909,0.03340010680495795,True,True,0.2517466859265578,0.27888525979770096,0.03303887723388909,0.03340010680495795,0.5407696559690734,0.7705162858903425,1.322428584098816,4.615919380057676e-08,3.802316683731988e-09,4.9961510484308747e-08,-7.30136444009206,free,6.314615347946528e-06,0.0,0.0,0.0,0.0010125501692527905,0.10440577119588852,0.0010125501692527905,0.0,0.0,0.0,0.0,0.0,0.0,0.006214939057826996,0.13951441645622253,0.006729489658027887,nan,nan,0.006214939057826996,0.030475854873657227,0.030475854873657227,0.0032942325342446566,0.13496648967266084,0.006531564425677052,6.314615347946528e-06,9.670407067119412e-07,-4.443345460458659e-06,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05
intact_none,7,3.5e-05,-5.616474663838744e-05,0.10011364357268596,0.0400845366930741,0.18244408071041107,0.0,0.0008812410386046494,0.0006456251246215831,0.008352872915565968,0.0009232734738052175,0.0008140272739481733,0.030475854873657227,0.0009232734738052175,0.0008140272739481733,0.030475854873657227,0.002714775037020445,0.005083353724330664,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.18244408071041107,0.17993686889132407,0.1034223831443867,0.16603261902928348,0.15830624103546143,0.15810586512088776,0.004338173661381006,0.002575010660882682,0.0017927554668858646,0.0008966680901200236,0.0018698708154261112,0.001727438997477293,0.030475854873657227,0.003571257194542415,0.0018118389532901346,0.0009287874330794671,0.0018698708154261112,0.001727438997477293,0.4132511989654103,0.4310271928650408,0.059451620333585954,0.06135581177879914,True,True,0.4132511989654103,0.4310271928650408,0.059451620333585954,0.06135581177879914,0.5668716833216775,0.8676973263206986,1.4078840017318726,6.186740364455545e-08,7.279199909504541e-09,6.914660355405999e-08,-7.160229147354472,free,9.356100235891063e-06,0.0,0.0,0.0,0.0018556276336312294,0.15828620344400407,0.0018556276336312294,0.0,0.0,0.0,0.0,0.0,0.0,0.008352872915565968,0.18088774383068085,0.008352872915565968,nan,nan,0.008352872915565968,0.030475854873657227,0.030475854873657227,0.004188474826514721,0.1823079764842987,0.006531564425677052,6.834744453954045e-06,-3.6699969498954486e-07,-9.356100235891063e-06,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05
intact_none,8,4e-05,0.07659967988729477,0.15032519270137373,0.03218304993075294,0.23892831802368164,0.0,0.0014068273080189645,0.0005009597223542678,0.005318821873515844,0.0014365461309200503,0.0007537888234953934,0.030475854873657227,0.0014365461309200503,0.0007537888234953934,0.030475854873657227,0.0020991067867726088,0.005088344216346741,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.23297259211540222,0.22134731158818285,0.15172890281985374,0.2187336482107639,0.1615464687347412,0.1606101393699646,0.004070347175002098,0.0031171095085470646,0.002407491288613527,0.0014066128240521668,0.0018709806026890874,0.001795772579498589,0.030475854873657227,0.004007596037771604,0.0024674650048837066,0.0014266445712971334,0.0018709806026890874,0.001795772579498589,0.5914707480971291,0.45966118423009533,0.08096458705138862,0.061392227074369254,True,True,0.5914707480971291,0.45966118423009533,0.08096458705138862,0.061392227074369254,0.6512736173905612,0.693414050416367,1.994940161705017,9.120057598011044e-08,1.4907652001738825e-08,1.0610822798184927e-07,-6.974250938166846,free,5.242311999609228e-06,0.0,0.0,0.0,0.0018634598003700376,0.16145283579826356,0.0018634598003700376,0.0,0.0,0.0,0.0,0.0,0.0,0.005318821873515844,0.23892831802368164,0.008352872915565968,nan,nan,0.005318821873515844,0.030475854873657227,0.030475854873657227,0.003975389618426561,0.23092340528964997,0.006531564425677052,2.4799633138172794e-06,-4.1963778656395335e-07,-5.242311999609228e-06,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05
intact_none,9,4.5e-05,0.09459074586629868,0.18428511909467193,0.06076352677557235,0.4627065658569336,0.0,0.0018402790614086056,0.0011696791515013348,0.017395418137311935,0.001860332544523406,0.0012431818976756915,0.030475854873657227,0.001860332544523406,0.0012431818976756915,0.030475854873657227,0.0020017956849187613,0.005127978511154652,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.38304680585861206,0.34096514158052943,0.18514095894390442,0.3249238550662993,0.2049444168806076,0.20486821979284286,0.016471300274133682,0.005296407643807669,0.0034101565368473527,0.001831470231223768,0.002284091431647539,0.0022003892809152603,0.030475854873657227,0.00566298099655709,0.003422875213436782,0.0018480573104953338,0.002284091431647539,0.0022003892809152603,0.20703626793827679,0.13867098490302232,0.11231432974159004,0.07494757542049678,True,True,0.20703626793827679,0.13867098490302232,0.11231432974159004,0.07494757542049678,0.4833376916664397,0.5350375299990243,1.8772954940795898,1.0378507653285851e-07,2.244055430367098e-08,1.262256308365295e-07,-6.898852450158013,free,5.762854925706051e-06,0.0,0.0,0.0,0.002275721216574311,0.20493679717183114,0.002275721216574311,0.0,0.0,0.0,0.0,0.0,0.0,0.017395418137311935,0.4627065658569336,0.017395418137311935,nan,nan,0.017395418137311935,0.030475854873657227,0.030475854873657227,0.01302428729832172,0.37115009427070617,0.01440792046487329,4.9264672270510346e-06,-3.0419576262374904e-07,-5.762854925706051e-06,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05
