case,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,He_current_ratio_denominator_valid,mechanics_drive_ratio_denominator_valid,bulk_He_current_p95_over_notch_tip_He_current_max_valid,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bottom_u_max,bottom_u_mean,bottom_u_min,bottom_v_max,bottom_v_mean,bottom_v_min,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95,top_u_max,top_u_mean,top_u_min,top_v_abs_max,top_v_max,top_v_mean,top_v_min
intact_unitbox,0,1e-06,-3.829638444585726e-06,4.984049183143467e-05,5.594504090563324e-05,0.00047526758862659335,0.0,4.149047388346516e-07,7.876032136163707e-07,4.202832133159973e-05,4.149047388346516e-07,7.876032136163707e-07,4.202832133159973e-05,4.149047388346516e-07,7.876032136163707e-07,4.202832133159973e-05,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.00047526758862659335,0.0003196712859789841,4.7359295933359176e-05,0.00010902385329245575,0.00013687214232049882,0.00013204416609369218,4.202832133159973e-05,3.6663580443289266e-06,8.564077461414851e-07,3.7918446633005585e-07,1.4510324035654776e-06,1.2863715710409451e-06,4.202832133159973e-05,3.6663580443289266e-06,8.564077461414851e-07,3.7918446633005585e-07,1.4510324035654776e-06,1.2863715710409451e-06,0.020376920110239567,0.03452510967823246,0.020376920110239567,0.03452510967823246,True,True,0.020376920110239567,0.03452510967823246,0.020376920110239567,0.03452510967823246,0.09964764496189592,0.2879896411956593,0.03760998696088791,3.59853050135861e-11,3.2341558105247097e-15,3.5988539169396624e-11,-10.443835781675684,free,3.5290392474962573e-07,0.0,0.0,0.0,1.4345663203130244e-06,0.00013638934469781817,1.4345663203130244e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.393656470507267e-06,0.00030857324600219727,3.393656470507267e-06,nan,nan,4.202832133159973e-05,4.202832133159973e-05,4.202832133159973e-05,8.504917786922294e-06,0.0004632989643141627,8.504917786922294e-06,1.7910464578108076e-07,1.08658236186443e-08,-3.5290392474962573e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07
intact_unitbox,1,5e-06,-8.535997767467052e-05,0.0014565421428319144,0.0016147999634815893,0.012753765098750591,0.0,1.2219714473078439e-05,2.3548367993435012e-05,0.001255124807357788,1.2219715314098858e-05,2.3548367557053253e-05,0.001255124807357788,1.2219715314098858e-05,2.3548367557053253e-05,0.001255124807357788,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.012753765098750591,0.009168947619475322,0.0013867780008583871,0.003195072291418909,0.0037250122986733913,0.0035994253121316433,0.001255124807357788,0.00011101452359560127,2.5426841966691422e-05,1.113797880823199e-05,3.505460699670948e-05,3.211430703231599e-05,0.001255124807357788,0.00011101452359560127,2.5426841966691422e-05,1.1137979190034786e-05,3.505460699670948e-05,3.211430703231599e-05,0.020258417184995693,0.02792918026256233,0.020258417184995693,0.02792918026256233,True,True,0.020258417184995693,0.02792918026256233,0.020258417184995693,0.02792918026256233,0.10873479244135062,0.29207157806586137,0.18759112060070038,1.0450711407372637e-09,2.7251204764988657e-12,1.0477962612137626e-09,-8.9797231555513,free,1.5870400602580048e-06,0.0,0.0,0.0,3.476057700027013e-05,0.0037124536000192167,3.476057700027013e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.876180411083624e-05,0.009183337911963463,9.876180411083624e-05,nan,nan,0.001255124807357788,0.001255124807357788,0.001255124807357788,0.00025257429224438926,0.012434910237789153,0.00025257429224438926,8.365438475266274e-07,4.653566776369189e-08,-1.5870400602580048e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06
intact_unitbox,2,1e-05,-0.00017427843704354018,0.005960582347225194,0.006880148693547034,0.06744836270809174,0.0,5.0363161072447256e-05,0.00010437796792002353,0.00568320881575346,5.0363181864819576e-05,0.0001043779578922662,0.00568320881575346,5.0363181864819576e-05,0.0001043779578922662,0.00568320881575346,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.06744836270809174,0.04127672319746997,0.005621892654072101,0.012507564947009069,0.014237454161047935,0.013937960378825665,0.00568320881575346,0.0004894704087129792,0.00010461109814059444,4.5479933652967584e-05,0.000142888369737193,0.00013083096200716682,0.00568320881575346,0.0004894704087129792,0.00010461109814059444,4.54799490359472e-05,0.000142888369737193,0.00013083096200716682,0.018407048118770464,0.025142199480884173,0.018407048118770464,0.025142199480884173,True,True,0.018407048118770464,0.025142199480884173,0.018407048118770464,0.025142199480884173,0.08335106188422935,0.21108672752615057,0.3654111325740814,4.1945824591493874e-09,4.589724086900837e-11,4.240479700018396e-09,-8.372585011499982,free,3.1226554710883647e-06,0.0,0.0,0.0,0.00014168262896419037,0.014207504782825708,0.00014168262896419037,0.0,0.0,0.0,0.0,0.0,0.0,0.0004200506373308599,0.03663572669029236,0.0004200506373308599,nan,nan,0.00568320881575346,0.00568320881575346,0.00568320881575346,0.0010920759057626113,0.0650873064994812,0.0010920759057626113,1.6160688574018423e-06,7.296845367932292e-08,-3.1226554710883647e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06
intact_unitbox,3,1.5e-05,-0.00018041039584204555,0.013539395649260589,0.0164202329014441,0.18165025115013123,0.0,0.00011719285595042329,0.00029126915289831156,0.0165470652282238,0.00011719315624192452,0.0002912690322945437,0.0165470652282238,0.00011719315624192452,0.0002912690322945437,0.0165470652282238,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.18165025115013123,0.10253242541053524,0.012649838047325614,0.029559606034308662,0.03180381655693054,0.031434884294867516,0.0165470652282238,0.0013293451001155604,0.0002396180381765589,0.00010321651242133312,0.00032640586141496897,0.00029944017296656966,0.0165470652282238,0.0013293451001155604,0.0002396180381765589,0.00010321675919585059,0.00032640586141496897,0.00029944017296656966,0.01448099919059061,0.0197259064923627,0.01448099919059061,0.0197259064923627,True,True,0.01448099919059061,0.0197259064923627,0.01448099919059061,0.0197259064923627,0.0696384286134056,0.17508270071504148,0.5165328979492188,9.232830500138789e-09,2.3860949327492165e-10,9.47143999341371e-09,-8.023583987876227,free,4.6236332309490535e-06,0.0,0.0,0.0,0.000323709292570129,0.03176692333072424,0.000323709292570129,0.0,0.0,0.0,0.0,0.0,0.0,0.0010119853541254997,0.08489911258220673,0.0010119853541254997,nan,nan,0.0165470652282238,0.0165470652282238,0.0165470652282238,0.003036669455468652,0.1691029220819473,0.003036669455468652,2.354797516090912e-06,7.465496736358545e-08,-4.6236332309490535e-06,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05
intact_unitbox,4,2e-05,-0.0001575276255607605,0.024301503060300378,0.03354406073501285,0.43557652831077576,0.0,0.00022906060840411098,0.0009933355046662935,0.060817308723926544,0.00022906302807539688,0.0009933349492224765,0.060817308723926544,0.00022906302807539688,0.0009933349492224765,0.060817308723926544,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.43557652831077576,0.2202255660540437,0.022206290544998113,0.05225164424628013,0.06141474097967148,0.06035735458135605,0.060817308723926544,0.003881591026297366,0.0004328436232754028,0.0001838641075181199,0.0005976710235700011,0.000548532436368987,0.060817308723926544,0.003881591026297366,0.0004328436232754028,0.00018386651795537103,0.0005976710235700011,0.000548532436368987,0.007117112420088311,0.009827317849315936,0.007117112420088311,0.009827317849315936,True,True,0.007117112420088311,0.009827317849315936,0.007117112420088311,0.009827317849315936,0.0509813754912761,0.14099644261789332,0.6271490454673767,1.573185492986795e-08,8.147539864999942e-10,1.6546608916367944e-08,-7.781290997647191,free,6.270819540077355e-06,0.0,0.0,0.0,0.0005927571648498998,0.061309002339839935,0.0005927571648498998,0.0,0.0,0.0,0.0,0.0,0.0,0.0017657463904470205,0.18462276458740234,0.0017657463904470205,nan,nan,0.060817308723926544,0.060817308723926544,0.060817308723926544,0.011663129553198811,0.4004181087017059,0.011663129553198811,3.020617214133381e-06,4.78316835028636e-08,-6.270819540077355e-06,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05
intact_unitbox,5,2.5e-05,-0.0001464731030864641,0.03908687918677264,0.0669957916448531,0.9050392508506775,0.005729070412123452,0.0006544739409228488,0.00824816547412157,0.40957510471343994,0.0006549026220218744,0.008248228447531673,0.40957510471343994,0.0006549026220218744,0.008248228447531673,0.40957510471343994,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.9050392508506775,0.42859800711070023,0.03475228157213489,0.08307648785412307,0.09120922535657883,0.08986314758658409,0.40957510471343994,0.026921640819861363,0.0007099019101588052,0.0003047475578559113,0.000915098818950355,0.0008451681642327458,0.40957510471343994,0.02694138777371012,0.0007099019101588052,0.00030492926857393345,0.000915098818950355,0.0008451681642327458,0.0017332643073008295,0.002234263773406359,0.0017332643073008295,0.002234263773406359,True,True,0.0017332643073008295,0.002234263773406359,0.0017332643073008295,0.002234263773406359,0.03839864573770699,0.10077930351733158,0.6916587352752686,2.2536505994708023e-08,2.459332737458908e-09,2.499583873216693e-08,-7.602132285971182,free,7.662199095648248e-06,0.0,0.0,0.0,0.0009081057534785942,0.09107461757957935,0.0009081057534785942,0.0,0.0,0.0,0.0,0.0,0.0,0.023291144520044327,0.5748159289360046,0.023291144520044327,nan,nan,0.40957510471343994,0.40957510471343994,0.40957510471343994,0.181484192609787,0.8466684818267822,0.181484192609787,3.2919786008278606e-06,7.431415625092085e-08,-7.662199095648248e-06,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05
intact_unitbox,6,3e-05,-0.00013710744678974152,0.05425423547302808,0.09128717577759526,0.9749912023544312,0.010903714655331732,0.0020564902274026356,0.03506631113512012,1.2621877193450928,0.002059652135546929,0.03506658222543816,1.2621877193450928,0.002059652135546929,0.03506658222543816,1.2621877193450928,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.9749912023544312,0.48966572515360296,0.04983338213918137,0.12230803221464157,0.12483829259872437,0.12275653705000877,1.2621877193450928,0.10868956584055599,0.0010463219252414995,0.0006327800683966371,0.0012860008282586932,0.0011865239357575774,1.2621877193450928,0.10881227532679563,0.0010476641764398662,0.0006344764272555152,0.0012860008282586932,0.0011865239357575774,0.0008289748895547813,0.0010188665351030005,0.0008300383218618735,0.0010188665351030005,True,True,0.0008289748895547813,0.0010188665351030005,0.0008300383218618735,0.0010188665351030005,0.051111622360122407,0.12804042979799407,0.706555187702179,2.9071097529254075e-08,4.985729162854113e-09,3.405682669210819e-08,-7.467795820680835,free,9.188252079184167e-06,0.0,0.0,0.0,0.0012760531390085816,0.12463011704385281,0.0012760531390085816,0.0,0.0,0.0,0.0,0.0,0.0,0.39877671003341675,0.92015141248703,0.39877671003341675,nan,nan,1.2621877193450928,1.2621877193450928,1.2621877193450928,0.6522955536842339,0.9580028653144836,0.6522955536842339,3.4967149531439645e-06,1.3316450520051148e-07,-9.188252079184167e-06,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05
intact_unitbox,7,3.5e-05,-0.00013053561269771308,0.06970828446713422,0.11304795714808355,0.9917585253715515,0.016632785067455184,0.005110122226365426,0.09358428275852054,3.0640082359313965,0.005118977405342372,0.09358503295165818,3.0640082359313965,0.005118977405342372,0.09358503295165818,3.0640082359313965,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.9917585253715515,0.5038612255290763,0.06589943169075994,0.1690938182175153,0.15736757218837738,0.15423723310232162,3.0640082359313965,0.27102483476899153,0.001425280742114406,0.0015990048917854046,0.001677907072007656,0.0015458455309271812,3.0640082359313965,0.2712747245291772,0.0014400820014998277,0.0016051960136365567,0.001677907072007656,0.0015458455309271812,0.0004651687046399696,0.000547618329588989,0.0004699993898880862,0.000547618329588989,True,True,0.0004651687046399696,0.000547618329588989,0.0004699993898880862,0.000547618329588989,0.06644705339545373,0.15867529056976984,0.7021165490150452,3.4645264435084755e-08,8.4082234508287e-09,4.3053487885913455e-08,-7.365991659349788,free,1.0244466466247104e-05,0.0,0.0,0.0,0.0016647009178996086,0.1570545382797718,0.0016647009178996086,0.0,0.0,0.0,0.0,0.0,0.0,1.449184775352478,0.974596381187439,1.449184775352478,nan,nan,3.0640082359313965,3.0640082359313965,3.0640082359313965,2.351763057708738,0.9826429605484008,2.351763057708738,3.5169430248060962e-06,2.2029714514815167e-07,-1.0244466466247104e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05
intact_unitbox,8,4e-05,-9.125257201958448e-05,0.08493032191921704,0.13472865533195172,0.9950677752494812,0.02347070781740898,0.010666018081124,0.19402933085868856,6.038339138031006,0.010696661138767874,0.1940410049661296,6.038339138031006,0.010696661138767874,0.1940410049661296,6.038339138031006,0.005115753971040249,0.0050573875196278095,0.005115753971040249,0.0050573875196278095,0.005115753971040249,0.0050573875196278095,0.9950677752494812,0.5088895482763852,0.0816251426849107,0.24678576886653888,0.1832589954137802,0.17888764292001724,6.038339138031006,0.5382555127756335,0.0019938331795856324,0.00379406918433503,0.002017521532252431,0.0018450863426551223,6.038339138031006,0.5394225853477309,0.0020292407134547817,0.0038109088448051195,0.002017521532252431,0.0018450863426551223,0.0003301956273088341,0.00033411861873500345,0.00033605941419787174,0.00033411861873500345,True,True,0.0003301956273088341,0.00033411861873500345,0.00033605941419787174,0.00033411861873500345,0.08202973175816675,0.1841673501765585,0.6766547560691833,3.862304254198534e-08,1.2538718507926205e-08,5.116176104991155e-08,-7.291054514992917,free,1.0840483810170554e-05,0.0,0.0,0.0,0.0020002780132927,0.1828218601644039,0.0020002780132927,0.0,0.0,0.0,0.0,0.0,0.0,3.055360794067383,0.9912508726119995,3.055360794067383,nan,nan,6.038339138031006,6.038339138031006,6.038339138031006,4.780576515197752,0.9918552160263061,4.780576515197752,3.575395567168016e-06,3.631691839700579e-07,-1.0840483810170554e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05
intact_unitbox,9,4.5e-05,-7.55676519474946e-05,0.09858841089433859,0.15744401274281394,0.9968711137771606,0.03492884864165589,0.019367178820463748,0.33337666496917073,10.90965461730957,0.019419992319985094,0.3333798695540353,10.90965461730957,0.019419992319985094,0.3333798695540353,10.90965461730957,0.005115753971040249,0.0050573875196278095,0.005115753971040249,0.0050573875196278095,0.005115753971040249,0.0050573875196278095,0.9968711137771606,0.5120816664540604,0.09505716766338754,0.3421264261007303,0.18552333116531372,0.1804695948958397,10.90965461730957,0.8970895342004354,0.002539793692994859,0.008144250533799288,0.002027717186138034,0.001860050077084452,10.90965461730957,0.8984748876193333,0.002680140838492661,0.008182851243391118,0.002027717186138034,0.001860050077084452,0.00023280239220086304,0.00018586447117407363,0.00024566688245476374,0.00018586447117407363,True,True,0.00023280239220086304,0.00018586447117407363,0.00024566688245476374,0.00018586447117407363,0.09535552424948338,0.18610563452115975,0.723417341709137,4.032030176404078e-08,1.7215182168683896e-08,5.7535483932724674e-08,-7.240064229690544,free,9.05566594155971e-06,0.0,0.0,0.0,0.0020109504752326758,0.1850179575383663,0.0020109504752326758,0.0,0.0,0.0,0.0,0.0,0.0,5.343263626098633,0.994681715965271,5.343263626098633,nan,nan,10.90965461730957,10.90965461730957,10.90965461730957,7.7972049713134695,0.9952357172966003,7.7972049713134695,4.02285331801977e-06,1.1562254343289168e-06,-9.05566594155971e-06,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05
