step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.03990009102494696,0.03706603595787783,3990.0091024946955,3706.6035957877825
1,5e-06,0.0005,0.22886308278202705,0.19329786766775214,22886.3082782027,19329.786766775214
2,1e-05,0.001,0.45977640638739103,0.375370664357888,45977.640638739096,37537.0664357888
3,1.5e-05,0.0015,0.6717596317002972,0.5314795713502463,67175.96317002972,53147.95713502462
4,2e-05,0.002,0.8337309907631152,0.638426677426196,83373.09907631151,63842.66774261959
5,2.5e-05,0.0025,0.9520399448206263,0.6923166101131528,95203.99448206261,69231.66101131527
6,3e-05,0.003,1.0284517541094829,0.6997923748599533,102845.17541094827,69979.23748599533
7,3.5e-05,0.0034999999999999996,1.0964539445694754,0.6919356686125866,109645.39445694753,69193.56686125866
8,4e-05,0.004,1.145194475839162,0.6751147127204149,114519.44758391618,67511.47127204148
9,4.5e-05,0.0045000000000000005,1.331859137394531,0.7542093233716685,133185.9137394531,75420.93233716684
10,4.7e-05,0.004699999999999999,1.3722098887001266,0.7716779144573138,137220.98887001266,77167.79144573137
11,4.9e-05,0.0049,1.3601207360238732,0.7639343480008165,136012.0736023873,76393.43480008164
12,5.1e-05,0.0050999999999999995,1.3395057633260876,0.751752416718432,133950.57633260876,75175.24167184319
13,5.3e-05,0.0053,1.3734617109548708,0.7703603970981021,137346.17109548708,77036.03970981021
14,5.5e-05,0.0055,1.3799373427900719,0.7727904992407275,137993.73427900719,77279.04992407275
15,5.7e-05,0.0057,1.3986298073405123,0.7881779240221931,139862.98073405123,78817.7924022193
16,5.9e-05,0.0059,1.3826682970830007,0.7770583357569194,138266.82970830007,77705.83357569194
17,6.1e-05,0.0060999999999999995,1.3851388791863428,0.7771149588506887,138513.88791863428,77711.49588506887
18,6.3e-05,0.0063,1.3644653888604807,0.7660727143274926,136446.53888604807,76607.27143274926
19,6.5e-05,0.0065,1.361215090355472,0.7620927032121472,136121.5090355472,76209.27032121472
20,6.7e-05,0.0067,1.3610723991064333,0.760307865220966,136107.23991064331,76030.7865220966
21,6.9e-05,0.0069,1.3916788934693614,0.781929108939039,139167.88934693614,78192.9108939039
22,7.1e-05,0.0071,1.4735880321268269,0.8263005384492317,147358.8032126827,82630.05384492317
23,7.3e-05,0.0073,1.4359176298057719,0.802105913635387,143591.7629805772,80210.5913635387
24,7.5e-05,0.007499999999999999,1.4403910590772284,0.8043801067856293,144039.10590772284,80438.01067856293
25,7.7e-05,0.0077,1.4648766778009303,0.8185608068060901,146487.66778009303,81856.08068060901
26,8e-05,0.008,1.4500705415230186,0.8089369741810515,145007.05415230186,80893.69741810515
27,8.3e-05,0.0083,1.4362297638399468,0.8052000673615112,143622.97638399468,80520.00673615112
28,8.6e-05,0.0086,1.4048297841782187,0.7797921114729434,140482.97841782187,77979.21114729434
29,8.9e-05,0.0089,1.4046157964457961,0.7874680709960558,140461.57964457961,78746.80709960558
30,9.2e-05,0.0092,1.4455075195201061,0.8070220026183961,144550.7519520106,80702.2002618396
31,9.5e-05,0.0095,1.4369409983601145,0.8053554659568363,143694.09983601145,80535.54659568363
32,9.8e-05,0.0098,1.4368602453487256,0.8015651402502044,143686.02453487256,80156.51402502044
33,0.0001,0.01,1.5652298209261062,0.8642315157203484,156522.98209261062,86423.15157203484
