case,seed,new_random_seed,reference_only,event,metric,threshold,step,Delta,value
seed7_default_unitbox,7,yes,no,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0544073173304065
seed7_default_unitbox,7,yes,no,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1021935149792477
seed7_default_unitbox,7,yes,no,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed7_default_unitbox,7,yes,no,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed7_default_unitbox,7,yes,no,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed7_default_unitbox,7,yes,no,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed7_default_unitbox,7,yes,no,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed7_default_unitbox,7,yes,no,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed7_default_unitbox,7,yes,no,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed7_default_unitbox,7,yes,no,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed7_default_unitbox,7,yes,no,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.346950663602911e-05
seed7_default_unitbox,7,yes,no,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0.0,1e-06,4.346950663602911e-05
seed7_default_unitbox,7,yes,no,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0.0,1e-06,8.540193732642361e-07
seed7_default_unitbox,7,yes,no,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1.0,5e-06,2.508827519704937e-05
seed7_default_unitbox,7,yes,no,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0.0,1e-06,4.346950663602911e-05
seed13_default_unitbox,13,yes,no,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0544817853892799
seed13_default_unitbox,13,yes,no,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1030847218072608
seed13_default_unitbox,13,yes,no,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed13_default_unitbox,13,yes,no,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed13_default_unitbox,13,yes,no,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed13_default_unitbox,13,yes,no,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed13_default_unitbox,13,yes,no,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed13_default_unitbox,13,yes,no,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed13_default_unitbox,13,yes,no,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed13_default_unitbox,13,yes,no,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed13_default_unitbox,13,yes,no,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.305706534069032e-05
seed13_default_unitbox,13,yes,no,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0.0,1e-06,4.305706534069032e-05
seed13_default_unitbox,13,yes,no,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0.0,1e-06,8.567359827793553e-07
seed13_default_unitbox,13,yes,no,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1.0,5e-06,2.5302505855506733e-05
seed13_default_unitbox,13,yes,no,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0.0,1e-06,4.305706534069032e-05
seed21_default_unitbox,21,yes,no,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0540736372088094
seed21_default_unitbox,21,yes,no,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1025040998422517
seed21_default_unitbox,21,yes,no,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed21_default_unitbox,21,yes,no,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed21_default_unitbox,21,yes,no,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed21_default_unitbox,21,yes,no,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed21_default_unitbox,21,yes,no,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed21_default_unitbox,21,yes,no,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed21_default_unitbox,21,yes,no,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed21_default_unitbox,21,yes,no,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed21_default_unitbox,21,yes,no,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.294842074159533e-05
seed21_default_unitbox,21,yes,no,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0.0,1e-06,4.294842074159533e-05
seed21_default_unitbox,21,yes,no,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0.0,1e-06,8.576214327149498e-07
seed21_default_unitbox,21,yes,no,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1.0,5e-06,2.5312357138318472e-05
seed21_default_unitbox,21,yes,no,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0.0,1e-06,4.294842074159533e-05
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0542602425280736
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1027727497439676
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed42_default_unitbox,42,yes,no,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed42_default_unitbox,42,yes,no,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed42_default_unitbox,42,yes,no,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.349881783127785e-05
