case,seed,new_random_seed,reference_only,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,He_current_ratio_denominator_valid,mechanics_drive_ratio_denominator_valid,bulk_He_current_p95_over_notch_tip_He_current_max_valid,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bottom_u_max,bottom_u_mean,bottom_u_min,bottom_v_max,bottom_v_mean,bottom_v_min,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95,top_u_max,top_u_mean,top_u_min,top_v_abs_max,top_v_max,top_v_mean,top_v_min
seed7_default_unitbox,7,yes,no,0,1e-06,-0.0001777563884388,-3.467340478307517e-05,3.246631965122718e-05,0.0001444617955712,0.0,4.1510390680278557e-07,8.057112555411953e-07,4.346950663602911e-05,4.1510390680278557e-07,8.057112555411953e-07,4.346950663602911e-05,4.1510390680278557e-07,8.057112555411953e-07,4.346950663602911e-05,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,-3.0047893233131617e-05,-5.556496229199756e-05,-3.283836127359305e-05,-3.272978756285745e-06,6.9345798692666e-05,6.76603740430437e-05,4.346950663602911e-05,3.752209472967832e-06,8.540193732642361e-07,3.781120864762719e-07,1.4618997283832869e-06,1.2761393008986488e-06,4.346950663602911e-05,3.752209472967832e-06,8.540193732642361e-07,3.781120864762719e-07,1.4618997283832869e-06,1.2761393008986488e-06,0.0196464013363426,0.0336304651585719,0.0196464013363426,0.0336304651585719,True,True,0.0196464013363426,0.0336304651585719,0.0196464013363426,0.0336304651585719,1.0928673441033327,-2.3078422887965884,0.0372401997447013,3.6018632521006566e-11,1.2220205739926469e-15,3.601985454158056e-11,-10.443458045317607,free,3.7302004329831117e-07,0.0,0.0,0.0,1.443323685634823e-06,6.917725622770376e-05,1.443323685634823e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.164912186548463e-06,3.349566395627335e-05,3.164912186548463e-06,,,4.346950663602911e-05,4.346950663602911e-05,4.346950663602911e-05,8.301461457449466e-06,-3.5479072539601486e-05,8.301461457449466e-06,1.8169598092754319e-07,1.0625896740279473e-08,-3.7302004329831117e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07
seed7_default_unitbox,7,yes,no,1,5e-06,-0.0002038696839008,0.0006527929949925,0.0010534756952903,0.004004399292171,0.0,1.219183148632548e-05,2.3610386938012023e-05,0.0012715070042759,1.2191831502651262e-05,2.36103869295818e-05,0.0012715070042759,1.2191831502651262e-05,2.36103869295818e-05,0.0012715070042759,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,-1.9461951524135657e-05,-5.398703996596016e-05,0.0006371069109534,0.0027479014242999,0.004004399292171,0.0039475363446399,0.0012715070042759,0.0001106662737752,2.508827519704937e-05,1.11127878624406e-05,3.642615047283471e-05,3.305587324575754e-05,0.0012715070042759,0.0001106662737752,2.508827519704937e-05,1.11127878624406e-05,3.642615047283471e-05,3.305587324575754e-05,0.019731134089455,0.0286480140104129,0.019731134089455,0.0286480140104129,True,True,0.019731134089455,0.0286480140104129,0.019731134089455,0.0286480140104129,-32.73602393693036,-205.7552803584452,0.1950677335262298,1.0477816392295836e-09,1.7352510487539385e-12,1.0495168902783375e-09,-8.97901056775747,free,1.4326601558423135e-06,0.0,0.0,0.0,3.608912275012699e-05,0.0039987129974178,3.608912275012699e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.723458788357676e-05,0.0039450824260711,9.723458788357676e-05,,,0.0012715070042759,0.0012715070042759,0.0012715070042759,0.0002400832308921,-2.286149829160422e-05,0.0002400832308921,8.410186751461879e-07,5.694782174714419e-08,-1.4326601558423135e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06
seed7_default_unitbox,7,yes,no,2,1e-05,-0.0004531551385298,0.0058272010712542,0.0063060895355808,0.0406503491103649,0.0,5.028804744262684e-05,0.0001017390043878,0.0055075455456972,5.028805151414542e-05,0.0001017390023755,0.0055075455456972,5.028805151414542e-05,0.0001017390023755,0.0055075455456972,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0406503491103649,0.0318790958709504,0.0056257375219882,0.0136222852393984,0.0157712306827306,0.0154724223539233,0.0055075455456972,0.0004800481385918,0.0001041343071847,4.553769843546485e-05,0.0001454277080483,0.0001330035702267,0.0055075455456972,0.0004800481385918,0.0001041343071847,4.553770170868043e-05,0.0001454277080483,0.0001330035702267,0.0189075707718981,0.0264051757433017,0.0189075707718981,0.0264051757433017,True,True,0.0189075707718981,0.0264051757433017,0.0189075707718981,0.0264051757433017,0.1383933384363931,0.3879728225681921,0.3810431361198425,4.1985033227831545e-09,4.4546005772971846e-11,4.2430493285561255e-09,-8.372321919212599,free,2.805287977025728e-06,0.0,0.0,0.0,0.0001441852942662,0.0157413498498499,0.0001441852942662,0.0,0.0,0.0,0.0,0.0,0.0,0.0004120271187275,0.0346435010433197,0.0004120271187275,,,0.0055075455456972,0.0055075455456972,0.0055075455456972,0.0010479331482201,0.0399138018488883,0.0010479331482201,1.6341833770638914e-06,8.620982399065725e-08,-2.805287977025728e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06
seed7_default_unitbox,7,yes,no,3,1.5e-05,-0.0006462835008278,0.0133142343984097,0.0153371706895761,0.1296869218349456,0.0,0.0001162091518345,0.000261621036407,0.0143322190269827,0.0001162092051403,0.0002616210127779,0.0143322190269827,0.0001162092051403,0.0002616210127779,0.0143322190269827,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.1296869218349456,0.0894677035816728,0.0126018032370292,0.0302684070542454,0.0356968268752098,0.0350485909730196,0.0143322190269827,0.0012423539472315,0.0002375993870373,0.0001034288391003,0.0003318558447062,0.0003047624632017,0.0143322190269827,0.0012423539472315,0.0002375993870373,0.0001034288952749,0.0003318558447062,0.0003047624632017,0.0165779902323579,0.0231545334383686,0.0165779902323579,0.0231545334383686,True,True,0.0165779902323579,0.0231545334383686,0.0165779902323579,0.0231545334383686,0.0971709641861012,0.2752538680858016,0.5324371457099915,9.247317578342518e-09,2.2991453185738917e-10,9.477232110199909e-09,-8.023318482787177,free,4.308794359531021e-06,0.0,0.0,0.0,0.0003291465065558,0.0356320032849907,0.0003291465065558,0.0,0.0,0.0,0.0,0.0,0.0,0.0010108723072335,0.0867270827293396,0.0010108723072335,,,0.0143322190269827,0.0143322190269827,0.0143322190269827,0.0027937921695411,0.1245938688516616,0.0027937921695411,2.388454731772072e-06,9.26847349091986e-08,-4.308794359531021e-06,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05
seed7_default_unitbox,7,yes,no,4,2e-05,-0.0008742508362047,0.023987326620986,0.0314441139800813,0.3391519486904144,0.0,0.0002213683435927,0.0007336446543664,0.0429401844739913,0.0002213687239326,0.0007336445428429,0.0429401844739913,0.0002213687239326,0.0007336445428429,0.0429401844739913,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.3391519486904144,0.2014058238431199,0.0221518215571741,0.0524880852550266,0.0634993463754654,0.062305960804224,0.0429401844739913,0.0032365477894155,0.0004371800081571,0.0001849635597518,0.0006045633344911,0.0005550104542635,0.0429401844739913,0.0032365477894155,0.0004371800081571,0.0001849639747447,0.0006045633344911,0.0005550104542635,0.0101811394970124,0.0140791974207116,0.0101811394970124,0.0140791974207116,True,True,0.0101811394970124,0.0140791974207116,0.0101811394970124,0.0140791974207116,0.0653153303193749,0.1872297848225812,0.641079843044281,1.5785152740477315e-08,7.727337658636201e-10,1.6557886506340935e-08,-7.780995098542167,free,5.944989879935747e-06,0.0,0.0,0.0,0.0005996080464683,0.0633800078183412,0.0005996080464683,0.0,0.0,0.0,0.0,0.0,0.0,0.0018473656382411,0.1869729459285736,0.0018473656382411,,,0.0429401844739913,0.0429401844739913,0.0429401844739913,0.0081092538312077,0.3250105917453765,0.0081092538312077,3.090581458309316e-06,8.95600862804713e-08,-5.944989879935747e-06,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05
seed7_default_unitbox,7,yes,no,5,2.5e-05,-0.0008340276544913,0.0389214306549136,0.0668798810644289,0.8747787475585938,0.0059138791350951,0.0006070591650727,0.0069775804469086,0.3645032048225403,0.0006074295216028,0.0069775908718488,0.3645032048225403,0.0006074295216028,0.0069775908718488,0.3645032048225403,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.8747787475585938,0.4304684293392586,0.0345311005676469,0.0838418189436197,0.0941598117351532,0.0924443900585174,0.3645032048225403,0.0233275860195484,0.0007151393248932,0.0003058701027853,0.0009257846977561,0.0008518354152329,0.3645032048225403,0.0233380843927403,0.0007165114569943,0.0003061287365938,0.0009257846977561,0.0008518354152329,0.0019619562062325,0.0025398533826524,0.0019657205959085,0.0025398533826524,True,True,0.0019619562062325,0.0025398533826524,0.0019657205959085,0.0025398533826524,0.0394740963518138,0.1076384308580224,0.6861076354980469,2.259937659232492e-08,2.4414483767998263e-09,2.5040824969124745e-08,-7.60135136740902,free,7.649419785593636e-06,0.0,0.0,0.0,0.0009183897695038,0.0939882695674896,0.0009183897695038,0.0,0.0,0.0,0.0,0.0,0.0,0.0239313282072544,0.5736688375473022,0.0239313282072544,,,0.3645032048225403,0.3645032048225403,0.3645032048225403,0.1411981254816055,0.8229749798774719,0.1411981254816055,3.41624763677828e-06,1.416541721255271e-07,-7.649419785593636e-06,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05
seed7_default_unitbox,7,yes,no,6,3e-05,-0.0008671106188558,0.0544073173304065,0.0924585736107141,1.000199794769287,0.01071890593236,0.0019494876275142,0.0326825121053929,1.1544747352600098,0.0019553213786245,0.0326838355630313,1.1544747352600098,0.0019553213786245,0.0326838355630313,1.1544747352600098,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,1.000199794769287,0.5016238158696318,0.0498456853042234,0.1243771165609359,0.1268944293260574,0.124720562249422,1.1544747352600098,0.1024169478401895,0.0010726155538577,0.0006073505722284,0.0013018359895795,0.0012009792262688,1.1544747352600098,0.1027203604170023,0.0010744314349722,0.0006093179992462,0.0013018359895795,0.0012009792262688,0.0009290940036173,0.0011276435506285,0.0009306669103765,0.0011276435506285,True,True,0.0009290940036173,0.0011276435506285,0.0009306669103765,0.0011276435506285,0.0498357283863682,0.12686908154718,0.6936549544334412,2.909904850412204e-08,5.042765760521206e-09,3.4141814264643244e-08,-7.466713404598318,free,9.2164327725186e-06,0.0,0.0,0.0,0.0012917503132484,0.1266770426183939,0.0012917503132484,0.0,0.0,0.0,0.0,0.0,0.0,0.2050696760416031,0.9018112421035768,0.2050696760416031,,,1.1544747352600098,1.1544747352600098,1.1544747352600098,0.6834970593452444,0.961631202697754,0.6834970593452444,3.624728833528934e-06,2.465953713226555e-07,-9.2164327725186e-06,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05
seed7_default_unitbox,7,yes,no,7,3.5e-05,-0.0011003160616382,0.0698766255842398,0.1151274346495377,1.0004754066467283,0.0170024025133986,0.0047553753596926,0.0801770017219458,2.52828049659729,0.0047817848945523,0.0802158545481368,2.52828049659729,0.0047817848945523,0.0802158545481368,2.52828049659729,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,0.0050210845656692,0.0049986438825726,1.0004754066467283,0.5176489121497494,0.0658776970081312,0.1711559027433393,0.1592034101486206,0.1558751910924911,2.52828049659729,0.2500148786547134,0.0014285316108725,0.0015181175786381,0.0016819728771224,0.0015484138275496,2.52828049659729,0.2515622697087752,0.0014425420900806,0.0015243722013449,0.0016819728771224,0.0015484138275496,0.0005650210143989,0.0006652635573411,0.000570562519476,0.0006652635573411,True,True,0.0005650210143989,0.0006652635573411,0.000570562519476,0.0006652635573411,0.0658463931951431,0.1591277597539545,0.6877238750457764,3.456097985576889e-08,8.575085530537763e-09,4.3136065386306655e-08,-7.365159471170086,free,1.042797612171853e-05,0.0,0.0,0.0,0.0016686169721651,0.1588705882430076,0.0016686169721651,-0.0,0.0,-0.0,0.0,0.0,0.0,0.8825242519378662,0.9836724996566772,0.8825242519378662,,,2.52828049659729,2.52828049659729,2.52828049659729,1.840707826614378,0.9855528354644776,1.840707826614378,3.520347718222183e-06,3.241625350369759e-07,-1.042797612171853e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05
seed7_default_unitbox,7,yes,no,8,4e-05,-0.0012596524320542,0.0850348632263541,0.137200193445692,1.0007818937301636,0.0249491776011827,0.0097948494599365,0.1587376886317063,4.842612266540527,0.0098240672719201,0.1587375643200052,4.842612266540527,0.0098240672719201,0.1587375643200052,4.842612266540527,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,1.0007818937301636,0.5245515351017861,0.0815320761412934,0.2442555911839005,0.1835468858480453,0.179203376173973,4.842612266540527,0.477551645626715,0.0019642039085738,0.0037349664536523,0.0020181122235953,0.0018448493210598,4.842612266540527,0.4786148563841492,0.0019843743415549,0.0037517952421678,0.0020181122235953,0.0018448493210598,0.0004056083370839,0.0004167404104473,0.000409773533856,0.0004167404104473,True,True,0.0004056083370839,0.0004167404104473,0.000409773533856,0.0004167404104473,0.0814683765284792,0.183403483813961,0.6701765060424805,3.834374240341276e-08,1.2775909219442385e-08,5.1119651622855145e-08,-7.291412114528591,free,1.0833398846443744e-05,0.0,0.0,0.0,0.0020007859333418,0.1831125348806381,0.0020007859333418,-0.0,0.0,-0.0,0.0,0.0,0.0,2.284506559371948,1.0005080699920654,2.284506559371948,,,4.842612266540527,4.842612266540527,4.842612266540527,3.828649139404292,0.9935449481010435,3.828649139404292,3.64700599675416e-06,5.694809914302823e-07,-1.0833398846443744e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05
seed7_default_unitbox,7,yes,no,9,4.5e-05,-0.0015043127350509,0.0980919602405738,0.1581347798668727,1.000997543334961,0.0345592311957124,0.0170222828128131,0.2522042892298063,7.250380516052246,0.0170629956007473,0.252202373673014,7.250380516052246,0.0170629956007473,0.252202373673014,7.250380516052246,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,1.000997543334961,0.5287643148474497,0.0944137616690137,0.3377400577068328,0.1941155046224594,0.1880778595805168,7.250380516052246,0.7435038028331061,0.002520969742909,0.0078367276605653,0.0021146340295672,0.001920890121255,7.250380516052246,0.7442781570616094,0.0026405179407447,0.0078709759244117,0.0021146340295672,0.001920890121255,0.0003477017154241,0.00029165835157,0.0003641902566215,0.00029165835157,True,True,0.0003477017154241,0.00029165835157,0.0003641902566215,0.00029165835157,0.0943196737071515,0.1939220589650369,0.6897196173667908,4.018691157625653e-08,1.7172602895243472e-08,5.7359514471500006e-08,-7.241394533477648,free,1.017994054564042e-05,0.0,0.0,0.0,0.002095259638736,0.1935117401182651,0.002095259638736,-0.0,0.0,-0.0,0.0,0.0,0.0,3.794832944869995,1.0007567405700684,3.794832944869995,,,7.250380516052246,7.250380516052246,7.250380516052246,5.929727554321285,0.9962812542915344,5.929727554321285,3.592750545067247e-06,8.109132181743916e-07,-1.017994054564042e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05
