case,event,metric,threshold,step,Delta,value
old_history_full_seed2,first_alpha_mean_gt_0p05,alpha_mean,0.05,6,3e-05,0.0585224844554778
old_history_full_seed2,first_alpha_mean_gt_0p1,alpha_mean,0.1,8,4e-05,0.10749028498904266
old_history_full_seed2,first_alpha_mean_gt_0p2,alpha_mean,0.2,18,6.3e-05,0.20267066921659202
old_history_full_seed2,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
old_history_full_seed2,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max,0.25,,,
old_history_full_seed2,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max,0.5,,,
old_history_full_seed2,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,0.25,,,
old_history_full_seed2,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,0.5,,,
old_history_full_seed2,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max,0.5,,,
old_history_full_seed2,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,0.5,,,
