case_id,epoch,loss_kind,strain_weight,input_scaled,hidden_layers,neurons,activation,loss,displacement_mse,strain_mse,energy_log10,elastic_energy
normalized_global_strain_w0p0001,1,normalized_global_strain,0.0001,False,8,400,TrainableReLU,0.17127294838428497,5.749637961918741e-14,5.357845278552986e-09,-10.14924144744873,7.091841697226542e-11
normalized_global_strain_w0p0001,100,normalized_global_strain,0.0001,False,8,400,TrainableReLU,0.008288290351629257,2.7560097352061566e-15,6.822349263302385e-08,-9.4724760055542,3.369177159484593e-10
normalized_global_strain_w0p0001,200,normalized_global_strain,0.0001,False,8,400,TrainableReLU,0.003985381219536066,1.1295231997239378e-15,6.829315424283777e-08,-9.462141990661621,3.450316143904786e-10
normalized_global_strain_w0p001,1,normalized_global_strain,0.001,False,8,400,TrainableReLU,0.17192399501800537,5.750094004457543e-14,5.3579420900007335e-09,-10.149237632751465,7.09191039227619e-11
normalized_global_strain_w0p001,100,normalized_global_strain,0.001,False,8,400,TrainableReLU,0.030112268403172493,8.819826278008442e-15,3.6502719069630984e-08,-9.734686851501465,1.842100499915844e-10
normalized_global_strain_w0p001,200,normalized_global_strain,0.001,False,8,400,TrainableReLU,0.015401388518512249,3.047163123022956e-15,5.210119269349889e-08,-9.56714916229248,2.7092628140934494e-10
normalized_global_strain_w0p01,1,normalized_global_strain,0.01,False,8,400,TrainableReLU,0.17843444645404816,5.752274606076954e-14,5.358528287757736e-09,-10.149198532104492,7.092541831621446e-11
normalized_global_strain_w0p01,100,normalized_global_strain,0.01,False,8,400,TrainableReLU,0.0565737821161747,9.399547485570547e-15,2.3614370903146664e-08,-9.87322998046875,1.3389678255038007e-10
normalized_global_strain_w0p01,200,normalized_global_strain,0.01,False,8,400,TrainableReLU,0.04014979302883148,3.5216178287573747e-15,7.336470098096015e-09,-10.188928604125977,6.472493374598542e-11
normalized_global_strain_w0p1,1,normalized_global_strain,0.1,False,8,400,TrainableReLU,0.24353906512260437,5.822009134558506e-14,5.3667537081025785e-09,-10.149361610412598,7.089875908583565e-11
normalized_global_strain_w0p1,100,normalized_global_strain,0.1,False,8,400,TrainableReLU,0.19203492999076843,4.3986461608497285e-14,5.459617646863535e-09,-10.175606727600098,6.6741077942023e-11
normalized_global_strain_w0p1,200,normalized_global_strain,0.1,False,8,400,TrainableReLU,0.1847122311592102,4.166460199853811e-14,5.326210139600107e-09,-10.156942367553711,6.967192101026143e-11
normalized_global_strain_w1,1,normalized_global_strain,1.0,False,8,400,TrainableReLU,0.894585132598877,5.611481806023881e-14,5.299124694602142e-09,-10.150638580322266,7.06905367575672e-11
normalized_global_strain_w1,100,normalized_global_strain,1.0,False,8,400,TrainableReLU,0.5441660284996033,7.294498663955318e-14,2.546680644144317e-09,-10.092729568481445,8.077388063965074e-11
normalized_global_strain_w1,200,normalized_global_strain,1.0,False,8,400,TrainableReLU,0.5329777598381042,7.331444208235477e-14,2.464048520778306e-09,-10.086407661437988,8.195819717338182e-11
normalized_global_strain_w10,1,normalized_global_strain,10.0,False,8,400,TrainableReLU,7.405046463012695,5.782079323798581e-14,5.290149207581862e-09,-10.150221824645996,7.07583713843718e-11
normalized_global_strain_w10,100,normalized_global_strain,10.0,False,8,400,TrainableReLU,3.5196280479431152,8.235931739115215e-14,2.412020361219902e-09,-10.072985649108887,8.453063943258954e-11
normalized_global_strain_w10,200,normalized_global_strain,10.0,False,8,400,TrainableReLU,3.4616410732269287,8.24958116684045e-14,2.3648023539379892e-09,-10.068343162536621,8.543921126147325e-11
coordinate_scaled_network_w1,1,normalized_global_strain,1.0,True,8,400,TrainableReLU,0.8861140012741089,1.3353077324418372e-13,1.1097316843233784e-08,-9.9456205368042,1.1333912280919733e-10
coordinate_scaled_network_w1,100,normalized_global_strain,1.0,True,8,400,TrainableReLU,0.00022588409774471074,2.1552047395931646e-19,1.5911567853230113e-12,-10.43437671661377,3.678104348869837e-11
coordinate_scaled_network_w1,200,normalized_global_strain,1.0,True,8,400,TrainableReLU,9.517124999547377e-05,1.4412632141940858e-19,6.544622699680702e-13,-10.434415817260742,3.677766771681412e-11
capacity_10x500_w1,1,normalized_global_strain,1.0,False,10,500,TrainableReLU,0.8938287496566772,1.3243995743844605e-13,5.910976597078843e-09,-10.122870445251465,7.535794210866698e-11
capacity_10x500_w1,100,normalized_global_strain,1.0,False,10,500,TrainableReLU,0.5463613271713257,7.23235490593388e-14,2.5721589302918346e-09,-10.090519905090332,8.118592603745256e-11
activation_TrainableTanh_w1,1,normalized_global_strain,1.0,False,8,400,TrainableTanh,0.9293657541275024,3.8599314716725175e-12,3.253390801205569e-08,-9.55263614654541,2.801328613522003e-10
activation_TrainableTanh_w1,100,normalized_global_strain,1.0,False,8,400,TrainableTanh,0.5342849493026733,7.308660377207052e-14,2.472995586089155e-09,-10.084748268127441,8.227187681120185e-11
