case_id,strain_error_corr_log_area,strain_error_corr_aspect,strain_error_corr_boundary_distance,He_error_corr_log_area,He_error_corr_aspect,He_error_corr_boundary_distance,mean_strain_error_top_area_decile,mean_strain_error_other_area,mean_strain_error_high_aspect_decile,mean_strain_error_other_aspect
baseline_global_disp,-0.38545413287309166,0.09673461470995372,0.4273566575592967,-0.29208229133142494,0.08750192091661031,0.3846913698240255,4.9774507421257716e-05,3.413486676576069e-05,5.376283801127289e-05,3.369089979517367e-05
normalized_global_disp,-0.38545413287309166,0.09673461470995372,0.4273566575592967,-0.29208229133142494,0.08750192091661031,0.3846913698240255,4.9774507421257716e-05,3.413486676576069e-05,5.376283801127289e-05,3.369089979517367e-05
normalized_global_strain_w0p0001,-0.2782110467852452,0.10819047957684,0.2311223108417465,-0.24289354463181834,0.08901050040955545,0.3185815501463611,4.66772200397103e-05,4.832171820356433e-05,9.652587741523196e-05,4.277274052898377e-05
normalized_global_strain_w0p001,-0.2968320908863494,0.08591762357066066,0.21494847453760424,-0.2818797896017645,0.08740054189149171,0.22881405903541685,7.168269871081304e-05,6.786688940479007e-05,9.76229609937412e-05,6.497931040348651e-05
normalized_global_strain_w0p01,-0.3214758679972439,0.06778870967673879,0.2419568438102498,-0.37146196014391253,0.06328540360130175,0.3188983589746414,5.7816130723590146e-05,4.410611382599862e-05,5.33034161591658e-05,4.460845338112658e-05
normalized_global_strain_w0p1,-0.0013318836189963336,-0.027401981875604026,0.21777434397996642,-0.02611240124859924,-0.020871867310302765,0.15731580990485244,5.6833023253150134e-05,4.959470203107134e-05,5.1653698263880454e-05,5.0171246320285584e-05
normalized_global_strain_w1,0.20375475374517055,-0.08511861415511753,0.4178730733016978,0.21669327735477886,-0.07597115943350032,0.31281066436883737,4.263750035259891e-05,3.4366585828526066e-05,3.0565720536882475e-05,3.571037401092868e-05
normalized_global_strain_w10,0.2624557346896946,-0.10235071573086434,0.4681853459924526,0.24995963323751505,-0.08735694739722082,0.35015399958094306,3.9574163485969504e-05,3.240649481868819e-05,2.7892489907744472e-05,3.3706857743189727e-05
coordinate_scaled_network_w1,-0.3899317528560346,0.09577947170937574,-0.02200367808325554,-0.0892063201860767,0.0021294837739007397,0.2809003988045597,6.935037829153933e-07,6.196164198800608e-07,6.757548494748327e-07,6.215921688890532e-07
capacity_10x500_w1,0.15589298718263966,-0.07187266258971171,0.3547967654583526,0.24424144143209164,-0.09114281925528747,0.2675243357089848,4.4600788548242e-05,3.562286343791739e-05,3.1602074989459277e-05,3.706983463300062e-05
activation_TrainableTanh_w1,0.23320846757885447,-0.07830468177872464,0.3866333487155798,0.25470288323288,-0.06082276885738644,0.25147940335551777,4.300475937313271e-05,3.4711561372210626e-05,3.1595958457978814e-05,3.598154906907105e-05
