case_id,element_He_error_mean,element_He_error_p50,element_He_error_p90,element_He_error_p95,element_He_error_p99,element_He_error_max
baseline_global_disp,8.609590133697561e-07,7.677334679101477e-08,4.829154249819112e-07,8.87953490291693e-07,9.624028349286419e-06,0.00031188462742982523
normalized_global_disp,8.609590133697561e-07,7.677334679101477e-08,4.829154249819112e-07,8.87953490291693e-07,9.624028349286419e-06,0.00031188462742982523
normalized_global_strain_w0p0001,5.3099863595772845e-06,3.6884500786982244e-08,2.712081510480857e-07,8.508838789111905e-07,0.00012435409955283795,0.0014238517964110346
normalized_global_strain_w0p001,4.060973488609056e-06,7.6397952852858e-08,1.0737653610704e-06,9.103974878688081e-06,0.00011443693930438004,0.00046758080113527383
normalized_global_strain_w0p01,6.39303862622778e-07,1.2736063581542112e-07,1.2608986708073644e-06,2.1914632816477653e-06,6.576726424962314e-06,0.000158328652565487
normalized_global_strain_w0p1,4.3508999240030887e-07,1.4733140518696786e-07,9.852558378042886e-07,1.445895463046687e-06,4.671288805257846e-06,4.36439195254934e-05
normalized_global_strain_w1,2.3770481926936752e-07,7.059355766614317e-08,3.668743033813371e-07,1.058962823208276e-06,2.7948583010584097e-06,4.5613322242843424e-05
normalized_global_strain_w10,2.3689588327056848e-07,5.973199668218854e-08,4.170401242120647e-07,1.0696172694224515e-06,3.0622435231664175e-06,4.4862075128548895e-05
coordinate_scaled_network_w1,2.7297691037437213e-09,1.052001152856974e-09,7.378389454970602e-09,1.0164598052142537e-08,1.6334672636730825e-08,5.195906851440668e-07
capacity_10x500_w1,2.5450336391613954e-07,9.193638561555417e-08,4.4954333588975715e-07,1.0353632866610951e-06,2.9244512935455667e-06,4.570284238525346e-05
activation_TrainableTanh_w1,2.4001405244107994e-07,7.025715831332491e-08,4.4312218960840255e-07,1.0292525303157163e-06,2.8255682750222243e-06,4.540735676528129e-05
