case_id,family,loss_kind,strain_weight,epochs,seed,hidden_layers,neurons,activation,input_scaled_to_minus1_1,source_artifact,reuse_reason,displacement_mse,displacement_relative_rmse,strain_mse,strain_relative_rmse,u_corr,v_corr,strain_corr,He_current_corr,standard_energy_ratio_vs_exact,pinn_mechanics_energy_ratio_vs_exact,reaction_N,reaction_exact_N,reaction_ratio,reaction_sign_match,free_residual_L2,boundary_residual_abs_max,notch_tip_He_current_max,bulk_He_current_p95,bottom_right_He_current_max,bulk_to_notch_He_current,bottom_to_notch_He_current,max_He_current,max_He_current_x,max_He_current_y,classification,passes_suggested_thresholds
baseline_global_disp,A,global_disp,0.0,800,2,8,400,TrainableReLU,False,d:\Desktop\新建文件夹\cc-work\examples\TM_comsol_no_thermal_micro\runs\20260608_exact_fe_target_prefit\artifacts\disp_global_prefit_end_fields.npz,reused previous accepted exact-target 8x400 displacement-only prefit artifact,1.4599931451064676e-16,0.01977395909566027,9.826511977500758e-09,1.1590740100860106,0.9988618660647427,0.9994247454250544,0.6347415053762279,0.07393151100870121,2.045624326081702,2.0925167785646495,0.04894129356214469,0.04846581802239973,1.009810533673964,True,0.0001106898917553373,2.5247572468697606e-15,5.100997077533975e-05,1.4845523082840368e-06,1.959217570401961e-06,0.02910317896127336,0.038408521718838635,0.00031188465072773397,0.0006947676271518835,0.00508278545659319,displacement-only-good / strain-bad,False
normalized_global_disp,B,normalized_global_disp,0.0,800,2,8,400,TrainableReLU,False,d:\Desktop\新建文件夹\cc-work\examples\TM_comsol_no_thermal_micro\runs\20260608_exact_fe_target_prefit\artifacts\disp_global_prefit_end_fields.npz,constant positive displacement normalization is RPROP sign-invariant; reused baseline artifact,1.4599931451064676e-16,0.01977395909566027,9.826511977500758e-09,1.1590740100860106,0.9988618660647427,0.9994247454250544,0.6347415053762279,0.07393151100870121,2.045624326081702,2.0925167785646495,0.04894129356214469,0.04846581802239973,1.009810533673964,True,0.0001106898917553373,2.5247572468697606e-15,5.100997077533975e-05,1.4845523082840368e-06,1.959217570401961e-06,0.02910317896127336,0.038408521718838635,0.00031188465072773397,0.0006947676271518835,0.00508278545659319,displacement-only-good / strain-bad,False
normalized_global_strain_w0p0001,C,normalized_global_strain,0.0001,200,2,8,400,TrainableReLU,False,,,1.1295232365121713e-15,0.05500039492386151,6.829329668758673e-08,3.055628222930298,0.9986525706377511,0.9951951225276017,0.2906014943156485,-0.02534781508414541,8.915226035383062,9.383023403329682,0.05082487259981537,0.04846581802239973,1.0486746056019387,True,0.0003080632222660275,2.5247572468697606e-15,8.208787039620802e-05,1.3452313567086065e-06,1.6364222119591432e-06,0.016387699549466547,0.019935006281204933,0.0014238518197089434,0.0006947676271518835,0.00508278545659319,failed,False
normalized_global_strain_w0p001,C,normalized_global_strain,0.001,200,2,8,400,TrainableReLU,False,,,3.047163248111922e-15,0.09033708734820886,5.2101207379269287e-08,2.668918841600561,0.9973602795624674,0.9873366201049317,0.31559524169781855,-0.04638660305193923,7.050009079473238,7.367745245660567,0.04640945711287606,0.04846581802239973,0.9575709026808694,True,0.00020957707707502541,2.5247572468697606e-15,2.2818952857051045e-05,7.602199002576467e-06,1.4705690318805864e-06,0.3331528422973796,0.06444507077484853,0.00046758080134168267,0.00010113585768990697,0.0049107758101851855,boundary-dominated,False
normalized_global_strain_w0p01,C,normalized_global_strain,0.01,200,2,8,400,TrainableReLU,False,,,3.521617920367978e-15,0.0971156767039669,7.336479942837393e-09,1.0015101177570667,0.9964990814546345,0.9898995423299454,0.6680756830258266,0.014616033818215256,1.7481822823150384,1.7601720800042193,0.051973032430921905,0.04846581802239973,1.0723647005586747,True,6.88075153250434e-05,2.5247572468697606e-15,2.1170453692320734e-05,2.189851920775251e-06,1.7086958905565552e-06,0.10343906430165865,0.08071134966636824,0.00015833663928788155,0.0027147746847902745,0.0050833538004239134,failed,False
normalized_global_strain_w0p1,C,normalized_global_strain,0.1,200,2,8,400,TrainableReLU,False,,,4.166460498719484e-14,0.33404260163247723,5.32620977723592e-09,0.8533370606741342,0.9546962461462971,0.8595989556710708,0.7104171034394589,0.055418417337086474,1.9072156485993073,1.8947032732318243,0.0944185788428419,0.04846581802239973,1.9481478430675392,True,3.680867196574869e-05,2.5247572468697606e-15,2.8231106625753455e-06,1.217588754798271e-06,1.8440637177263852e-06,0.4312933144772801,0.6532027745749657,1.3504852176993154e-05,0.0019141514469779824,0.004915155424193428,failed,False
normalized_global_strain_w1,C,normalized_global_strain,1.0,200,2,8,400,TrainableReLU,False,,,7.331444387766532e-14,0.443111473510868,2.4640484911206735e-09,0.5804116205476109,0.7950491368238242,0.6525400292638464,0.8255802515201269,0.20395920038458748,2.241261222284834,2.228824023419275,0.12526056795844914,0.04846581802239973,2.5845136442462757,True,2.1422105908426396e-05,2.5247572468697606e-15,1.0295991614839295e-06,7.289610266525415e-07,1.7914076124725398e-06,0.7080046817461588,1.739907800517863,3.4735626286419574e-06,0.0006380109637898001,0.0013105931285970179,broad/background,False
normalized_global_strain_w10,C,normalized_global_strain,10.0,200,2,8,400,TrainableReLU,False,,,8.249581268538462e-14,0.4700393052746288,2.364802260144093e-09,0.5686026635058212,0.713146414310051,0.6086038889442621,0.8314211840948561,0.2206963740460376,2.332458076571475,2.3234889715251485,0.1277766918564419,0.04846581802239973,2.636429076620281,True,2.2318523924035353e-05,2.5247572468697606e-15,1.660561338212574e-06,7.22162394595216e-07,1.6556045920879114e-06,0.4348905264604984,0.9970150177469518,3.7851150409551337e-06,0.00015871250126169248,0.009209492513455264,boundary-dominated,False
coordinate_scaled_network_w1,D,normalized_global_strain,1.0,200,2,8,400,TrainableReLU,True,,,1.4412649506134633e-19,0.0006212839520098565,6.544631032379409e-13,0.009459192364474308,0.9999992508093158,0.9999998087738259,0.9999520035849092,0.9999765696748083,1.0000813461065,1.0001555837830938,0.04840511697987011,0.04846581802239973,0.9987475494068506,True,8.66318972074852e-07,2.5247572468697606e-15,4.6986620873212814e-05,9.499078259977974e-07,1.9111234905722085e-06,0.02021655970028145,0.04067378021775864,4.6986620873212814e-05,0.005021084355784554,0.00499864349766533,exact-target-like,True
capacity_10x500_w1,E,normalized_global_strain,1.0,100,2,10,500,TrainableReLU,False,,,7.232354731953278e-14,0.4401068039438297,2.5721590050057327e-09,0.5930077646601157,0.8467193828101144,0.659357200611924,0.8174514887416586,0.17750542582489032,2.221249891002199,2.2078225714612167,0.13799089087537142,0.04846581802239973,2.847179651679362,True,1.7874381502242315e-05,2.5247572468697606e-15,9.399514055985492e-07,7.047279439120757e-07,1.6348627696061158e-06,0.7497493378004088,1.7393056277894023,3.630588707892457e-06,0.00028824824487978996,0.0001189819467487041,boundary-dominated,False
activation_TrainableTanh_w1,F,normalized_global_strain,1.0,100,2,8,400,TrainableTanh,False,,,7.308660267304829e-14,0.44242240320665505,2.472995416249947e-09,0.5814643989394562,0.7823549388941459,0.6556670321193561,0.8263198591860003,0.2237814796906496,2.2407481493494106,2.23735443033078,0.1382143419578724,0.04846581802239973,2.8517901398877266,True,2.01361865560679e-05,2.5247572468697606e-15,1.0942148946924135e-06,7.968937097757588e-07,8.690414006196079e-07,0.7282789821644382,0.7942145595302809,3.8104171835584566e-06,0.0002959667307759226,0.009886584094058773,boundary-dominated,False
