case_id,nodal_disp_error_mean,nodal_disp_error_p50,nodal_disp_error_p90,nodal_disp_error_p95,nodal_disp_error_p99,nodal_disp_error_max,element_strain_error_mean,element_strain_error_p50,element_strain_error_p90,element_strain_error_p95,element_strain_error_p99,element_strain_error_max
baseline_global_disp,5.244498110333904e-09,3.5349047202222152e-09,8.913747854016272e-09,1.1784662930794943e-08,2.8262955814940396e-08,2.1706810772262965e-07,3.5701432139125945e-05,1.887038504357487e-05,6.375569560758926e-05,8.889742179656474e-05,0.00030101104255649886,0.0020289975402359903
normalized_global_disp,5.244498110333904e-09,3.5349047202222152e-09,8.913747854016272e-09,1.1784662930794943e-08,2.8262955814940396e-08,2.1706810772262965e-07,3.5701432139125945e-05,1.887038504357487e-05,6.375569560758926e-05,8.889742179656474e-05,0.00030101104255649886,0.0020289975402359903
normalized_global_strain_w0p0001,8.299744132806272e-09,3.5304561835009123e-09,1.1333323663641513e-08,1.504478549778508e-08,9.470141497781363e-08,4.930094476490321e-07,4.8156994861333896e-05,1.0688040940300077e-05,4.2700541481338217e-05,7.969574452875943e-05,0.0012801515586247452,0.004320437387102907
normalized_global_strain_w0p001,1.8590515629762437e-08,5.747648734475363e-09,3.0077086819739924e-08,8.301902172317037e-08,2.8075049608167777e-07,6.772915610519297e-07,6.824910501075282e-05,1.3977912297234563e-05,0.00010854894030059136,0.00034778478680321656,0.0012160336234554104,0.0024801812962263583
normalized_global_strain_w0p01,3.4992559048248806e-08,1.314288530199135e-08,1.0907216110865573e-07,1.4334027412268068e-07,2.1035356530865435e-07,3.3062609436571374e-07,4.547939587340106e-05,1.915902569923746e-05,0.00012285371134864947,0.00016685341439405993,0.0002987822805152504,0.0014360431826934313
normalized_global_strain_w0p1,1.3967830000960789e-07,5.868100449156876e-08,3.5593686093991947e-07,4.079943848684492e-07,4.814776995853097e-07,5.591661810796844e-07,5.031973808769057e-05,3.6493648559793054e-05,0.00011461655855306812,0.00013748710727701322,0.00023876705602862984,0.000589466166924341
normalized_global_strain_w1,1.9596678596788095e-07,1.0743269832834814e-07,4.7111655220279063e-07,4.956544500264259e-07,5.30773875898033e-07,5.583201159076351e-07,3.519505296436926e-05,2.735167249713079e-05,6.35777354161221e-05,9.521513662637921e-05,0.00018948588676856795,0.0006809269002043543
normalized_global_strain_w10,2.241390959658695e-07,1.287193820877615e-07,4.924566662719572e-07,5.180563102969274e-07,5.496018834107404e-07,5.772787899533654e-07,3.31244538683401e-05,2.197172570695571e-05,5.950041474036355e-05,9.530276285531526e-05,0.00020147620654721325,0.0006406871906639008
coordinate_scaled_network_w1,3.3525042184532033e-10,3.043527131752459e-10,5.862124026692113e-10,6.622863993308115e-10,8.387034202288058e-10,1.2821937640481951e-09,6.270174457098798e-07,5.29652542899753e-07,1.1224618360470138e-06,1.3577395486899334e-06,2.0789873116604123e-06,8.562752609498596e-06
capacity_10x500_w1,1.9415816202049866e-07,1.0028578966660244e-07,4.673207959299884e-07,4.922143383968926e-07,5.287341570663677e-07,5.555188122814326e-07,3.652214922793697e-05,2.9972219680122695e-05,6.435211826493776e-05,9.637187116772361e-05,0.0001926300693923127,0.0006906045812757971
activation_TrainableTanh_w1,1.9634285124750585e-07,1.0783879852105642e-07,4.714619659728967e-07,4.959446361418146e-07,5.313659564211515e-07,5.614624421482939e-07,3.5542260562101544e-05,2.8892598323961018e-05,6.522132343210497e-05,9.661844497918255e-05,0.0001908425789566331,0.00066785714256175
