case_id,epoch,loss_kind,energy_mode,loss,displacement_mse,strain_mse,energy_log10,elastic_energy
prefit_disp_global,1,disp_global,none,6.392471594380764e-14,5.74956748877753e-14,5.357835952679579e-09,-10.149240493774414,7.09185626890374e-11
prefit_disp_global,50,disp_global,none,4.9603672406563215e-14,4.896116403475294e-14,5.46585221528062e-09,-10.183475494384766,6.55427032092426e-11
prefit_disp_global,100,disp_global,none,4.046734633858257e-15,3.726532886390082e-15,6.647159267458846e-08,-9.488445281982422,3.2475472311332965e-10
prefit_disp_global,150,disp_global,none,1.6693357088223273e-15,1.528572491394937e-15,9.02892409726519e-08,-9.343982696533203,4.5291589922946685e-10
prefit_disp_global,200,disp_global,none,1.0951263564062431e-15,1.1324128526234959e-15,8.280660779291793e-08,-9.388045310974121,4.092177707804012e-10
prefit_disp_global,250,disp_global,none,9.907201224156124e-16,9.237142046945217e-16,6.087628889872576e-08,-9.494013786315918,3.2061719945630784e-10
prefit_disp_global,300,disp_global,none,7.923172129000735e-16,8.98398825120814e-16,6.983203348909228e-08,-9.4540433883667,3.515249202834525e-10
prefit_disp_global,350,disp_global,none,8.237780282643479e-16,6.446831818419116e-16,4.120350638459058e-08,-9.645196914672852,2.2636159613398377e-10
prefit_disp_global,400,disp_global,none,5.151632679981381e-16,7.690257656142708e-16,5.4533963123049034e-08,-9.550594329833984,2.8145286101732836e-10
prefit_disp_global,450,disp_global,none,6.98681214592018e-16,3.962574446070695e-16,2.4285956357061877e-08,-9.83257007598877,1.470380484036582e-10
prefit_disp_global,500,disp_global,none,3.208707182080487e-16,6.493134874480772e-16,4.462759051193643e-08,-9.6266450881958,2.3624130429666934e-10
prefit_disp_global,550,disp_global,none,6.0971093845523525e-16,2.8243358067151024e-16,1.65911124838658e-08,-9.953207015991211,1.11376324829493e-10
prefit_disp_global,600,disp_global,none,3.1100201674892766e-16,5.725109984172801e-16,3.756221289563655e-08,-9.68949031829834,2.044137081824715e-10
prefit_disp_global,650,disp_global,none,4.9238655204647e-16,2.4136643230352676e-16,1.3798198139625129e-08,-10.007392883300781,9.831216396527509e-11
prefit_disp_global,700,disp_global,none,2.902011904351874e-16,3.4573759383618524e-16,2.3688173200753226e-08,-9.848910331726074,1.4160880801306064e-10
prefit_disp_global,750,disp_global,none,6.996054334165909e-16,6.533310176564636e-16,4.760944705139991e-08,-9.61063289642334,2.4511379037583936e-10
prefit_disp_global,800,disp_global,none,1.46986474369986e-16,1.459992839397407e-16,9.826489844044772e-09,-10.113814353942871,7.694586634521272e-11
prefit_disp_strain_global,1,disp_strain_global,none,1.1683575385380146e-13,5.618481008673633e-14,5.3320619031183014e-09,-10.149774551391602,7.083134079266529e-11
prefit_disp_strain_global,50,disp_strain_global,none,9.886781335028544e-14,5.252784020465598e-14,4.632473071808363e-09,-10.182952880859375,6.56217302719142e-11
prefit_disp_strain_global,100,disp_strain_global,none,9.458266689386235e-14,5.944610716223167e-14,3.5022491573499792e-09,-10.158578872680664,6.940989449866208e-11
