step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.03959572195810779,0.03692833577417787,3959.5721958107783,3692.8335774177863
1,5e-06,0.0005,0.23485852898375015,0.19489128990812787,23485.85289837501,19489.128990812787
2,1e-05,0.001,0.4657541408050747,0.37747601925275376,46575.414080507464,37747.601925275376
3,1.5e-05,0.0015,0.6686752399218676,0.5306953070203235,66867.52399218676,53069.530702032345
4,2e-05,0.002,0.8345913759342238,0.6413636715478788,83459.13759342238,64136.36715478787
5,2.5e-05,0.0025,0.940072326329755,0.6891922114391491,94007.23263297549,68919.22114391491
6,3e-05,0.003,1.008142980822413,0.6950981254760791,100814.29808224128,69509.8125476079
7,3.5e-05,0.0034999999999999996,1.0554012754937503,0.6725057322256589,105540.12754937501,67250.57322256589
8,4e-05,0.004,1.1453896390776208,0.673215409506156,114538.96390776207,67321.5409506156
9,4.5e-05,0.0045000000000000005,1.2691977173062696,0.7193633029345392,126919.77173062695,71936.33029345391
10,4.7e-05,0.004699999999999999,1.3146247980557746,0.741852222745365,131462.47980557746,74185.2222745365
11,4.9e-05,0.0049,1.2895262018446374,0.7294440430314353,128952.62018446373,72944.40430314353
12,5.1e-05,0.0050999999999999995,1.3059445658427649,0.7389650174616236,130594.45658427647,73896.50174616235
13,5.3e-05,0.0053,1.2875761579067557,0.7275665251427199,128757.61579067557,72756.65251427199
14,5.5e-05,0.0055,1.2619994397482515,0.7127086347793465,126199.94397482513,71270.86347793465
15,5.7e-05,0.0057,1.33265459589893,0.7476306352600659,133265.459589893,74763.06352600659
16,5.9e-05,0.0059,1.299846866572807,0.7287845163546081,129984.68665728068,72878.4516354608
17,6.1e-05,0.0060999999999999995,1.2997933114320404,0.7257075668718471,129979.33114320402,72570.75668718471
18,6.3e-05,0.0063,1.312478706836373,0.736491679987239,131247.8706836373,73649.16799872389
19,6.5e-05,0.0065,1.3557054772945776,0.7546939175000489,135570.54772945776,75469.39175000488
20,6.7e-05,0.0067,1.3492503306906656,0.7488624818279277,134925.03306906656,74886.24818279277
21,6.9e-05,0.0069,1.370260757369124,0.7577310495747724,137026.07573691237,75773.10495747723
22,7.1e-05,0.0071,1.4172318318514954,0.7860029082280562,141723.18318514954,78600.29082280562
23,7.3e-05,0.0073,1.4287371146792793,0.7891464179010654,142873.71146792793,78914.64179010654
24,7.5e-05,0.007499999999999999,1.4128524880021587,0.783536924842565,141285.24880021586,78353.69248425649
25,7.7e-05,0.0077,1.501571862036144,0.8240850967240476,150157.1862036144,82408.50967240476
26,8e-05,0.008,1.4635616267355545,0.8048104819238233,146356.16267355543,80481.04819238232
27,8.3e-05,0.0083,1.4883229381439378,0.8089623031537485,148832.29381439378,80896.23031537485
28,8.6e-05,0.0086,1.5112718275531734,0.8305505211865238,151127.18275531734,83055.05211865238
29,8.9e-05,0.0089,1.5272060336428694,0.8314536175930698,152720.60336428694,83145.36175930698
30,9.2e-05,0.0092,1.6681375533096343,0.894574467338316,166813.7553309634,89457.44673383159
31,9.5e-05,0.0095,1.6013810343338264,0.867309875616229,160138.10343338264,86730.9875616229
32,9.8e-05,0.0098,1.6718158191508792,0.9013031910285463,167181.5819150879,90130.31910285461
33,0.0001,0.01,1.6414832185773776,0.8940204378689032,164148.32185773776,89402.04378689031
