case_id,case_group,start_prefit,continuation_mode,energy_mode,lambda_u,lambda_eps,lambda_trust_u,lambda_trust_eps,displacement_rel_rmse,strain_corr,He_current_corr,bulk_to_notch_He_current,bottom_to_notch_He_current,success_all_thresholds,classification
prefit_disp_global,prefit,disp_global,prefit_only,none,0.0,0.0,0.0,0.0,0.005636722780764103,0.9843130111694336,0.8933058977127075,0.0930423472922797,0.01011280931272389,True,target-like
prefit_disp_strain_global,prefit,disp_strain_global,prefit_only,none,0.0,0.0,0.0,0.0,0.006094607524573803,0.9847221970558167,0.9415749311447144,0.13873241164734726,0.016378281535894747,True,target-like
pure_energy_baseline_log10,pure_energy_baseline,disp_strain_global,pure_energy_baseline,log10,0.0,0.0,0.0,0.0,0.9997037649154663,-0.016975905746221542,-0.014970521442592144,0.14621806314909913,0.2656890291746443,False,collapsed/non-target
global_displacement_anchor_lamU_1e-06,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,1e-06,0.0,0.0,0.0,0.999687671661377,0.015162795782089233,0.17882958054542542,0.04985629441885753,0.07310262519124411,False,notch-amplified
global_displacement_anchor_lamU_1e-05,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,1e-05,0.0,0.0,0.0,0.999677300453186,0.030830616131424904,0.07805755734443665,0.23928168616234238,0.35715001278083525,False,collapsed/non-target
global_displacement_anchor_lamU_1e-04,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.0001,0.0,0.0,0.0,0.9995498657226562,0.2719272971153259,0.1931351274251938,0.32796489650532135,0.17346970229540054,False,collapsed/non-target
global_displacement_anchor_lamU_1e-03,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.001,0.0,0.0,0.0,0.9981629252433777,0.6022056341171265,0.7799056768417358,2.907245524685792,0.1686964358309357,False,boundary-dominated
global_displacement_anchor_lamU_1e-02,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.01,0.0,0.0,0.0,0.9847686290740967,0.7107536196708679,0.8177531957626343,0.9908468985885587,0.2472361768041156,False,boundary-dominated
global_displacement_anchor_lamU_1e-01,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.1,0.0,0.0,0.0,0.8820462226867676,0.8816887736320496,0.8697629570960999,0.18036680288490153,0.003042412070718408,False,boundary-dominated
global_strain_anchor_lamEps_1e-08,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.0,1e-08,0.0,0.0,0.9996987581253052,-0.007933616638183594,-0.04375983402132988,0.575870993087462,0.9772786997886249,False,collapsed/non-target
global_strain_anchor_lamEps_1e-07,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.0,1e-07,0.0,0.0,0.9996975064277649,0.0022211242467164993,0.19384229183197021,0.02954788448051282,0.05021588638584791,False,notch-amplified
global_strain_anchor_lamEps_1e-06,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.0,1e-06,0.0,0.0,0.9996850490570068,0.021780449897050858,0.07649353891611099,0.08267963697405423,0.12030210221134202,False,collapsed/non-target
global_strain_anchor_lamEps_1e-05,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.0,1e-05,0.0,0.0,0.9996911287307739,0.04494519159197807,0.22097180783748627,0.02458624017792109,0.042629634073685585,False,notch-amplified
global_strain_anchor_lamEps_1e-04,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.0,0.0001,0.0,0.0,0.9995926022529602,0.5445083379745483,0.3749462366104126,0.027051391464376236,0.03822985059569301,False,notch-amplified
global_strain_anchor_lamEps_1e-03,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.0,0.001,0.0,0.0,0.9987598657608032,0.8503416180610657,0.4802611470222473,0.027586192313696738,0.011131137695914376,False,notch-amplified
global_disp_strain_anchor_lamU_1e-04_lamEps_1e-06,global_displacement_plus_strain_anchor,disp_strain_global,global_displacement_plus_strain_anchor,normalized,0.0001,1e-06,0.0,0.0,0.9995377659797668,0.2004586011171341,0.5791128277778625,1.0254926401121844,0.46779044521827756,False,boundary-dominated
global_disp_strain_anchor_lamU_1e-03_lamEps_1e-05,global_displacement_plus_strain_anchor,disp_strain_global,global_displacement_plus_strain_anchor,normalized,0.001,1e-05,0.0,0.0,0.9980997443199158,0.6983526349067688,0.7266640663146973,0.12863985095985167,0.006840388018932157,False,boundary-dominated
global_disp_strain_anchor_lamU_1e-02_lamEps_1e-04,global_displacement_plus_strain_anchor,disp_strain_global,global_displacement_plus_strain_anchor,normalized,0.01,0.0001,0.0,0.0,0.9849467873573303,0.702404260635376,0.8086168766021729,2.431059530067499,0.5961509027947965,False,boundary-dominated
global_disp_strain_anchor_lamU_1e-01_lamEps_1e-03,global_displacement_plus_strain_anchor,disp_strain_global,global_displacement_plus_strain_anchor,normalized,0.1,0.001,0.0,0.0,0.8874502778053284,0.8382906913757324,0.746566653251648,4.080510774497618,0.09039214299647547,False,boundary-dominated
