case_id,method,top_u_mode,loss_form,epochs,hidden_layers,neurons,seed,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0,158,2697,9.999983012676239e-05,-4.0345678187225786e-13,1.0000690053857397e-08,-2.0377529524884253e-11,-1.9974072743011995e-11,5.050354161539872e-07,4.950347261001298e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.00020006729755550623,190,2670,9.999983012676239e-05,-3.7590243417984226e-13,1.0000690053857397e-08,-2.033822416036557e-11,-1.9962321726185728e-11,5.050379741078359e-07,4.950372840539785e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.00040013459511101246,221,2641,9.999983012676239e-05,-3.8896837140089957e-13,1.0000803740695119e-08,-2.1167416777712056e-11,-2.0778448406311156e-11,5.050391109762131e-07,4.95038307235518e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0006002018926665187,257,2613,9.999983012676239e-05,-2.5441281026328255e-13,1.0000690053857397e-08,-2.2396541218827615e-11,-2.2142128408564332e-11,5.050395088801451e-07,4.950388188262878e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0008002691902220249,303,2611,9.999983012676239e-05,-2.3053954578688973e-13,1.0000690053857397e-08,-2.5821216692589744e-11,-2.5590677146802854e-11,5.050407025919412e-07,4.950400125380838e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0010003364877775311,350,2581,9.999983012676239e-05,-2.0189752647503667e-13,1.0000746897276258e-08,-2.9546445151629186e-11,-2.934454762515415e-11,5.050413847129676e-07,4.950406378156913e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0012004037853330374,404,2552,9.999983012676239e-05,-2.492103745588281e-13,1.0000633210438536e-08,-3.29706088819659e-11,-3.2721398507407073e-11,5.050425784247636e-07,4.950419452143251e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0014004710828885436,462,2522,9.999983012676239e-05,-2.3894428102799736e-13,1.0000803740695119e-08,-3.626023786784671e-11,-3.6021293586818715e-11,5.050441131970729e-07,4.950433094563778e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0016005383804440498,523,2492,9.999983012676239e-05,-1.957461970292229e-13,1.0000519523600815e-08,-3.933879610951152e-11,-3.91430499124823e-11,5.050455911259633e-07,4.950450716023624e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.001800605677999556,587,2461,9.999983012676239e-05,-6.061713631044796e-13,1.0000576367019676e-08,-4.243491669164712e-11,-4.182874532854264e-11,5.050478648627177e-07,4.95047288495698e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0020006729755550623,655,2428,9.999983012676239e-05,-4.570441247686574e-13,1.0000576367019676e-08,-4.368004569155204e-11,-4.322300156678338e-11,5.050501385994721e-07,4.950495622324524e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0022007401566952467,723,2393,9.999983012676239e-05,-8.473291512878234e-13,1.0000974270951701e-08,-4.489919894212768e-11,-4.405186979083986e-11,5.050514459981059e-07,4.950504717271542e-07
