case,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
alpha_intact_history_topufixed_step0,0.0,158,2697,9.999983012676239e-05,8.15312262147927e-10,1.017389195112628e-08,7.835010507051265e-08,7.753479280836473e-08,5.08579830693634e-07,4.984059387425077e-07
alpha_intact_history_topufixed_step0,0.00020006729755550623,190,2670,9.999983012676239e-05,8.15454370695079e-10,1.0175881470786408e-08,7.334458729246762e-08,7.252913292177254e-08,5.081779477222881e-07,4.980020662515017e-07
alpha_intact_history_topufixed_step0,0.00040013459511101246,221,2641,9.999983012676239e-05,8.021459052542923e-10,1.0174460385314887e-08,6.84841126030733e-08,6.768196669781901e-08,5.077790774521418e-07,4.976046170668269e-07
alpha_intact_history_topufixed_step0,0.0006002018926665187,257,2613,9.999983012676239e-05,6.523990236928512e-10,1.0181508969253628e-08,6.372944483246101e-08,6.307704580876816e-08,5.073866873317456e-07,4.97205178362492e-07
alpha_intact_history_topufixed_step0,0.0008002691902220249,303,2611,9.999983012676239e-05,6.673879227037105e-10,1.0181850029766792e-08,5.963013194332234e-08,5.896274402061863e-08,5.069890676168143e-07,4.968072175870475e-07
alpha_intact_history_topufixed_step0,0.0010003364877775311,350,2581,9.999983012676239e-05,6.631246662891499e-10,1.0181338438997045e-08,5.5669705290029015e-08,5.5006580623739865e-08,5.0659957651078e-07,4.96418238071783e-07
alpha_intact_history_topufixed_step0,0.0012004037853330374,404,2552,9.999983012676239e-05,6.624389925491414e-10,1.0181508969253628e-08,5.1715630888793385e-08,5.105319189624424e-08,5.062111085862853e-07,4.960295996170316e-07
alpha_intact_history_topufixed_step0,0.0014004710828885436,462,2522,9.999983012676239e-05,6.3860028376439e-10,1.0163830665987916e-08,4.7861178131825e-08,4.722257784806061e-08,5.058932970314345e-07,4.957294663654466e-07
alpha_intact_history_topufixed_step0,0.0016005383804440498,523,2492,9.999983012676239e-05,6.367244509419834e-10,1.0163887509406777e-08,4.405458042811006e-08,4.3417855977168074e-08,5.056104441791831e-07,4.954465566697763e-07
alpha_intact_history_topufixed_step0,0.001800605677999556,587,2461,9.999983012676239e-05,6.343370273498294e-10,1.0163944352825638e-08,4.025012501074343e-08,3.96157879833936e-08,5.05327875544026e-07,4.951639311912004e-07
