case,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,He_current_ratio_denominator_valid,mechanics_drive_ratio_denominator_valid,bulk_He_current_p95_over_notch_tip_He_current_max_valid,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bottom_u_max,bottom_u_mean,bottom_u_min,bottom_v_max,bottom_v_mean,bottom_v_min,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95,top_u_max,top_u_mean,top_u_min,top_v_abs_max,top_v_max,top_v_mean,top_v_min
alpha_intact_history_topufixed_full_seed2,0,1e-06,-2.8443337214412168e-06,2.9959829027589432e-05,4.451723687423285e-05,0.0002066195011138916,0.0,6.377846276723062e-07,1.098322368897798e-08,7.763109692859871e-07,6.377846276723062e-07,1.098322368897798e-08,7.763109692859871e-07,6.377846276723062e-07,1.098322368897798e-08,7.763109692859871e-07,0.00029596671811304986,0.009886584244668484,0.00029596671811304986,0.009886584244668484,0.00029596671811304986,0.009886584244668484,-8.351008773388457e-07,-9.656094783304693e-07,2.208742229214385e-05,0.00010308822274964765,6.402715371223167e-05,4.5263133870321326e-05,6.402885901479749e-07,6.401652017738754e-07,6.490611525578061e-07,6.373426561598037e-07,7.684094498472405e-07,7.677881512790918e-07,6.402885901479749e-07,6.401652017738754e-07,6.490611525578061e-07,6.373426561598037e-07,7.684094498472405e-07,7.677881512790918e-07,1.0137009507038128,1.2000986143914512,1.0137009507038128,1.2000986143914512,True,True,1.0137009507038128,1.2000986143914512,1.0137009507038128,1.2000986143914512,-26.44880743333453,-76.66996341359653,0.09363292902708054,6.346485836861149e-11,2.458896835330713e-15,6.346731726544682e-11,-10.197449858727742,fixed,4.3711389352942345e-14,2.5247572468697606e-15,0.0,0.0,7.683473199904256e-07,6.215075172804063e-05,7.683473199904256e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.95645042014803e-07,0.0001685023307800293,6.95645042014803e-07,nan,nan,7.763109692859871e-07,7.763109692859871e-07,7.763109692859871e-07,6.402549843187444e-07,-8.525213729626558e-07,6.402549843187444e-07,-4.3711389352942345e-14,-4.3711389352942345e-14,-4.3711389352942345e-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07
alpha_intact_history_topufixed_full_seed2,1,5e-06,0.00211797165684402,0.002308378114890513,5.187040114949559e-05,0.00243077683262527,0.0,1.853818109601758e-05,1.1983055435562692e-07,1.8704946342040785e-05,1.853818109601758e-05,1.1983055435562692e-07,1.8704946342040785e-05,1.853818109601758e-05,1.1983055435562692e-07,1.8704946342040785e-05,0.009711399674415588,0.009879717603325844,0.009711399674415588,0.009879717603325844,0.009711399674415588,0.009879717603325844,0.0023256540298461914,0.0023155011689571076,0.0023113843077944194,0.0023916761856526136,0.0021308064460754395,0.0021243890514597297,1.864367732196115e-05,1.8641323325413995e-05,1.8643012663233093e-05,1.8544045600645365e-05,1.8545391867519356e-05,1.8436513528286014e-05,1.864367732196115e-05,1.8641323325413995e-05,1.8643012663233093e-05,1.8544045600645365e-05,1.8545391867519356e-05,1.8436513528286014e-05,0.999964349376114,0.9947282152150306,0.999964349376114,0.9947282152150306,True,True,0.999964349376114,0.9947282152150306,0.999964349376114,0.9947282152150306,0.9938642111558116,0.9162181557229997,0.4675021767616272,1.8234094234514941e-09,4.2282206381971665e-12,1.8276376440896913e-09,-8.738109905304414,fixed,2.1855692982405278e-13,1.2631062459123954e-13,0.0,0.0,1.853450403359602e-05,0.0021301647066138685,1.853450403359602e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.865669764811173e-05,0.0024252436123788357,1.865669764811173e-05,nan,nan,1.8704946342040785e-05,1.8704946342040785e-05,1.8704946342040785e-05,1.86428937013261e-05,0.0023233234882354737,1.86428937013261e-05,-2.1855692982405278e-13,-2.1855692982405278e-13,-2.1855692982405278e-13,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06
alpha_intact_history_topufixed_full_seed2,2,1e-05,0.00923896860331297,0.009305605879306485,2.875626947940852e-05,0.009369204752147198,0.0,7.531967861608419e-05,2.576594674642272e-07,7.577591895824298e-05,7.531967861608419e-05,2.576594674642272e-07,7.577591895824298e-05,7.531967861608419e-05,2.576594674642272e-07,7.577591895824298e-05,0.009704736061394215,0.00011349347187206149,0.009704736061394215,0.00011349347187206149,0.009704736061394215,0.00011349347187206149,0.009306639432907104,0.009300670994777386,0.009304858909045841,0.009350265422835947,0.009282758459448814,0.009282450191676617,7.555244519608095e-05,7.554179249643923e-05,7.55437995394459e-05,7.532651767279588e-05,7.577591895824298e-05,7.573681432404555e-05,7.555244519608095e-05,7.554179249643923e-05,7.55437995394459e-05,7.532651767279588e-05,7.577591895824298e-05,7.573681432404555e-05,0.999885567480806,1.0029578627347142,0.999885567480806,1.0029578627347142,True,True,0.999885567480806,1.0029578627347142,0.999885567480806,1.0029578627347142,0.9998086824063509,0.9974339853144144,0.9183205366134644,7.3273169753917955e-09,6.892938303471041e-11,7.396246358426506e-09,-8.130988631541623,fixed,4.3711385964810556e-13,2.526212491824791e-13,0.0,0.0,7.577200849482325e-05,0.009282727632671595,7.577200849482325e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.557604840258136e-05,0.00936773419380188,7.557604840258136e-05,nan,nan,7.577591895824298e-05,7.577591895824298e-05,7.577591895824298e-05,7.554692565463484e-05,0.009305340237915516,7.554692565463484e-05,-4.3711385964810556e-13,-4.3711385964810556e-13,-4.3711385964810556e-13,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06
alpha_intact_history_topufixed_full_seed2,3,1.5e-05,0.020672043785452843,0.020787203056223842,4.84844762789035e-05,0.02091865800321102,0.0,0.0001704488710472417,6.061493798466296e-07,0.00017224626208189875,0.0001704488710472417,6.061493798466296e-07,0.00017224626208189875,0.0001704488710472417,6.061493798466296e-07,0.00017224626208189875,0.009704736061394215,0.00011349347187206149,0.009704736061394215,0.00011349347187206149,0.009704736061394215,0.00011349347187206149,0.0207954254001379,0.020788113114564386,0.020787101491191062,0.020858422666788102,0.020673703402280807,0.020672873593866825,0.00017088520689867437,0.00017086830793892684,0.00017095272487495096,0.0001704721181481814,0.00017224626208189875,0.00017200181900989264,0.00017088520689867437,0.00017086830793892684,0.00017095272487495096,0.0001704721181481814,0.00017224626208189875,0.00017200181900989264,1.0003951072038473,1.0079647337995232,1.0003951072038473,1.0079647337995232,True,True,1.0003951072038473,1.0079647337995232,1.0003951072038473,1.0079647337995232,0.9995997240360958,0.994146693538845,1.3285694122314453,1.620776046706851e-08,3.439909468383462e-10,1.6551751413906857e-08,-7.781156044839859,fixed,6.556708301297398e-13,3.789318729266857e-13,0.0,0.0,0.00017222181777469813,0.020673620421439408,0.00017222181777469813,0.0,0.0,0.0,0.0,0.0,0.0,0.00017108931206166744,0.020906031131744385,0.00017108931206166744,nan,nan,0.00017224626208189875,0.00017224626208189875,0.00017224626208189875,0.00017088027379941195,0.02079341858625412,0.00017088027379941195,-6.556708301297398e-13,-6.556708301297398e-13,-6.556708301297398e-13,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05
alpha_intact_history_topufixed_full_seed2,4,2e-05,0.03641269728541374,0.03645836893001627,2.6058836314488694e-05,0.03651077672839165,0.0,0.00030408760458425465,1.1550246981599922e-06,0.0003062783507630229,0.00030408760458425465,1.1550246981599922e-06,0.0003062783507630229,0.00030408760458425465,1.1550246981599922e-06,0.0003062783507630229,0.00029596671811304986,0.009886584244668484,0.00029596671811304986,0.009886584244668484,0.00029596671811304986,0.009886584244668484,0.03646212816238403,0.03645688397427128,0.036458166475985126,0.036500157602131364,0.036425452679395676,0.03642481192946434,0.0003049868391826749,0.0003048447937519634,0.0003051018138648942,0.0003041319958766721,0.00030599863384850323,0.00030548540235031396,0.0003049868391826749,0.0003048447937519634,0.0003051018138648942,0.0003041319958766721,0.00030599863384850323,0.00030548540235031396,1.0003769824380864,1.0033175027110672,1.0003769824380864,1.0033175027110672,True,True,1.0003769824380864,1.0033175027110672,1.0003769824380864,1.0033175027110672,0.9998913479108718,0.9989941485909702,1.6795262098312378,2.7987574924281944e-08,1.0580960552175611e-09,2.9045670979499505e-08,-7.536918586503013,fixed,8.742277192962111e-13,5.052424983649582e-13,0.0,0.0,0.0003059473106986843,0.036425388604402545,0.0003059473106986843,0.0,0.0,0.0,0.0,0.0,0.0,0.0003053753753192723,0.03650901839137077,0.0003053753753192723,nan,nan,0.0003062783507630229,0.0003062783507630229,0.0003062783507630229,0.00030493908561766145,0.03646068051457405,0.00030493908561766145,-8.742277192962111e-13,-8.742277192962111e-13,-8.742277192962111e-13,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05
alpha_intact_history_topufixed_full_seed2,5,2.5e-05,0.05587243288755417,0.05593346455947702,3.130389793356761e-05,0.055998288094997406,0.0,0.0004761840678496564,1.9357651417708498e-06,0.00047952390741556883,0.0004761840678496564,1.9357651417708498e-06,0.00047952390741556883,0.0004761840678496564,1.9357651417708498e-06,0.00047952390741556883,0.009704736061394215,0.00011349347187206149,0.009704736061394215,0.00011349347187206149,0.009704736061394215,0.00011349347187206149,0.055939219892024994,0.05593364573504827,0.055933421027802584,0.05598258227109909,0.05588645860552788,0.05588593706488609,0.00047741425805725157,0.00047737314112242056,0.0004778230722877197,0.0004762589280324855,0.00047952390741556883,0.0004790113598573953,0.00047741425805725157,0.00047737314112242056,0.0004778230722877197,0.0004762589280324855,0.00047952390741556883,0.0004790113598573953,1.0008563092190244,1.00441890731731,1.0008563092190244,1.00441890731731,True,True,1.0008563092190244,1.00441890731731,1.0008563092190244,1.00441890731731,0.9998963363408785,0.9990568104703828,1.9572526216506958,4.2061600424858625e-08,2.4903767936734766e-09,4.45519772185321e-08,-7.351133017192915,fixed,1.0927847168828997e-12,6.315531221091648e-13,0.0,0.0,0.0004794726526597515,0.0558864064514637,0.0004794726526597515,0.0,0.0,0.0,0.0,0.0,0.0,0.0004781501484103501,0.0559956356883049,0.0004781501484103501,nan,nan,0.00047952390741556883,0.00047952390741556883,0.00047952390741556883,0.0004774005443323404,0.05593763515353203,0.0004774005443323404,-1.0927847168828997e-12,-1.0927847168828997e-12,-1.0927847168828997e-12,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05
alpha_intact_history_topufixed_full_seed2,6,3e-05,0.07865975797176361,0.07874871373611686,4.824391211424626e-05,0.07883494347333908,0.0,0.000685682159901351,1.7522036764390146e-06,0.0006875023245811462,0.000685682159901351,1.7522036764390146e-06,0.0006875023245811462,0.000685682159901351,1.7522036764390146e-06,0.0006875023245811462,0.00995385181158781,0.0034833948593586683,0.00995385181158781,0.0034833948593586683,0.00995385181158781,0.0034833948593586683,0.07875408977270126,0.07874917320600927,0.07874862883394361,0.07881743833422661,0.07867493480443954,0.07867323607206345,0.0006868523778393865,0.0006867735838032748,0.000687075816676952,0.0006857455223518069,0.0006872302619740367,0.0006864138413220644,0.0006868523778393865,0.0006867735838032748,0.000687075816676952,0.0006857455223518069,0.0006872302619740367,0.0006864138413220644,1.0003253083847048,1.0005501679062958,1.0003253083847048,1.0005501679062958,True,True,1.0003253083847048,1.0005501679062958,1.0003253083847048,1.0005501679062958,0.9999306583470977,0.99899490974386,2.1575369834899902,5.77498369125351e-08,4.936362874019551e-09,6.268619978655465e-08,-7.202828057513963,fixed,1.3113416602594796e-12,7.578637458533714e-13,0.0,0.0,0.0006871486199088395,0.07867476493120193,0.0006871486199088395,0.0,0.0,0.0,0.0,0.0,0.0,0.0006873250822536647,0.07882720232009888,0.0006873250822536647,nan,nan,0.0006875023245811462,0.0006875023245811462,0.0006875023245811462,0.0006868158001452684,0.07875392735004424,0.0006868158001452684,-1.3113416602594796e-12,-1.3113416602594796e-12,-1.3113416602594796e-12,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05
alpha_intact_history_topufixed_full_seed2,7,3.5e-05,0.10422217845916748,0.10431312158431172,5.0667408015590364e-05,0.10440693795681,0.0,0.0009341472972191648,2.5014166323530015e-06,0.0009368748869746923,0.0009341472972191648,2.5014166323530015e-06,0.0009368748869746923,0.0009341472972191648,2.5014166323530015e-06,0.0009368748869746923,0.009961874224245548,0.0033023320138454437,0.009961874224245548,0.0033023320138454437,0.009961874224245548,0.0033023320138454437,0.10431832075119019,0.1043131042220821,0.10431281343576498,0.104386006295681,0.10422958433628082,0.10422803461551666,0.0009356773225590587,0.0009356139503636282,0.0009362270531710238,0.0009342381048849333,0.0009355456568300724,0.0009345561848022044,0.0009356773225590587,0.0009356139503636282,0.0009362270531710238,0.0009342381048849333,0.0009355456568300724,0.0009345561848022044,1.000587521572567,0.9998592829752182,1.000587521572567,0.9998592829752182,True,True,1.000587521572567,0.9998592829752182,1.000587521572567,0.9998592829752182,0.999947206632684,0.9991493688331026,2.270206928253174,7.437044047264862e-08,8.661533712484015e-09,8.303197418513264e-08,-7.08075463607992,fixed,1.5298986036360596e-12,9.348150373364103e-13,0.0,0.0,0.0009354467096272856,0.1042294293642044,0.0009354467096272856,0.0,0.0,0.0,0.0,0.0,0.0,0.0009365890873596072,0.10439887642860413,0.0009365890873596072,nan,nan,0.0009368748869746923,0.0009368748869746923,0.0009368748869746923,0.0009356589871458709,0.10431805700063705,0.0009356589871458709,-1.5298986036360596e-12,-1.5298986036360596e-12,-1.5298986036360596e-12,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05
alpha_intact_history_topufixed_full_seed2,8,4e-05,0.13186562061309814,0.13197006760232222,5.8583058869798574e-05,0.13207599520683289,0.0,0.0012210944443362805,7.84186735878504e-06,0.0012410080526024103,0.0012210944443362805,7.84186735878504e-06,0.0012410080526024103,0.0012210944443362805,7.84186735878504e-06,0.0012410080526024103,0.00029596671811304986,0.009886584244668484,0.00029596671811304986,0.009886584244668484,0.00029596671811304986,0.009886584244668484,0.13197636604309082,0.13197030943550475,0.13196981122250234,0.13205394595861436,0.13187241554260254,0.13187064975500107,0.0012243031524121761,0.0012229902188178815,0.001230633561499417,0.0012212344382914128,0.0012022018199786544,0.0012013090890832245,0.0012243031524121761,0.0012229902188178815,0.001230633561499417,0.0012212344382914128,0.0012022018199786544,0.0012013090890832245,1.0051706222227463,0.9819478269005706,1.0051706222227463,0.9819478269005706,True,True,1.0051706222227463,0.9819478269005706,1.0051706222227463,0.9819478269005706,0.999950333375702,0.9992123551844552,2.316622018814087,9.129617239977961e-08,1.3863333592212257e-08,1.0515950599199186e-07,-6.978151462746883,fixed,1.7484554385924223e-12,1.0104849967299163e-12,0.0,0.0,0.0012021125468891114,0.1318722389638424,0.0012021125468891114,0.0,0.0,0.0,0.0,0.0,0.0,0.0012369449250400066,0.13206753134727478,0.0012369449250400066,nan,nan,0.0012410080526024103,0.0012410080526024103,0.0012410080526024103,0.0012240282725542785,0.13197605013847352,0.0012240282725542785,-1.7484554385924223e-12,-1.7484554385924223e-12,-1.7484554385924223e-12,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05
alpha_intact_history_topufixed_full_seed2,9,4.5e-05,0.1615162193775177,0.16162363116907735,5.931784636587476e-05,0.16173267364501953,0.0,0.0015466230476267858,5.076885319069306e-06,0.0015534700360149145,0.0015466230476267858,5.076885319069306e-06,0.0015534700360149145,0.0015466230476267858,5.076885319069306e-06,0.0015534700360149145,0.009912802837789059,0.002618810161948204,0.009912802837789059,0.002618810161948204,0.009912802837789059,0.002618810161948204,0.1616300642490387,0.16162382821514182,0.1616233611060716,0.16170851290225982,0.16152290999889374,0.16152126342058182,0.00154951773583889,0.0015493548213670106,0.001551029842812568,0.0015468123841743454,0.0015518318396061659,0.0015509079676121473,0.00154951773583889,0.0015493548213670106,0.001551029842812568,0.0015468123841743454,0.0015518318396061659,0.0015509079676121473,1.0009758565124518,1.001493434837016,1.0009758565124518,1.001493434837016,True,True,1.0009758565124518,1.001493434837016,1.0009758565124518,1.001493434837016,0.9999585278704289,0.9993370401067226,2.2372889518737793,1.0784191317725345e-07,2.079341676619606e-08,1.286353299434495e-07,-6.89063973520481,fixed,1.9670124903892194e-12,6.821937830717335e-13,0.0,0.0,0.001551739452406764,0.16152274534106253,0.001551739452406764,0.0,0.0,0.0,0.0,0.0,0.0,0.00155261333566159,0.16172407567501068,0.00155261333566159,nan,nan,0.0015534700360149145,0.0015534700360149145,0.0015534700360149145,0.0015494788531213999,0.1616296350955963,0.0015494788531213999,-1.9670124903892194e-12,-1.9670124903892194e-12,-1.9670124903892194e-12,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05
