step,displacement_mm
0.000000000000000000e+00,9.999999999999999547e-07
1.000000000000000000e+00,5.874999999999999655e-06
2.000000000000000000e+00,1.075000000000000041e-05
3.000000000000000000e+00,1.562500000000000033e-05
4.000000000000000000e+00,2.050000000000000024e-05
5.000000000000000000e+00,2.537500000000000015e-05
6.000000000000000000e+00,3.025000000000000006e-05
7.000000000000000000e+00,3.512499999999999997e-05
8.000000000000000000e+00,4.000000000000000327e-05
9.000000000000000000e+00,4.199999999999999768e-05
1.000000000000000000e+01,4.399999999999999886e-05
1.100000000000000000e+01,4.600000000000000004e-05
