step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.12698987211479107,0.08481965005557868,12698.987211479105,8481.965005557868
1,5.875e-06,0.0005874999999999999,0.853318182635121,0.5371041061152937,85331.8182635121,53710.41061152936
2,1.075e-05,0.001075,1.55493136117002,0.9646862054069061,155493.136117002,96468.6205406906
3,1.5625e-05,0.0015625,2.2154136895551346,1.3513737721950747,221541.36895551343,135137.37721950747
4,2.05e-05,0.00205,2.825078263413161,1.6826271748868749,282507.8263413161,168262.7174886875
5,2.5375e-05,0.0025375,3.3662260248092934,1.944192212249618,336622.60248092934,194419.22122496177
6,3.025e-05,0.003025,3.828891014563851,2.1262948430376127,382889.10145638505,212629.48430376124
7,3.5125e-05,0.0035125,4.21549346356187,2.229616336990148,421549.34635618696,222961.63369901475
8,4e-05,0.004,4.519020250882022,2.248265125672333,451902.02508820215,224826.51256723327
9,4.2e-05,0.0042,4.617074824636802,2.2307551989797503,461707.48246368015,223075.519897975
10,4.4e-05,0.004399999999999999,4.704716091509908,2.201174444053322,470471.6091509908,220117.44440533218
11,4.6e-05,0.0046,4.7782392939552665,2.157921204343438,477823.9293955266,215792.1204343438
