step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.04108121284440713,0.037457007152852384,4108.121284440713,3745.700715285238
1,5.875e-06,0.0005874999999999999,0.2467121554445839,0.21568464683241473,24671.215544458388,21568.464683241473
2,1.075e-05,0.001075,0.4476954459278204,0.38185352298114594,44769.54459278203,38185.352298114594
3,1.5625e-05,0.0015625,0.6309877976491407,0.5222302802394552,63098.77976491406,52223.02802394551
4,2.05e-05,0.00205,0.7835856290512311,0.621162965444455,78358.56290512311,62116.2965444455
5,2.5375e-05,0.0025375,0.9270367850149341,0.6843896021564433,92703.6785014934,68438.96021564433
6,3.025e-05,0.003025,1.0495082524357713,0.712442208396169,104950.82524357711,71244.2208396169
7,3.5125e-05,0.0035125,1.164105663974624,0.7259531537329167,116410.56639746237,72595.31537329167
8,4e-05,0.004,1.2035494594329066,0.7038041965188313,120354.94594329064,70380.41965188313
9,4.2e-05,0.0042,1.2167761954060552,0.6995488840857433,121677.6195406055,69954.88840857433
10,4.4e-05,0.004399999999999999,1.2370805204682256,0.696406221493362,123708.05204682254,69640.6221493362
11,4.6e-05,0.0046,1.2721671548661106,0.7061354172037682,127216.71548661105,70613.54172037682
