case,event,metric,threshold,step,Delta,value
none_alpha_init_history_m12,first_alpha_mean_gt_0p05,alpha_mean,0.05,5,2.5375e-05,0.05754536478703618
none_alpha_init_history_m12,first_alpha_mean_gt_0p1,alpha_mean,0.1,7,3.5125e-05,0.10485912604707377
none_alpha_init_history_m12,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
none_alpha_init_history_m12,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
none_alpha_init_history_m12,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,0,1e-06,0.9992500896350739
none_alpha_init_history_m12,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,0,1e-06,0.9992500896350739
none_alpha_init_history_m12,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,0,1e-06,0.9992500896350739
none_alpha_init_history_m12,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,0,1e-06,0.9992500896350739
none_alpha_init_history_m12,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,0,1e-06,1.2330237463457647
none_alpha_init_history_m12,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,0,1e-06,1.2330237463457647
none_alpha_init_history_m12,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0,1e-06,6.503361191789736e-07
none_alpha_init_history_m12,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,1,5.875e-06,2.5913243007380515e-05
none_alpha_init_history_m12,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0,1e-06,6.498484253825154e-07
none_alpha_init_history_m12,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1,5.875e-06,2.596412832645001e-05
none_alpha_init_history_m12,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0,1e-06,6.503361191789736e-07
