case,event,metric,threshold,step,Delta,value
smoke_unitbox_coupled,first_alpha_mean_gt_0p05,alpha_mean,0.05,,,
smoke_unitbox_coupled,first_alpha_mean_gt_0p1,alpha_mean,0.1,,,
smoke_unitbox_coupled,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
smoke_unitbox_coupled,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
smoke_unitbox_coupled,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,0,1e-06,1.0440095112954246
smoke_unitbox_coupled,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,0,1e-06,1.0440095112954246
smoke_unitbox_coupled,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,0,1e-06,1.0440095112954246
smoke_unitbox_coupled,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,0,1e-06,1.0440095112954246
smoke_unitbox_coupled,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,0,1e-06,0.6756040198292792
smoke_unitbox_coupled,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,0,1e-06,0.6756040198292792
smoke_unitbox_coupled,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0,1e-06,8.585474233768764e-07
smoke_unitbox_coupled,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,,,
smoke_unitbox_coupled,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0,1e-06,8.963316759036387e-07
smoke_unitbox_coupled,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,,,
smoke_unitbox_coupled,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0,1e-06,8.585474233768764e-07
