case,event,metric,threshold,step,Delta,value
unitbox_alpha_init_history_m12,first_alpha_mean_gt_0p05,alpha_mean,0.05,6,3.025e-05,0.05477371088292406
unitbox_alpha_init_history_m12,first_alpha_mean_gt_0p1,alpha_mean,0.1,11,4.6e-05,0.10395352512594197
unitbox_alpha_init_history_m12,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
unitbox_alpha_init_history_m12,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
unitbox_alpha_init_history_m12,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
unitbox_alpha_init_history_m12,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
unitbox_alpha_init_history_m12,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
unitbox_alpha_init_history_m12,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
unitbox_alpha_init_history_m12,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
unitbox_alpha_init_history_m12,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
unitbox_alpha_init_history_m12,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0,1e-06,4.328224895289168e-05
unitbox_alpha_init_history_m12,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0,1e-06,4.328224895289168e-05
unitbox_alpha_init_history_m12,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0,1e-06,8.657596879402263e-07
unitbox_alpha_init_history_m12,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1,5.875e-06,3.575510309019591e-05
unitbox_alpha_init_history_m12,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0,1e-06,4.328224895289168e-05
