step,Delta,strain,checkpoint,history_source,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,reaction_metric_status,is_energy_conjugate,legacy_metric_status,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,seed
0,1e-06,9.999999999999999e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,zero_initial_history,0.07883151556598023,,0.037233145379384866,-0.053053940393964195,0.04422149407815532,0.04820653543017742,145,155,0.03057026455488223,3.6018559662620575e-11,3.6017584748027076e-11,9.739915393446952e-16,energy_exact_primary,True,legacy_diagnostic_only,False,0,,,,0.0,42
1,5e-06,0.0005,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,checkpoint_step_0000_post_history,0.42663587373681366,,0.1941498174006997,-0.2674740862677367,0.22972313009400389,0.25011283874451806,145,155,0.13445092834308364,1.0485977641749855e-09,1.0458451882300324e-09,2.752532576866251e-12,energy_exact_primary,True,legacy_diagnostic_only,False,0,,,,0.0,42
2,1e-05,0.001,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,checkpoint_step_0001_post_history,0.8483927813358605,,0.3753550101230382,-0.5231638425384131,0.44719491156727575,0.48965388620489686,145,155,0.29835716024825726,4.243915885382421e-09,4.19969969911449e-09,4.421640484308931e-11,energy_exact_primary,True,legacy_diagnostic_only,False,0,,,,0.0,42
3,1.5e-05,0.0015,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,checkpoint_step_0002_post_history,1.2411816278472543,,0.5313720197425076,-0.7532968960245012,0.6357196429007096,0.7002699032866252,145,155,0.45991790729808235,9.477685303238559e-09,9.24630505494406e-09,2.3138028992786275e-10,energy_exact_primary,True,legacy_diagnostic_only,False,0,,,,0.0,42
4,2e-05,0.002,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,checkpoint_step_0003_post_history,1.585787977091968,,0.639697943837563,-0.9427269590073595,0.7816494968647951,0.866623989488531,145,155,0.5503489799947837,1.6558047377657203e-08,1.5778603312810446e-08,7.794437317798497e-10,energy_exact_primary,True,legacy_diagnostic_only,False,0,,,,0.0,42
5,2.5e-05,0.0025,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,checkpoint_step_0004_post_history,1.7874499317258596,,0.6910149878027371,-1.058199312066119,0.8707868890891682,0.9768009565607073,145,152,0.5544616148909287,2.5035726380906453e-08,2.2624428552830977e-08,2.411297828075476e-09,energy_exact_primary,True,legacy_diagnostic_only,False,7,0.005021084565669298,0.005142071284353733,0.0049947284694228855,0.00012098671868443489,42
6,3e-05,0.003,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,checkpoint_step_0005_post_history,1.8282063538208604,,0.7109326318060334,-1.1199940975707103,0.8909720890403606,1.0363172289477784,146,158,0.46570367847269545,3.414307769844527e-08,2.9112465327330028e-08,5.0306105947584e-09,energy_exact_primary,True,legacy_diagnostic_only,False,21,0.005021084565669298,0.005459292326122522,0.005018854181149176,0.0004382077604532242,42
7,3.5e-05,0.0034999999999999996,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,checkpoint_step_0006_post_history,1.7131951171904802,,0.698468776169178,-1.138755653210268,0.898520303014517,1.0477849518353686,148,153,0.4666629633236033,4.311553070124319e-08,3.4569911377957396e-08,8.545620211464211e-09,energy_exact_primary,True,legacy_diagnostic_only,False,40,0.005021084565669298,0.0061364322900772095,0.005038663756567985,0.0011153477244079113,42
8,4e-05,0.004,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,checkpoint_step_0007_post_history,1.4617982087656856,,0.6794006960103917,-1.1418011765141378,0.8164468770031029,0.9959565455460752,147,150,0.7708372725439122,5.1155996771967693e-08,3.8462236062741795e-08,1.2693760709225899e-08,energy_exact_primary,True,legacy_diagnostic_only,False,59,0.005021084565669298,0.006814230233430862,0.005055142219288875,0.0017931456677615643,42
9,4.5e-05,0.0045000000000000005,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,checkpoint_step_0008_post_history,0.9847382316365838,,0.7301718322810048,-1.1421033300948453,0.679107145721724,0.9126976247465926,149,150,1.1702191599570562,5.7447486767614464e-08,4.010088971995174e-08,1.7346598824019566e-08,energy_exact_primary,True,legacy_diagnostic_only,False,91,0.005021084565669298,0.00803089514374733,0.0050736697503252996,0.0030098105780780315,42
