case,seed,step,after_alpha0p8_through_onset,Delta,cut_x,crack_y_proxy,alpha_band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,sigma_yy_tm_total_mean_in_band,sigma_yy_tm_plus_mean_in_band,sigma_yy_tm_minus_mean_in_band,sigma_yy_tm_degraded_plus_mean_in_band,sigma_yy_tm_residual_plus_mean_in_band,sigma_yy_tm_eff_mean_in_band,abs_minus_over_abs_eff_in_band,abs_degraded_plus_over_abs_eff_in_band,sigma_xy_tm_eff_mean_in_band,eps_xx_mean_in_band,eps_yy_mean_in_band,eps_xy_mean_in_band,abs_sigma_yy_tm_eff_mean_in_alpha_ge_0p8_band,abs_sigma_yy_tm_eff_max_in_alpha_ge_0p8_band,abs_sigma_xy_tm_eff_mean_in_alpha_ge_0p8_band,abs_sigma_xy_tm_eff_max_in_alpha_ge_0p8_band,v_jump_proxy,u_jump_proxy,above_node_count,below_node_count
D0040_seed7_default_unitbox,7,14,True,5.5e-05,0.006,0.005091150297431756,16,0.9338357672095299,0.007969001308083534,9.521736145019531,15.86602783203125,-6.344290733337402,0.02516213059425354,1.5866027069932898e-07,-6.31912899017334,1.0039818372442137,0.003981898554908802,-0.07422565668821335,-0.0027983952313661575,0.1010240986943245,-0.0021152598783373833,6.31912899017334,13.899099349975586,0.10820037126541138,0.6408481597900391,3.435456314796434e-05,2.8074996095341165e-06,26,28
D0040_seed7_default_unitbox,7,14,True,5.5e-05,0.007,0.005091150297431756,15,0.9120848536491394,0.012409416027367115,7.324718952178955,12.108930587768555,-4.784213066101074,0.02917717769742012,1.210893145753289e-07,-4.755035400390625,1.0061361616168099,0.006136058986022107,-0.012981915846467018,-0.0017412793822586536,0.0775577574968338,0.0021455115638673306,4.755035400390625,12.704084396362305,0.060334157198667526,0.27572202682495117,2.813621153176495e-05,1.8527555312175537e-06,27,27
D0040_seed7_default_unitbox,7,14,True,5.5e-05,0.008,0.005091150297431756,14,0.9203932072435107,0.009638451039791107,5.979588985443115,9.881950378417969,-3.902362823486328,0.037326958030462265,9.881951257284527e-08,-3.8650355339050293,1.0096576834168418,0.009657597634749056,0.002005631336942315,-0.0015952590620145202,0.0633808821439743,0.003275415161624551,3.8650355339050293,7.724349021911621,0.03921058773994446,0.15734803676605225,2.2987677759913454e-05,5.466252046230863e-07,27,30
D0040_seed7_default_unitbox,7,14,True,5.5e-05,0.009,0.005091150297431756,15,0.8945603450139363,0.013634729199111462,3.839942693710327,6.364152908325195,-2.5242114067077637,0.05764252692461014,6.364154359062013e-08,-2.4665687084198,1.023369589539994,0.02336952006560509,-0.00982253160327673,-0.0024580946192145348,0.041246406733989716,-0.000200372000108473,2.4665687084198,4.646230220794678,0.024125874042510986,0.05981329083442688,1.8170848641435527e-05,-1.0175931741276608e-06,29,24
D0040_seed7_default_unitbox,7,15,True,5.7e-05,0.006,0.005093268980574492,16,0.9350970536470413,0.007906141690909863,10.182943344116211,16.99249267578125,-6.8095479011535645,0.023550011217594147,1.6992490259326587e-07,-6.7859978675842285,1.0034703862318954,0.0034703829380921688,-0.08265825361013412,-0.002971251029521227,0.1080312505364418,-0.0024794673081487417,6.7859978675842285,14.979774475097656,0.12159664928913116,0.7162888050079346,3.6264867524138406e-05,2.797473439787969e-06,26,29
D0040_seed7_default_unitbox,7,15,True,5.7e-05,0.007,0.005093268980574492,15,0.9153538783391316,0.0118159931153059,7.9784159660339355,13.185583114624023,-5.207167625427246,0.027063148096203804,1.3185584180064325e-07,-5.1801042556762695,1.0052244836040358,0.005224440814400303,-0.01306306291371584,-0.0017092509660869837,0.08440820872783661,0.0022987844422459602,5.1801042556762695,13.848108291625977,0.06614123284816742,0.3206050395965576,3.011951169658763e-05,1.900887498238633e-06,27,27
D0040_seed7_default_unitbox,7,15,True,5.7e-05,0.008,0.005093268980574492,15,0.9171760479609171,0.011204159818589687,6.325746059417725,10.470406532287598,-4.144659519195557,0.03736816719174385,1.0470405698015384e-07,-4.107291221618652,1.0090980394524296,0.009098007707624233,0.0005330333951860666,-0.0016598509391769767,0.06703943759202957,0.003390474710613489,4.107291221618652,8.816512107849121,0.04544632136821747,0.18341636657714844,2.4919494397316292e-05,6.235275324999955e-07,27,30
D0040_seed7_default_unitbox,7,15,True,5.7e-05,0.009,0.005093268980574492,15,0.908814537525177,0.01104708667844534,4.552060604095459,7.515140056610107,-2.963080644607544,0.04846042022109032,7.515141220437727e-08,-2.9146201610565186,1.0166266891989997,0.01662666747063327,-0.007859829813241959,-0.002440552692860365,0.04871566966176033,-0.00021044725144747645,2.9146201610565186,5.510393142700195,0.02524346113204956,0.058010756969451904,2.0042384895877433e-05,-9.198099711472337e-07,29,25
D0040_seed7_default_unitbox,7,16,True,5.9e-05,0.006,0.00509441680780131,16,0.9365110732614994,0.007673308253288269,10.905562400817871,18.21268081665039,-7.307119846343994,0.022004995495080948,1.8212682562079863e-07,-7.285114765167236,1.003020553812271,0.0030205420510730696,-0.08917464315891266,-0.0030678799375891685,0.1156541258096695,-0.0028870110400021076,7.285114765167236,16.219890594482422,0.13352710008621216,0.7965710163116455,3.844293455019085e-05,2.7959783774222834e-06,26,29
D0040_seed7_default_unitbox,7,16,True,5.9e-05,0.007,0.00509441680780131,15,0.91918390194575,0.011128305457532406,8.721317291259766,14.41862678527832,-5.697308540344238,0.025665314868092537,1.4418624516565615e-07,-5.671643257141113,1.0045251935002806,0.0045251990833128615,-0.01407624501734972,-0.0018501217709854245,0.09226083010435104,0.002273521153256297,5.671643257141113,15.230232238769531,0.07368158549070358,0.35334229469299316,3.2275923129216404e-05,1.9017141194463305e-06,27,27
