case,seed,step,Delta,reaction_total_undegraded_N,reaction_degraded_effective_N,reaction_positive_undegraded_N,reaction_negative_non_degraded_N,reaction_degraded_positive_contribution_N,reaction_residual_stiffness_positive_contribution_N,reaction_shear_abs_top_boundary_N,positive_fraction_of_total,negative_fraction_of_effective,degraded_positive_fraction_of_effective,residual_fraction_of_effective
D0040_seed7_default_unitbox,7,0,1e-06,0.037240423975142024,0.03724019689017173,0.0845994590543663,-0.04735903476520918,0.0845992324525472,8.459945905436632e-10,0.0007806858232010729,2.2717104163700292,-1.2717181626316258,2.2717181840376965,2.2717242689093687e-08
D0040_seed7_default_unitbox,7,1,5e-06,0.19641812684386928,0.1950677274790781,0.4578679520965553,-0.2614498258653978,0.45651755165896624,4.578679520965553e-09,0.004193749348198128,2.3310880693842972,-1.3403028232511678,2.3403028146105296,2.347225540655687e-08
D0040_seed7_default_unitbox,7,2,1e-05,0.39535045403992225,0.3810431370806624,0.9265723731266414,-0.5312219178919304,0.9122650581170844,9.265723731266413e-09,0.007309941540082642,2.3436734766796974,-1.3941254052280094,2.394125413480334,2.4316731701967294e-08
D0040_seed7_default_unitbox,7,3,1.5e-05,0.5808180506575724,0.5324371788664785,1.3812874795315235,-0.8004694245236927,1.3329066049077993,1.3812874795315235e-08,0.011964239500964351,2.3781758813585436,-1.5034063290392985,2.5034063318896407,2.5942731543882568e-08
D0040_seed7_default_unitbox,7,4,2e-05,0.7541521579296614,0.6410798690604063,1.8220685861714896,-1.0679164251782673,1.7089962945797605,1.82206858617149e-08,0.015088982927336599,2.416049025402949,-1.6658087029677766,2.665808703499827,2.8421865575688578e-08
D0040_seed7_default_unitbox,7,5,2.5e-05,0.886441884411323,0.6861076338200537,2.158811143725856,-1.2723692573538556,1.958476890073611,2.158811143725856e-08,0.01824690884772939,2.4353668093644973,-1.8544747130558257,2.854474711452144,3.146461338297907e-08
D0040_seed7_default_unitbox,7,6,3e-05,0.9944163309472311,0.6936550439547586,2.4284754303418774,-1.4340591297545422,2.1277141426558632,2.4284754303418772e-08,0.017756671942970623,2.4421113720333145,-2.06739523088954,3.0673951861217006,3.500984317069662e-08
D0040_seed7_default_unitbox,7,7,3.5e-05,1.0973243264851924,0.6877238004177538,2.6492176840410244,-1.5518933501420111,2.239617152702717,2.649217684041024e-08,0.016171330554557477,2.4142522134059092,-2.2565648436179213,3.2565648467339283,3.852153557041028e-08
D0040_seed7_default_unitbox,7,8,4e-05,1.1558471962217247,0.6701765399544242,2.7732520633406135,-1.6174048602564948,2.287581401744172,2.7732520633406133e-08,0.0205413970861221,2.399324125546976,-2.4134011918210203,3.4134011941088547,4.138091828056545e-08
D0040_seed7_default_unitbox,7,9,4.5e-05,1.207963744084739,0.6897196215662094,2.815215996771602,-1.607252252625592,2.29697186516265,2.8152159967716022e-08,0.02401775135579917,2.3305467656271923,-2.330297996997472,3.330297983906426,4.081681756970802e-08
