seed,step,Delta,Delta_mm,nominal_strain,strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,stress_strain_metric_status,nominal_stress_energy_exact_MPa,nominal_stress_energy_virtual_work_MPa,nominal_stress_legacy_top_sigma_MPa,nominal_stress_bottom_sigma_legacy_MPa,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,alpha0p8_through_crack,legacy_curve_status,d0040_processed
42,0,1e-06,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,7.88315155659802,7.88315228419378,3.7233145379384798,-5.305394039396409,0.0788315155659802,0.0788315228419378,0.0372331453793848,-0.0530539403939641,0.0442214940781553,0.0482065354301774,False,legacy_diagnostic_only,False
42,1,5e-06,5e-06,0.0005,0.0005,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,42.66358737368136,42.66358446329832,19.41498174006997,-26.747408626773673,0.4266358737368136,0.4266358446329832,0.1941498174006997,-0.2674740862677367,0.2297231300940038,0.250112838744518,False,legacy_diagnostic_only,False
42,2,1e-05,1e-05,0.001,0.001,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,84.83928395435214,84.83927813358605,37.53550101230382,-52.316384253841306,0.8483928395435214,0.8483927813358605,0.3753550101230382,-0.5231638425384131,0.4471949115672757,0.4896538862048968,False,legacy_diagnostic_only,False
42,3,1.5e-05,1.5e-05,0.0015,0.0015,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,124.11816278472544,124.11815114319324,53.13720197425076,-75.32968960245012,1.2411816278472545,1.2411815114319324,0.5313720197425076,-0.7532968960245012,0.6357196429007096,0.7002699032866252,False,legacy_diagnostic_only,False
42,4,2e-05,2e-05,0.002,0.002,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,158.5787977091968,158.57880935072902,63.969794383756295,-94.27269590073595,1.585787977091968,1.58578809350729,0.639697943837563,-0.9427269590073596,0.7816494968647951,0.866623989488531,False,legacy_diagnostic_only,False
42,5,2.5e-05,2.5e-05,0.0025,0.0025,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,178.74499317258596,178.74500481411818,69.1014987802737,-105.8199312066119,1.7874499317258596,1.7874500481411817,0.6910149878027371,-1.058199312066119,0.8707868890891682,0.9768009565607072,False,legacy_diagnostic_only,False
42,6,3e-05,3e-05,0.003,0.003,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,182.82063538208604,182.82063538208604,71.09326318060334,-111.99940975707104,1.8282063538208604,1.8282063538208604,0.7109326318060334,-1.1199940975707103,0.8909720890403606,1.0363172289477784,False,legacy_diagnostic_only,False
42,7,3.5e-05,3.5e-05,0.0034999999999999996,0.0034999999999999996,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,171.31951171904802,171.31948843598366,69.8468776169178,-113.8755653210268,1.7131951171904802,1.7131948843598366,0.698468776169178,-1.138755653210268,0.898520303014517,1.0477849518353686,False,legacy_diagnostic_only,False
42,8,4e-05,4e-05,0.004,0.004,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,146.17982087656856,146.17984415963292,67.94006960103917,-114.18011765141378,1.4617982087656856,1.4617984415963292,0.6794006960103917,-1.1418011765141378,0.8164468770031029,0.9959565455460752,False,legacy_diagnostic_only,False
42,9,4.5e-05,4.5e-05,0.0045000000000000005,0.0045000000000000005,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,98.47382316365838,98.4738115221262,73.01718322810048,-114.21033300948451,0.9847382316365838,0.984738115221262,0.7301718322810048,-1.142103330094845,0.679107145721724,0.9126976247465926,False,legacy_diagnostic_only,False
42,10,4.7e-05,4.7e-05,0.004699999999999999,0.004699999999999999,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,79.80763330124319,79.80765076354146,73.77942371382967,-114.01678290044363,0.7980763330124319,0.7980765076354146,0.7377942371382967,-1.1401678290044364,0.6648628646490983,0.874740648790676,False,legacy_diagnostic_only,False
42,11,4.9e-05,4.9e-05,0.0049,0.0049,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,60.68710354156792,60.68709190003574,73.38117166790525,-114.26583438870723,0.6068710354156792,0.6068709190003574,0.7338117166790525,-1.1426583438870723,0.6066383737034234,0.8368007983067428,False,legacy_diagnostic_only,False
42,12,5.1e-05,5.1e-05,0.0050999999999999995,0.0050999999999999995,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,44.69128034543246,44.691271614283316,72.73924979182372,-114.10603065823861,0.4469128034543246,0.4469127161428332,0.7273924979182372,-1.141060306582386,0.5990844716984788,0.8010084220064355,False,legacy_diagnostic_only,False
42,13,5.3e-05,5.3e-05,0.0053,0.0053,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,29.160833219066262,29.16082739830017,74.79139236774265,-114.55947137909143,0.2916083321906626,0.2916082739830017,0.7479139236774265,-1.1455947137909144,0.5621383063765844,0.7851081785789963,False,legacy_diagnostic_only,False
42,14,5.5e-05,5.5e-05,0.0055,0.0055,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,11.25844064517878,11.25843773479573,75.30319941204937,-113.93158553836773,0.1125844064517878,0.1125843773479573,0.7530319941204937,-1.1393158553836773,0.5617701335756473,0.7534376921527014,True,legacy_diagnostic_only,False
