case,seed,state,step,Delta,replay_type,variant,final_reaction_proxy,degraded_reaction_proxy,baseline_reaction_proxy,reaction_removed_fraction_vs_baseline,reaction_removed_percent_vs_baseline,crack_section_traction_proxy,baseline_crack_section_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline,elastic_energy,positive_energy_contribution,negative_energy_contribution,mean_v_jump_proxy,mean_u_jump_proxy,reaction_collapses_relative_to_baseline,crack_section_traction_removed_relative_to_baseline
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,baseline_current_split,0.7072629625458781,0.7072629625458781,0.7072629625458781,0.0,0.0,2.4169961622536484e-06,2.4169961622536484e-06,0.0,0.0,3.968812254695079e-08,3.968589667628434e-08,2.225870666446423e-12,2.5912325270269566e-05,1.047321792811774e-06,False,False
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,full_degradation_all_energy,1.0057801000212203,1.0057801000212203,0.7072629625458781,-0.4220737593847611,-42.20737593847611,1.228833618758884e-08,2.4169961622536484e-06,0.994915864419027,99.4915864419027,3.96881121032427e-08,3.968589667628434e-08,2.215426958361247e-12,2.5912325270269566e-05,1.047321792811774e-06,False,True
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,minus_degraded_in_crack_band,0.7072629625458781,0.7072629625458781,0.7072629625458781,0.0,0.0,1.228833618758884e-08,2.4169961622536484e-06,0.994915864419027,99.4915864419027,3.968812254695079e-08,3.968589667628434e-08,2.225870666446423e-12,2.5912325270269566e-05,1.047321792811774e-06,False,True
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,minus_removed_in_crack_band,0.7072629625458781,0.7072629625458781,0.7072629625458781,0.0,0.0,2.0643179509202157e-08,2.4169961622536484e-06,0.9914591591697216,99.14591591697216,3.968812254695079e-08,3.968589667628434e-08,2.225870666446423e-12,2.5912325270269566e-05,1.047321792811774e-06,False,True
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,baseline_current_split,0.9327040015012794,0.9327040015012794,0.9327040015012794,0.0,0.0,2.1357927742038173e-05,2.1357927742038173e-05,0.0,0.0,3.982707825853961e-08,3.982146974817579e-08,5.608510363820259e-12,0.00017922842804774116,1.1485382913362413e-05,False,False
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,full_degradation_all_energy,1.1450577357139244,1.1450577357139244,0.9327040015012794,-0.22767537597227058,-22.767537597227058,5.77047714210997e-09,2.1357927742038173e-05,0.9997298203640445,99.97298203640445,3.982636666197299e-08,3.982146974817579e-08,4.896913797203142e-12,0.00017922842804774116,1.1485382913362413e-05,False,True
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,minus_degraded_in_crack_band,0.9327040015012794,0.9327040015012794,0.9327040015012794,0.0,0.0,5.77047714210997e-09,2.1357927742038173e-05,0.9997298203640445,99.97298203640445,3.982707825853961e-08,3.982146974817579e-08,5.608510363820259e-12,0.00017922842804774116,1.1485382913362413e-05,False,True
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,minus_removed_in_crack_band,0.9327040015012794,0.9327040015012794,0.9327040015012794,0.0,0.0,1.0194143571530481e-08,2.1357927742038173e-05,0.9995226997818021,99.95226997818021,3.982707825853961e-08,3.982146974817579e-08,5.608510363820259e-12,0.00017922842804774116,1.1485382913362413e-05,False,True
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,baseline_current_split,0.7813714930377962,0.7813714930377962,0.7813714930377962,0.0,0.0,2.437540811504589e-06,2.437540811504589e-06,0.0,0.0,3.9370426989037575e-08,3.9368451396118604e-08,1.9755929189743016e-12,2.6189169156154805e-05,-7.190425817106284e-07,False,False
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,full_degradation_all_energy,1.0560706760966054,1.0560706760966054,0.7813714930377962,-0.35156028279306784,-35.15602827930678,9.48094263728685e-09,2.437540811504589e-06,0.9961104476312604,99.61104476312605,3.937041841890922e-08,3.9368451396118604e-08,1.9670227906241778e-12,2.6189169156154805e-05,-7.190425817106284e-07,False,True
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,minus_degraded_in_crack_band,0.7813714930377962,0.7813714930377962,0.7813714930377962,0.0,0.0,9.48094263728685e-09,2.437540811504589e-06,0.9961104476312604,99.61104476312605,3.9370426989037575e-08,3.9368451396118604e-08,1.9755929189743016e-12,2.6189169156154805e-05,-7.190425817106284e-07,False,True
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,minus_removed_in_crack_band,0.7813714930377962,0.7813714930377962,0.7813714930377962,0.0,0.0,1.5756793347801254e-08,2.437540811504589e-06,0.9935357827555407,99.35357827555407,3.9370426989037575e-08,3.9368451396118604e-08,1.9755929189743016e-12,2.6189169156154805e-05,-7.190425817106284e-07,False,True
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,baseline_current_split,0.9429994621219608,0.9429994621219608,0.9429994621219608,0.0,0.0,2.1105236460349546e-05,2.1105236460349546e-05,0.0,0.0,3.950054751844416e-08,3.949432396065879e-08,6.223557785379209e-12,0.00017869017301227292,-5.871673507202732e-06,False,False
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,full_degradation_all_energy,1.145165635169857,1.145165635169857,0.9429994621219608,-0.21438630791260127,-21.438630791260127,6.2795567812902184e-09,2.1105236460349546e-05,0.9997024645142882,99.97024645142882,3.949966673878965e-08,3.949432396065879e-08,5.34277813086673e-12,0.00017869017301227292,-5.871673507202732e-06,False,True
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,minus_degraded_in_crack_band,0.9429994621219608,0.9429994621219608,0.9429994621219608,0.0,0.0,6.2795567812902184e-09,2.1105236460349546e-05,0.9997024645142882,99.97024645142882,3.950054751844416e-08,3.949432396065879e-08,6.223557785379209e-12,0.00017869017301227292,-5.871673507202732e-06,False,True
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,deterministic_posthoc_saved_uv_no_optimization,minus_removed_in_crack_band,0.9429994621219608,0.9429994621219608,0.9429994621219608,0.0,0.0,1.0728140619678548e-08,2.1105236460349546e-05,0.9994916834672838,99.94916834672838,3.950054751844416e-08,3.949432396065879e-08,6.223557785379209e-12,0.00017869017301227292,-5.871673507202732e-06,False,True
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,baseline_current_split,0.7530319713684173,0.7530319713684173,0.7530319713684173,0.0,0.0,2.4548862798267426e-06,2.4548862798267426e-06,0.0,0.0,3.942378118754953e-08,3.942191718743571e-08,1.86400011382569e-12,2.6395385622666314e-05,2.4915568053929417e-07,False,False
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,full_degradation_all_energy,1.0353402922611192,1.0353402922611192,0.7530319713684173,-0.3748955311680704,-37.48955311680704,9.027823674993185e-09,2.4548862798267426e-06,0.9963225083991956,99.63225083991955,3.9423766996456753e-08,3.942191718743571e-08,1.849809021046567e-12,2.6395385622666314e-05,2.4915568053929417e-07,False,True
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,minus_degraded_in_crack_band,0.7530319713684173,0.7530319713684173,0.7530319713684173,0.0,0.0,9.027823674993185e-09,2.4548862798267426e-06,0.9963225083991956,99.63225083991955,3.942378118754953e-08,3.942191718743571e-08,1.86400011382569e-12,2.6395385622666314e-05,2.4915568053929417e-07,False,True
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,deterministic_posthoc_saved_uv_no_optimization,minus_removed_in_crack_band,0.7530319713684173,0.7530319713684173,0.7530319713684173,0.0,0.0,1.5098970222034936e-08,2.4548862798267426e-06,0.9938494217242925,99.38494217242925,3.942378118754953e-08,3.942191718743571e-08,1.86400011382569e-12,2.6395385622666314e-05,2.4915568053929417e-07,False,True
