case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,current_split,0.006,16,0.9338358044624329,0.007969001308083534,6.319128673998813,13.89910077051828,0.10820038854971847,0.6408483320744562,9.225195982642116e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,current_split,0.007,15,0.9120848774909973,0.012409416027367115,4.7550357041914815,12.70408512701559,0.060334157376200535,0.27572202541677765,6.862680713225768e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,current_split,0.008,14,0.920393168926239,0.009638451039791107,3.8650354228148056,7.7243505382166004,0.03921058946180615,0.1573480133670394,5.048360414771104e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,current_split,0.009,15,0.8945603966712952,0.013634729199111462,2.466568741547641,4.64623045658307,0.024125876840753076,0.0598132818175553,3.033724511897492e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.006,16,0.9338358044624329,0.007969001308083534,0.014612334882309404,0.04968270514524953,0.001584549599049561,0.005732724253734167,2.245921220223554e-09,0.9975654487726338,99.75654487726338
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.007,15,0.9120848774909973,0.012409416027367115,0.016715074207245977,0.037425106508642614,0.00262022362526953,0.008820692030004018,2.5633107898007404e-09,0.996264854949669,99.6264854949669
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.008,14,0.920393168926239,0.009638451039791107,0.022340864854490484,0.07928815801604117,0.0018627711091403862,0.004824071397413476,3.109435526871833e-09,0.9938407021856565,99.38407021856564
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.009,15,0.8945603966712952,0.013634729199111462,0.03457112733379914,0.07559629912263777,0.002397466063074184,0.005326056813906854,4.369668650692712e-09,0.985596356447146,98.5596356447146
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.006,16,0.9338358044624329,0.007969001308083534,0.014612334882309404,0.04968270514524953,0.001584549599049561,0.005732724253734167,2.245921220223554e-09,0.9975654487726338,99.75654487726338
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.007,15,0.9120848774909973,0.012409416027367115,0.016715074207245977,0.037425106508642614,0.00262022362526953,0.008820692030004018,2.5633107898007404e-09,0.996264854949669,99.6264854949669
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.008,14,0.920393168926239,0.009638451039791107,0.022340864854490484,0.07928815801604117,0.0018627711091403862,0.004824071397413476,3.109435526871833e-09,0.9938407021856565,99.38407021856564
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.009,15,0.8945603966712952,0.013634729199111462,0.03457112733379914,0.07559629912263777,0.002397466063074184,0.005326056813906854,4.369668650692712e-09,0.985596356447146,98.5596356447146
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.006,16,0.9338358044624329,0.007969001308083534,0.025162130119105196,0.08207358286701716,0.001346793546232804,0.00475914236398578,3.826591408418283e-09,0.9958520215552945,99.58520215552944
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.007,15,0.9120848774909973,0.012409416027367115,0.029177179122015305,0.06133983525398001,0.0021997453557556557,0.005525041758085214,4.371814045432055e-09,0.9936295826250423,99.36295826250424
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.008,14,0.920393168926239,0.009638451039791107,0.03732695789416102,0.13133452091940612,0.0017035886834035432,0.004673433809618266,5.180920066319567e-09,0.9897374203886857,98.97374203886858
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.009,15,0.8945603966712952,0.013634729199111462,0.05764253005626047,0.12439161623221118,0.002202348229093065,0.00473762464923605,7.26385398903225e-09,0.976056316384216,97.6056316384216
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.006,16,0.9338358044624329,0.007969001308083534,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.007,15,0.9120848774909973,0.012409416027367115,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.008,14,0.920393168926239,0.009638451039791107,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.009,15,0.8945603966712952,0.013634729199111462,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,current_split,0.006,16,0.9450211524963379,0.0067362915724515915,40.71870216706501,98.77063742820451,0.9935547972004788,7.224714515565444,6.010709546458829e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,current_split,0.007,15,0.9282617568969727,0.010006118565797806,36.77024578093221,98.30616775292724,0.4005727900877155,2.9534007425638866,5.36511663016304e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,current_split,0.008,15,0.9417313933372498,0.007533840835094452,36.54847760291775,92.78625397728432,0.7005412450966298,4.751306457733114,5.276676085521153e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,current_split,0.009,17,0.9347349405288696,0.008576799184083939,33.63301954543379,84.71221289644095,0.2068103402806265,0.8526118382889787,4.705425479895152e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.006,16,0.9450211524963379,0.0067362915724515915,0.008475796269097972,0.0358939552814137,0.0016330885415410537,0.012840752557268242,1.3214912001176564e-09,0.9997801438931787,99.97801438931788
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.007,15,0.9282617568969727,0.010006118565797806,0.00829085377090594,0.028693918279047548,0.0027612479076912218,0.011042849613077221,1.3417358233883445e-09,0.9997499148824006,99.97499148824006
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.008,15,0.9417313933372498,0.007533840835094452,0.009541560664640406,0.042840446499328166,0.0016805756716175748,0.007275494259691373,1.398590915876192e-09,0.9997349484991671,99.9734948499167
