case,seed,state,variant,cut_x,v_jump_proxy,u_jump_proxy
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,0.006,3.435456314796434e-05,2.8074996095341165e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,0.007,2.813621153176495e-05,1.8527555312175537e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,0.008,2.2987677759913454e-05,5.466252046230863e-07
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,0.009,1.8170848641435527e-05,-1.0175931741276608e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,0.006,3.435456314796434e-05,2.8074996095341165e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,0.007,2.813621153176495e-05,1.8527555312175537e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,0.008,2.2987677759913454e-05,5.466252046230863e-07
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,0.009,1.8170848641435527e-05,-1.0175931741276608e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,0.006,3.435456314796434e-05,2.8074996095341165e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,0.007,2.813621153176495e-05,1.8527555312175537e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,0.008,2.2987677759913454e-05,5.466252046230863e-07
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,0.009,1.8170848641435527e-05,-1.0175931741276608e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,0.006,3.435456314796434e-05,2.8074996095341165e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,0.007,2.813621153176495e-05,1.8527555312175537e-06
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,0.008,2.2987677759913454e-05,5.466252046230863e-07
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,0.009,1.8170848641435527e-05,-1.0175931741276608e-06
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,0.006,0.00018647741273950343,1.1105729227670934e-05
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,0.007,0.00018108780858272912,1.1305027151643622e-05
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,0.008,0.00017737496540980323,1.1799595754551033e-05
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,0.009,0.00017197352545892877,1.1731179519584062e-05
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,0.006,0.00018647741273950343,1.1105729227670934e-05
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,0.007,0.00018108780858272912,1.1305027151643622e-05
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,0.008,0.00017737496540980323,1.1799595754551033e-05
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,0.009,0.00017197352545892877,1.1731179519584062e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,0.006,0.00018647741273950343,1.1105729227670934e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,0.007,0.00018108780858272912,1.1305027151643622e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,0.008,0.00017737496540980323,1.1799595754551033e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,0.009,0.00017197352545892877,1.1731179519584062e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,0.006,0.00018647741273950343,1.1105729227670934e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,0.007,0.00018108780858272912,1.1305027151643622e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,0.008,0.00017737496540980323,1.1799595754551033e-05
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,0.009,0.00017197352545892877,1.1731179519584062e-05
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,0.006,3.465186301118063e-05,-6.753398681197894e-08
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,0.007,2.8161316009557515e-05,-3.7924267066009754e-07
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,0.008,2.3065408640832175e-05,-9.804995803780655e-07
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,0.009,1.88780889630489e-05,-1.4488940889923715e-06
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,full_degradation_all_energy,0.006,3.465186301118063e-05,-6.753398681197894e-08
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,full_degradation_all_energy,0.007,2.8161316009557515e-05,-3.7924267066009754e-07
