case,seed,state,variant,elastic_energy,positive_energy_contribution,negative_energy_contribution,negative_energy_fraction
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,3.968812254695079e-08,3.968589667628434e-08,2.225870666446423e-12,5.608405043129043e-05
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,3.96881121032427e-08,3.968589667628434e-08,2.215426958361247e-12,5.5820920697818635e-05
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,3.968812254695079e-08,3.968589667628434e-08,2.225870666446423e-12,5.608405043129043e-05
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,3.968812254695079e-08,3.968589667628434e-08,2.225870666446423e-12,5.608405043129043e-05
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,3.982707825853961e-08,3.982146974817579e-08,5.608510363820259e-12,0.00014082153672966704
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,3.982636666197299e-08,3.982146974817579e-08,4.896913797203142e-12,0.0001229565789610131
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,3.982707825853961e-08,3.982146974817579e-08,5.608510363820259e-12,0.00014082153672966704
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,3.982707825853961e-08,3.982146974817579e-08,5.608510363820259e-12,0.00014082153672966704
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,3.9370426989037575e-08,3.9368451396118604e-08,1.9755929189743016e-12,5.017961627706989e-05
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,full_degradation_all_energy,3.937041841890922e-08,3.9368451396118604e-08,1.9670227906241778e-12,4.9961947818147554e-05
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_degraded_in_crack_band,3.9370426989037575e-08,3.9368451396118604e-08,1.9755929189743016e-12,5.017961627706989e-05
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,3.9370426989037575e-08,3.9368451396118604e-08,1.9755929189743016e-12,5.017961627706989e-05
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,3.950054751844416e-08,3.949432396065879e-08,6.223557785379209e-12,0.0001575562410235761
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,3.949966673878965e-08,3.949432396065879e-08,5.34277813086673e-12,0.0001352613470437205
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,3.950054751844416e-08,3.949432396065879e-08,6.223557785379209e-12,0.0001575562410235761
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,3.950054751844416e-08,3.949432396065879e-08,6.223557785379209e-12,0.0001575562410235761
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,3.942378118754953e-08,3.942191718743571e-08,1.86400011382569e-12,4.7281109464313946e-05
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,3.9423766996456753e-08,3.942191718743571e-08,1.849809021046567e-12,4.692116360196681e-05
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,3.942378118754953e-08,3.942191718743571e-08,1.86400011382569e-12,4.7281109464313946e-05
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,3.942378118754953e-08,3.942191718743571e-08,1.86400011382569e-12,4.7281109464313946e-05
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,3.9578803343618364e-08,3.956992145260245e-08,8.881891015921342e-12,0.00022441029706759557
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,3.9577658537222404e-08,3.956992145260245e-08,7.737084619960835e-12,0.0001954912166591205
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,3.9578803343618364e-08,3.956992145260245e-08,8.881891015921342e-12,0.00022441029706759557
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,3.9578803343618364e-08,3.956992145260245e-08,8.881891015921342e-12,0.00022441029706759557
