case,seed,state,step,Delta,variant,init_strategy,epoch,loss_log10,elastic_energy,optimizer_returned_loss
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,1,-7.362554550170898,4.3395640858534534e-08,-7.392311096191406
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,25,-7.395578861236572,4.021809019150169e-08,-7.395321369171143
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,50,-7.3994011878967285,3.986567520541939e-08,-7.399349689483643
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,75,-7.399774074554443,3.9831462572692544e-08,-7.399767875671387
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,100,-7.399810314178467,3.982812657454815e-08,-7.399749755859375
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,125,-7.399842739105225,3.982513874234428e-08,-7.399842739105225
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,150,-7.399850845336914,3.9824385567044374e-08,-7.399849891662598
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,175,-7.399855613708496,3.9823969899543954e-08,-7.399855613708496
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,200,-7.399839401245117,3.9825504671853196e-08,-7.399857521057129
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,225,-7.399861812591553,3.982344765063317e-08,-7.399861812591553
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,250,-7.399862289428711,3.98233588327912e-08,-7.399838447570801
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,1,-7.362606525421143,4.3390421922140376e-08,-7.392311096191406
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,25,-7.39346170425415,4.041463341764029e-08,-7.39290189743042
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,50,-7.398989200592041,3.990350450067126e-08,-7.398919105529785
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,75,-7.399768829345703,3.9831903109188715e-08,-7.399750709533691
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,100,-7.399816989898682,3.982748353337229e-08,-7.399831771850586
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,125,-7.399848461151123,3.982460583529246e-08,-7.399848461151123
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,150,-7.399855136871338,3.982403740110385e-08,-7.399855136871338
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,175,-7.3998589515686035,3.9823639497171825e-08,-7.399858474731445
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,200,-7.399862289428711,3.982335528007752e-08,-7.399862289428711
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,225,-7.3998589515686035,3.98236608134539e-08,-7.399857521057129
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,250,-7.39986515045166,3.982308882655161e-08,-7.399865627288818
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,1,-7.362607479095459,4.33903011298753e-08,-7.392311096191406
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,25,-7.3936333656311035,4.039867107508144e-08,-7.392673015594482
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,50,-7.398979663848877,3.990441754808671e-08,-7.398956298828125
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,75,-7.394106864929199,4.03545854510412e-08,-7.393867492675781
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,100,-7.399827003479004,3.982661311852098e-08,-7.399830341339111
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,125,-7.399840831756592,3.9825302167173504e-08,-7.3998236656188965
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,150,-7.399842739105225,3.98252026911905e-08,-7.3998494148254395
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,175,-7.399853229522705,3.9824140429800536e-08,-7.3998541831970215
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,200,-7.399857521057129,3.982378160571898e-08,-7.399857521057129
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,225,-7.39985990524292,3.9823586206466643e-08,-7.39985990524292
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,250,-7.39984655380249,3.982481899811319e-08,-7.3998284339904785
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,1,-7.361593723297119,4.349174531625977e-08,-7.392332077026367
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,25,-7.39572811126709,4.020428434614587e-08,-7.394417762756348
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,50,-7.3996686935424805,3.9841115295757845e-08,-7.399666786193848
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,75,-7.3998212814331055,3.9827106945722335e-08,-7.399818420410156
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,100,-7.399842739105225,3.9825149400485316e-08,-7.399839401245117
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,125,-7.399852752685547,3.982424345849722e-08,-7.399852752685547
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,150,-7.399857521057129,3.982377450029162e-08,-7.399857521057129
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,175,-7.39985990524292,3.9823554232043534e-08,-7.39985990524292
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,200,-7.399745464324951,3.983408802810118e-08,-7.399862289428711
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,225,-7.399863243103027,3.982326290952187e-08,-7.399863243103027
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,250,-7.39985990524292,3.982356844289825e-08,-7.3998565673828125
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,1,-7.3913774490356445,4.0609030804716895e-08,-7.400549411773682
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,25,-7.400908470153809,3.972753859216027e-08,-7.40087890625
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,50,-7.4011945724487305,3.970141548848005e-08,-7.4011921882629395
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,75,-7.401280403137207,3.969352135868576e-08,-7.401278018951416
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,100,-7.401310443878174,3.969076800558469e-08,-7.401309490203857
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,125,-7.401320457458496,3.968984785274188e-08,-7.401320457458496
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,150,-7.401327610015869,3.9689201258852336e-08,-7.401327610015869
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,175,-7.401332855224609,3.968876427506984e-08,-7.401331901550293
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,200,-7.4013352394104,3.9688494268830254e-08,-7.4013352394104
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,225,-7.401336193084717,3.968842321455668e-08,-7.401337146759033
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,250,-7.401338577270508,3.968821715716331e-08,-7.401338577270508
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,1,-7.3913774490356445,4.0609030804716895e-08,-7.400549411773682
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,25,-7.400908470153809,3.972753859216027e-08,-7.40087890625
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,50,-7.4011945724487305,3.970141548848005e-08,-7.4011921882629395
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,75,-7.401280403137207,3.969352135868576e-08,-7.401278018951416
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,100,-7.401310443878174,3.969076800558469e-08,-7.401309490203857
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,125,-7.401320457458496,3.968984785274188e-08,-7.401320457458496
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,150,-7.401327610015869,3.9689201258852336e-08,-7.401327610015869
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,175,-7.401332855224609,3.968876427506984e-08,-7.401331901550293
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,200,-7.4013352394104,3.9688494268830254e-08,-7.4013352394104
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,225,-7.401336193084717,3.968842321455668e-08,-7.401337146759033
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,250,-7.401338577270508,3.968821715716331e-08,-7.401338577270508
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,1,-7.3913774490356445,4.0609030804716895e-08,-7.400549411773682
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,25,-7.400908470153809,3.972753859216027e-08,-7.40087890625
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,50,-7.4011945724487305,3.970141548848005e-08,-7.4011921882629395
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,75,-7.401280403137207,3.969352135868576e-08,-7.401278018951416
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,100,-7.401310443878174,3.969076800558469e-08,-7.401309490203857
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,125,-7.401320457458496,3.968984785274188e-08,-7.401320457458496
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,150,-7.401327610015869,3.9689201258852336e-08,-7.401327610015869
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,175,-7.401332855224609,3.968876427506984e-08,-7.401331901550293
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,200,-7.4013352394104,3.9688494268830254e-08,-7.4013352394104
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,225,-7.401336193084717,3.968842321455668e-08,-7.401337146759033
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,250,-7.401338577270508,3.968821715716331e-08,-7.401338577270508
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,1,-7.391371726989746,4.060954239548664e-08,-7.400549411773682
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,25,-7.401008129119873,3.97184010125784e-08,-7.4009904861450195
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,50,-7.401206016540527,3.9700339016235375e-08,-7.4012017250061035
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,75,-7.401299476623535,3.969176987084211e-08,-7.4012980461120605
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,100,-7.401318550109863,3.9690007724857423e-08,-7.401318550109863
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,125,-7.401325225830078,3.9689442843382494e-08,-7.401325225830078
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,150,-7.4013285636901855,3.968909823015565e-08,-7.4013285636901855
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,175,-7.4013214111328125,3.968980522017773e-08,-7.401330947875977
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,200,-7.401332855224609,3.96887216425057e-08,-7.401332855224609
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,225,-7.4013352394104,3.9688551112249115e-08,-7.401334285736084
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,250,-7.401334285736084,3.968856177039015e-08,-7.401334285736084
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,1,-7.117581844329834,7.628136700077448e-08,-7.401943206787109
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,25,-7.402584552764893,3.957450900315962e-08,-7.402544021606445
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,50,-7.40334415435791,3.950540872210695e-08,-7.403334140777588
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,75,-7.403426170349121,3.949794091795411e-08,-7.403426170349121
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,100,-7.403429985046387,3.949753590859473e-08,-7.403441905975342
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,125,-7.40344762802124,3.949598337271709e-08,-7.403354167938232
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,150,-7.403450965881348,3.949566007577232e-08,-7.403450965881348
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,175,-7.403451919555664,3.949554994164828e-08,-7.403451919555664
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,200,-7.403452396392822,3.949548954551574e-08,-7.403449058532715
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,225,-7.403450012207031,3.949575244632797e-08,-7.403448581695557
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,250,-7.403454303741455,3.9495379411391696e-08,-7.403454303741455
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,1,-7.11767053604126,7.626580611486133e-08,-7.401943206787109
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,25,-7.402628421783447,3.957050509484361e-08,-7.402553081512451
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,50,-7.403334140777588,3.950626847881722e-08,-7.403329849243164
