case,seed,state,variant,init_strategy,convergence_status,iterations,final_mechanics_loss,prefit_disp_mse,prefit_iterations
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,saved_uv_prefit,converged_trace_tol,250,-7.399862289428711,7.965292006973258e-15,250
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.39986515045166,7.965292006973258e-15,250
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.39984655380249,7.965292006973258e-15,250
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,saved_uv_prefit,converged_trace_tol,250,-7.39985990524292,7.965292006973258e-15,250
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,saved_uv_prefit,converged_trace_tol,250,-7.401338577270508,1.3096450206553608e-16,250
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.401338577270508,1.3096450206553608e-16,250
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.401338577270508,1.3096450206553608e-16,250
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,saved_uv_prefit,converged_trace_tol,250,-7.401334285736084,1.3096450206553608e-16,250
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,saved_uv_prefit,converged_trace_tol,250,-7.403454303741455,1.6626355723304274e-15,250
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.40345573425293,1.6626355723304274e-15,250
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.403446674346924,1.6626355723304274e-15,250
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,saved_uv_prefit,converged_trace_tol,250,-7.40345573425293,1.6626355723304274e-15,250
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,saved_uv_prefit,converged_trace_tol,250,-7.404845237731934,9.36940597696118e-17,250
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_degraded_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.404845237731934,9.36940597696118e-17,250
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.404845237731934,9.36940597696118e-17,250
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,full_degradation_all_energy,saved_uv_prefit,converged_trace_tol,250,-7.404845714569092,9.36940597696118e-17,250
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,saved_uv_prefit,converged_trace_tol,250,-7.402618408203125,2.992997060111938e-15,250
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.402619361877441,2.992997060111938e-15,250
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.4026198387146,2.992997060111938e-15,250
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,saved_uv_prefit,converged_trace_tol,250,-7.40261697769165,2.992997060111938e-15,250
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,saved_uv_prefit,converged_trace_tol,250,-7.404243469238281,2.5937337338030793e-16,250
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.404243469238281,2.5937337338030793e-16,250
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,saved_uv_prefit,converged_trace_tol,250,-7.404243469238281,2.5937337338030793e-16,250
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,saved_uv_prefit,converged_trace_tol,250,-7.4042487144470215,2.5937337338030793e-16,250
