case,seed,state,step,Delta,variant,init_strategy,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.006,5.995595984131796e-06,16,40.62574768066406,98.70745849609375,0.9967182874679565,7.170880317687988,5.995595984131796e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.007,5.3398362069856375e-06,15,36.57578659057617,97.56063079833984,0.38045617938041687,2.886033773422241,5.3398362069856375e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.008,5.251270067674341e-06,15,36.3566780090332,92.82745361328125,0.701531708240509,4.872830867767334,5.251270067674341e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.009,4.66173105451162e-06,17,33.30781555175781,83.953857421875,0.2129804641008377,0.8727840781211853,4.66173105451162e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.006,1.2848841990376059e-09,16,0.007966127246618271,0.03261958807706833,0.0019411623943597078,0.014331765472888947,5.995595984131796e-06,0.9997856953333016,99.97856953333016
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.007,1.1931623467020813e-09,15,0.007519563194364309,0.02188577502965927,0.0022151502780616283,0.00589071586728096,5.3398362069856375e-06,0.9997765545045855,99.97765545045854
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.008,1.2097320922777044e-09,15,0.008318190462887287,0.03021826595067978,0.0009478079155087471,0.004275056533515453,5.251270067674341e-06,0.9997696305699978,99.97696305699978
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.009,1.625558021522977e-09,17,0.010146468877792358,0.03892891854047775,0.0022060200572013855,0.0076653193682432175,4.66173105451162e-06,0.9996512973394401,99.96512973394401
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.006,2.3577082508552394e-09,16,0.015748240053653717,0.05517090484499931,0.0013162195682525635,0.008377156220376492,5.995595984131796e-06,0.999606759985647,99.9606759985647
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.007,2.0883028639673284e-09,15,0.01428966037929058,0.038854196667671204,0.0016942997463047504,0.006690060719847679,5.3398362069856375e-06,0.99960892005241,99.96089200524099
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.008,1.7437725707836194e-09,15,0.012126482091844082,0.04263225197792053,0.0009423295850865543,0.007375575602054596,5.251270067674341e-06,0.9996679331764866,99.96679331764867
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.009,2.600674786634727e-09,17,0.016774676740169525,0.05199863761663437,0.0021120086312294006,0.006952492520213127,4.66173105451162e-06,0.9994421225171027,99.94421225171027
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.006,1.4187190311432119e-09,16,0.009244680404663086,0.03701043501496315,0.0015161879127845168,0.011618385091423988,5.995595984131796e-06,0.9997633731434042,99.97633731434043
