case,seed,state,step,Delta,variant,init_strategy,cut_x,v_jump_proxy,u_jump_proxy,above_node_count,below_node_count
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.006,0.00018585807993076742,1.1137461115140468e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.007,0.00018006007303483784,1.1331785572110675e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.008,0.0001765829510986805,1.1899780474777799e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.009,0.00017090750043280423,1.2112470358260907e-05,29,25
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.006,0.00018565032223705202,1.12309953692602e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.007,0.00017966018640436232,1.1136766261188313e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.008,0.00017591739015188068,1.1650635315163527e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.009,0.00017028581351041794,1.1928501407965086e-05,29,25
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.006,0.00018564921629149467,1.1094556612079032e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.007,0.00017965995357371867,1.1208802789042238e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.008,0.00017588280024938285,1.1630098015302792e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.009,0.00017002040112856776,1.1886595530086197e-05,29,25
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.006,0.00018602148338686675,1.0957932317978702e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.007,0.0001802072220016271,1.080402398656588e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.008,0.00017679724260233343,1.1243395420024171e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.009,0.0001712181983748451,1.11707195173949e-05,29,25
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.006,3.427534829825163e-05,2.828076731020701e-06,26,28
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.007,2.8064496291335672e-05,1.8657565306057222e-06,27,27
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.008,2.2960337446420453e-05,5.358442649594508e-07,27,30
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.009,1.8161577827413566e-05,-9.37757249630522e-07,29,24
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.006,3.427534829825163e-05,2.828076731020701e-06,26,28
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.007,2.8064496291335672e-05,1.8657565306057222e-06,27,27
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.008,2.2960337446420453e-05,5.358442649594508e-07,27,30
