case,seed,state,step,Delta,variant,init_strategy,source_path,iterations,convergence_status,final_mechanics_loss,final_reaction_proxy,total_elastic_energy,positive_energy_contribution,negative_energy_contribution,crack_band_negative_energy_contribution,crack_band_positive_energy_contribution,cutline_crack_band_traction_proxy,mean_v_jump_proxy,mean_u_jump_proxy,crack_band_element_count,crack_band_mean_abs_sigma_yy_eff,crack_band_max_abs_sigma_yy_eff,crack_band_mean_abs_sigma_xy_eff,crack_band_max_abs_sigma_xy_eff,prefit_final_loss,prefit_disp_mse,prefit_iterations,baseline_reaction_proxy,baseline_total_elastic_energy,baseline_cutline_crack_band_traction_proxy,baseline_mean_v_jump_proxy,reaction_removed_fraction_vs_baseline,reaction_removed_percent_vs_baseline,reaction_collapses_ge_10pct,reaction_collapses_ge_30pct,reaction_collapses_ge_50pct,variant_lower_energy_than_baseline,energy_change_percent_vs_baseline,mean_v_jump_change_vs_baseline
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.399862289428711,0.8268415412807539,3.982335528007752e-08,3.982191287832393e-08,1.4428829225171524e-12,0.0,1.3461067815967453e-09,5.3121083283258486e-06,0.0001783521511242725,1.1620374380072462e-05,165,40.60956573486328,148.76849365234375,0.4042520821094513,7.170880317687988,4.073044324232923e-15,7.965292006973258e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.39986515045166,0.8727124280569707,3.982309237926529e-08,3.982175655892206e-08,1.3326639054442313e-12,0.0,1.3461067815967453e-09,1.3283341648850922e-09,0.00017787842807592824,1.1486724588394281e-05,165,0.007620970252901316,0.03892891854047775,0.0017847494455054402,0.014331765472888947,4.073044324232923e-15,7.965292006973258e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,-0.05547724017973754,-5.547724017973755,False,False,False,True,-0.0006601674077491877,-4.737230483442545e-07
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.39984655380249,0.7850224196544181,3.982481544539951e-08,3.982309948469265e-08,1.717603923673261e-12,0.0,1.3461067815967453e-09,2.1976146180602285e-09,0.00017780309281079099,1.1455013236627565e-05,165,0.013906042091548443,0.05872311815619469,0.0013901048805564642,0.008377156220376492,4.073044324232923e-15,7.965292006973258e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,0.05057694798638105,5.057694798638105,False,False,False,False,0.003666605467363732,-5.490583134815097e-07
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.39985990524292,0.930504632398855,3.982356844289825e-08,3.9822069197725796e-08,1.4990287657001833e-12,0.0,1.3461067815967453e-09,1.5143038489817684e-09,0.0001785610365914181,1.1044017810490914e-05,165,0.008828713558614254,0.05568927899003029,0.0018033800879493356,0.012360063381493092,4.073044324232923e-15,7.965292006973258e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,-0.12537237903834614,-12.537237903834614,False,False,False,False,0.0005352708711479901,2.0888546714559197e-07
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.401338577270508,0.7226691018343682,3.968821715716331e-08,3.968805373233408e-08,1.6304562951499624e-13,0.0,9.581752058451798e-10,5.997284233671962e-07,2.586543996585533e-05,1.072980069238838e-06,151,5.60814905166626,27.466236114501953,0.043471768498420715,0.6354261636734009,1.2707713699834107e-16,1.3096450206553608e-16,250,0.7226691018343682,3.968821715716331e-08,5.997284233671962e-07,2.586543996585533e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.401338577270508,0.7226691018343682,3.968821715716331e-08,3.968805373233408e-08,1.6304562951499624e-13,0.0,9.581752058451798e-10,3.062875342241256e-09,2.586543996585533e-05,1.072980069238838e-06,151,0.021431537345051765,0.10520894080400467,0.0016366265481337905,0.008707710541784763,1.2707713699834107e-16,1.3096450206553608e-16,250,0.7226691018343682,3.968821715716331e-08,5.997284233671962e-07,2.586543996585533e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.401338577270508,0.7226691018343682,3.968821715716331e-08,3.968805373233408e-08,1.6304562951499624e-13,0.0,9.581752058451798e-10,5.132138491958926e-09,2.586543996585533e-05,1.072980069238838e-06,151,0.036095790565013885,0.17167460918426514,0.0014430875889956951,0.005817152559757233,1.2707713699834107e-16,1.3096450206553608e-16,250,0.7226691018343682,3.968821715716331e-08,5.997284233671962e-07,2.586543996585533e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.401334285736084,1.010816712725856,3.968856177039015e-08,3.9688373476565175e-08,1.8939919619632983e-13,0.0,9.579869120202034e-10,3.064939024799429e-09,2.588846882645157e-05,1.0843989457498537e-06,151,0.021437479183077812,0.10527574270963669,0.0016702439170330763,0.008973568677902222,1.2707713699834107e-16,1.3096450206553608e-16,250,0.7226691018343682,3.968821715716331e-08,5.997284233671962e-07,2.586543996585533e-05,-0.3987269002646937,-39.87269002646937,False,False,False,False,0.0008683011017577279,2.302886059624143e-08
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.403454303741455,0.7632701414476601,3.9495382964105374e-08,3.949439530970267e-08,9.829665293531464e-13,0.0,1.20373244705263e-09,5.26426902069943e-06,0.0001785416461643763,-6.009377784721437e-06,162,40.15749740600586,140.2215118408203,0.34947407245635986,4.406590461730957,1.6779504574123772e-15,1.6626355723304274e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.40345573425293,0.6952400731159244,3.949521953927615e-08,3.9494373993420595e-08,8.436998929356454e-13,0.0,1.2037308927403956e-09,1.5093695460155487e-09,0.00017852129894890822,-6.2036682493271655e-06,162,0.009019515477120876,0.106436587870121,0.0013281517894938588,0.009190218523144722,1.6779504574123772e-15,1.6626355723304274e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,0.08912973878777201,8.912973878777201,False,False,False,True,-0.00041378211061619173,-2.034721546806395e-08
