case,seed,state,step,Delta,variant,kinematic_mode,epoch,loss_log10,elastic_energy,optimizer_returned_loss
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,1,-7.362554550170898,4.3395640858534534e-08,-7.392311096191406
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,25,-7.395578861236572,4.021809019150169e-08,-7.395321369171143
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,50,-7.3994011878967285,3.986567520541939e-08,-7.399349689483643
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,75,-7.399774074554443,3.9831462572692544e-08,-7.399767875671387
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,100,-7.399810314178467,3.982812657454815e-08,-7.399749755859375
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,125,-7.399842739105225,3.982513874234428e-08,-7.399842739105225
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,150,-7.399850845336914,3.9824385567044374e-08,-7.399849891662598
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,175,-7.399855613708496,3.9823969899543954e-08,-7.399855613708496
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,200,-7.399839401245117,3.9825504671853196e-08,-7.399857521057129
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,225,-7.399861812591553,3.982344765063317e-08,-7.399861812591553
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,250,-7.399862289428711,3.98233588327912e-08,-7.399838447570801
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,1,-7.217494487762451,6.06045773565711e-08,-7.3990583419799805
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,25,-7.399464130401611,3.985991625654606e-08,-7.3994269371032715
