case,seed,state,step,Delta,variant,kinematic_mode,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.006,5.995595984131796e-06,16,40.62574768066406,98.70745849609375,0.9967182874679565,7.170880317687988,5.995595984131796e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.007,5.3398362069856375e-06,15,36.57578659057617,97.56063079833984,0.38045617938041687,2.886033773422241,5.3398362069856375e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.008,5.251270067674341e-06,15,36.3566780090332,92.82745361328125,0.701531708240509,4.872830867767334,5.251270067674341e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.009,4.66173105451162e-06,17,33.30781555175781,83.953857421875,0.2129804641008377,0.8727840781211853,4.66173105451162e-06,0.0,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.006,5.998148481012322e-06,16,40.64447784423828,98.45518493652344,0.9790984392166138,7.151430130004883,5.995595984131796e-06,-0.00042572863269661125,-0.04257286326966112
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.007,5.334346042218385e-06,15,36.554805755615234,97.89535522460938,0.3796783685684204,2.9545178413391113,5.3398362069856375e-06,0.0010281522792908858,0.10281522792908858
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.008,5.244727617537137e-06,15,36.359901428222656,92.5311279296875,0.7001521587371826,4.565747261047363,5.251270067674341e-06,0.0012458795782524,0.12458795782524
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.009,4.6711857066839e-06,17,33.38258361816406,84.1198501586914,0.18887843191623688,0.8342722654342651,4.66173105451162e-06,-0.0020281419201844068,-0.20281419201844067
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.006,1.3598402404113585e-09,16,0.008688757196068764,0.03668903559446335,0.001487721223384142,0.008496024645864964,5.995595984131796e-06,0.9997731934833484,99.97731934833483
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.007,1.6692904836190792e-09,15,0.011220600455999374,0.028488362208008766,0.001658152905292809,0.007777030114084482,5.3398362069856375e-06,0.9996873891971751,99.96873891971751
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.008,1.8709660487559177e-09,15,0.012929062359035015,0.07963347434997559,0.001465825131163001,0.007135980762541294,5.251270067674341e-06,0.9996437117069501,99.96437117069502
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.009,1.747874511792702e-09,17,0.011468857526779175,0.04238072782754898,0.0011302115162834525,0.004858322441577911,4.66173105451162e-06,0.9996250589123752,99.96250589123751
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.006,0.0,16,0.0,0.0,0.0,0.0,5.995595984131796e-06,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.007,0.0,15,0.0,0.0,0.0,0.0,5.3398362069856375e-06,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.008,0.0,15,0.0,0.0,0.0,0.0,5.251270067674341e-06,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.009,0.0,17,0.0,0.0,0.0,0.0,4.66173105451162e-06,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.006,5.456744020193582e-06,14,36.39092254638672,79.66140747070312,0.07321502268314362,0.5564863681793213,5.456744020193582e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.007,5.799577138532186e-06,17,36.17220687866211,85.3032455444336,0.2826814353466034,2.791846752166748,5.799577138532186e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.008,4.815200554730836e-06,14,40.79502487182617,100.31309509277344,0.3453483581542969,1.89918053150177,4.815200554730836e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.009,4.985554369341116e-06,15,34.19520568847656,91.74490356445312,0.23328809440135956,2.079798936843872,4.985554369341116e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.006,5.449248419608921e-06,14,36.3448371887207,79.36495971679688,0.06715161353349686,0.5721977353096008,5.456744020193582e-06,0.0013736397670337623,0.13736397670337624
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.007,5.780716037406819e-06,17,36.053279876708984,85.23412322998047,0.27192604541778564,2.8005900382995605,5.799577138532186e-06,0.003252151092198515,0.3252151092198515
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.008,4.802223429578589e-06,14,40.69629669189453,100.14735412597656,0.3442954421043396,1.9555248022079468,4.815200554730836e-06,0.002695033156925783,0.2695033156925783
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.009,4.974349394615274e-06,15,34.121395111083984,91.43365478515625,0.2214614450931549,2.008466958999634,4.985554369341116e-06,0.002247488222121888,0.22474882221218878
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.006,1.3434173773418934e-09,14,0.00971105694770813,0.026037026196718216,0.0010311786318197846,0.0051500676199793816,5.456744020193582e-06,0.9997538060476412,99.97538060476413
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.007,2.2540533883841363e-09,17,0.013703284785151482,0.10461625456809998,0.0019758520647883415,0.008264627307653427,5.799577138532186e-06,0.9996113417694873,99.96113417694873
