case,seed,state,step,Delta,variant,kinematic_mode,cut_x,v_jump_proxy,u_jump_proxy,above_node_count,below_node_count
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.006,0.00018585807993076742,1.1137461115140468e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.007,0.00018006007303483784,1.1331785572110675e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.008,0.0001765829510986805,1.1899780474777799e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,0.009,0.00017090750043280423,1.2112470358260907e-05,29,25
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.006,0.0001865234225988388,1.154589426732855e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.007,0.00018049647042062134,1.1358539268258028e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.008,0.00017716031288728118,1.1802088920376264e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.009,0.00017192575614899397,1.1612964954110794e-05,29,25
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.006,0.00018647917022462934,1.1652369721559808e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.007,0.0001804482308216393,1.1431889106461313e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.008,0.00017688145453575999,1.1656786227831617e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.009,0.0001715317484922707,1.1213085599592887e-05,29,25
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.006,0.00018979418382514268,1.1637439456535503e-05,26,29
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.007,0.00018528563668951392,1.1297061973891687e-05,27,27
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.008,0.00018395720690023154,1.1688087397487834e-05,27,30
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.009,0.00018263889069203287,1.1346330211381428e-05,29,25
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.006,0.00018567414372228086,-4.1625048652349506e-06,27,28
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.007,0.0001796054857550189,-5.7777215261012316e-06,27,27
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.008,0.00017618596029933542,-6.899389973114012e-06,29,29
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,0.009,0.00017270099488086998,-7.197894774435554e-06,30,26
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.006,0.0001857499300967902,-4.137146333960118e-06,27,28
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.007,0.00017945353465620428,-5.3411899898492265e-06,27,27
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.008,0.00017602423031348735,-6.530843165819533e-06,29,29
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.009,0.00017265461792703718,-6.658489837718662e-06,30,26
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.006,0.0001856297894846648,-3.948426638089586e-06,27,28
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.007,0.0001794802665244788,-5.179202162253205e-06,27,27
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.008,0.00017609323549550027,-6.1337027545960154e-06,29,29
