case,seed,state,variant,kinematic_mode,total_elastic_energy,positive_energy_contribution,negative_energy_contribution,crack_band_negative_energy_contribution,crack_band_positive_energy_contribution,baseline_total_elastic_energy,energy_change_percent_vs_baseline,optimized_energy_lower_than_continuous_baseline
D0040_seed7_default_unitbox,7,final_D0040,continuous_baseline,continuous,3.982335528007752e-08,3.982191287832393e-08,1.4428829225171524e-12,0.0,1.3461067815967453e-09,3.982335528007752e-08,0.0,False
D0040_seed7_default_unitbox,7,final_D0040,split_domain_current_split,split_domain,3.9822008801593256e-08,3.982152207981926e-08,4.852807608882181e-13,0.0,1.3461473047371442e-09,3.982335528007752e-08,-0.0033811276694181375,True
D0040_seed7_default_unitbox,7,final_D0040,split_domain_minus_degraded_crack_band,split_domain,3.9821834718622995e-08,3.982148655268247e-08,3.482474183157114e-13,0.0,1.3461072256859552e-09,3.982335528007752e-08,-0.003818265547522329,True
D0040_seed7_default_unitbox,7,final_D0040,split_domain_crack_band_void,split_domain,3.8475707953011806e-08,3.847537755063968e-08,3.324350343614224e-13,0.0,0.0,3.982335528007752e-08,-3.3840627380282653,True
D0040_seed13_default_unitbox,13,final_D0040,continuous_baseline,continuous,3.9495382964105374e-08,3.949439530970267e-08,9.829665293531464e-13,0.0,1.20373244705263e-09,3.9495382964105374e-08,0.0,False
D0040_seed13_default_unitbox,13,final_D0040,split_domain_current_split,split_domain,3.9494608472523396e-08,3.9494345571711165e-08,2.62440134728148e-13,0.0,1.2037373320339384e-09,3.9495382964105374e-08,-0.0019609673937897782,True
D0040_seed13_default_unitbox,13,final_D0040,split_domain_minus_degraded_crack_band,split_domain,3.949453031282246e-08,3.949432425542909e-08,2.0631911977486705e-13,0.0,1.203731003762698e-09,3.9495382964105374e-08,-0.002158863185823609,True
D0040_seed13_default_unitbox,13,final_D0040,split_domain_crack_band_void,split_domain,3.8290799864171277e-08,3.8290593806777906e-08,2.0624653243941915e-13,0.0,0.0,3.9495382964105374e-08,-3.0499339657723037,True
D0040_seed42_default_unitbox,42,final_D0040,continuous_baseline,continuous,3.9571467880250566e-08,3.957027416845449e-08,1.1916351152357896e-12,0.0,1.2586347519771834e-09,3.9571467880250566e-08,0.0,False
D0040_seed42_default_unitbox,42,final_D0040,split_domain_current_split,split_domain,3.957021732503563e-08,3.956998284593283e-08,2.3710392915536616e-13,0.0,1.2586927056190689e-09,3.9571467880250566e-08,-0.0031602446963103605,True
D0040_seed42_default_unitbox,42,final_D0040,split_domain_minus_degraded_crack_band,split_domain,3.9570252852172416e-08,3.956995087150972e-08,2.992763914293206e-13,0.0,1.2586347519771834e-09,3.9571467880250566e-08,-0.003070465017437907,True
D0040_seed42_default_unitbox,42,final_D0040,split_domain_crack_band_void,split_domain,3.8311476657781895e-08,3.8311299022097955e-08,1.7677612845767854e-13,0.0,0.0,3.9571467880250566e-08,-3.184090179018884,True
