case,seed,variant,stress_version,boundary,subdomain,integrated_sigma_xx_nx_plus_sigma_xy_ny_N,integrated_sigma_xy_nx_plus_sigma_yy_ny_N,normal_force_N,tangential_force_N,boundary_length_mm,edge_count
D0040_seed7_default_unitbox,7,continuous_baseline,variant,right,whole,-14.414551556612041,-0.5854498127464856,-14.414551556612041,-0.5854498127464856,0.009999999776482582,34
D0040_seed7_default_unitbox,7,continuous_baseline,variant,bottom,whole,-0.0343983175492384,-1.0707405153820218,1.0707405153820218,-0.0343983175492384,0.009999999776482582,19
D0040_seed7_default_unitbox,7,continuous_baseline,variant,left,whole,-0.06565391403483131,-0.0011186532677380581,0.06565391403483131,-0.0011186532677380581,0.00989999994635582,34
D0040_seed7_default_unitbox,7,continuous_baseline,variant,top,whole,0.024386560816324336,0.8268415186103811,0.8268415186103811,0.024386560816324336,0.009999999776482582,19
D0040_seed7_default_unitbox,7,continuous_baseline,variant,physical_boundary_sum,whole,-14.490217227379786,-0.8304674627858643,,,,106
D0040_seed7_default_unitbox,7,continuous_baseline,variant,left,upper,-0.04148743891941469,0.003324114457050727,0.04148743891941469,0.003324114457050727,0.00494999997317791,17
D0040_seed7_default_unitbox,7,continuous_baseline,variant,right,upper,-13.858465198895557,-0.6113713551893665,-13.858465198895557,-0.6113713551893665,0.004799999762326479,16
D0040_seed7_default_unitbox,7,continuous_baseline,variant,top,upper,0.024386560816324336,0.8268415186103811,0.8268415186103811,0.024386560816324336,0.009999999776482582,19
D0040_seed7_default_unitbox,7,continuous_baseline,variant,physical_boundary_sum,upper,-13.875566076998647,0.21879427787806538,,,,52
D0040_seed7_default_unitbox,7,continuous_baseline,variant,right,lower,-0.5560863577164874,0.025921542442880717,-0.5560863577164874,0.025921542442880717,0.005200000014156103,18
D0040_seed7_default_unitbox,7,continuous_baseline,variant,bottom,lower,-0.0343983175492384,-1.0707405153820218,1.0707405153820218,-0.0343983175492384,0.009999999776482582,19
D0040_seed7_default_unitbox,7,continuous_baseline,variant,left,lower,-0.024166475115416627,-0.004442767724788786,0.024166475115416627,-0.004442767724788786,0.00494999997317791,17
D0040_seed7_default_unitbox,7,continuous_baseline,variant,physical_boundary_sum,lower,-0.6146511503811424,-1.0492617406639297,,,,54
D0040_seed7_default_unitbox,7,continuous_baseline,total,right,whole,4.7089226301561276,-3.5943309736965374,4.7089226301561276,-3.5943309736965374,0.009999999776482582,34
D0040_seed7_default_unitbox,7,continuous_baseline,total,bottom,whole,-0.03728436355066048,-1.4790289450339305,1.4790289450339305,-0.03728436355066048,0.009999999776482582,19
D0040_seed7_default_unitbox,7,continuous_baseline,total,left,whole,-0.06556909641650432,-0.0011176481115140078,0.06556909641650432,-0.0011176481115140078,0.00989999994635582,34
