case,seed,variant,bc_treatment,energy_conjugate_reaction_N,top_sigma_integral_reaction_N,bottom_sigma_integral_reaction_N,top_constrained_dof_reaction_N,bottom_constrained_dof_reaction_N,top_sigma_minus_energy_conjugate_N,top_sigma_to_energy_conjugate_ratio,all_boundary_vertical_residual_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_to_top_ratio,internal_cut_below_to_top_ratio,crack_band_interface_force_N
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,original_top_bottom_bc,0.00796929081143486,0.007959751516285682,-0.008036556645184876,0.00796929081143486,-0.007969290811139068,-9.539295149178784e-06,0.9988029932179798,-0.0004838029588845865,0.007969202148763338,0.007972338344815179,1.001187302450123,1.0015813092285286,0.0189392299098436
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,minimal_rigid_body_bc,0.00791983333057458,0.005637371586381216,-0.005759819531971789,0.00791983333057458,-0.007919833330706193,-0.0022824617441933636,0.7118043210099003,-0.00024978880376113396,0.00789552757675555,0.007920203578633763,1.4005689452562604,1.4049461628123685,0.01984461866679037
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,original_top_bottom_bc,-1.713039432527097e-14,-2.498043896949281e-14,0.0,-1.713039432527097e-14,0.0,-7.85004464422184e-15,1.4582524193644133,-2.804458704601607e-14,-2.7230370403971534e-14,0.0,1.0900677300837842,-0.0,3.778001377806808e-14
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,minimal_rigid_body_bc,8.847089727481716e-14,7.218821447237771e-14,0.0,8.847089727481716e-14,0.0,-1.6282682802439452e-14,0.8159543612193674,2.1934224335144782e-13,-9.28686018210484e-15,0.0,-0.12864787209355882,0.0,7.855707080577795e-14
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,-1.713039432527097e-14,-2.498043896949281e-14,0.0,-1.713039432527097e-14,0.0,-7.85004464422184e-15,1.4582524193644133,-2.804458704601607e-14,-2.7230370403971534e-14,0.0,1.0900677300837842,-0.0,3.778001377806808e-14
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,8.847089727481716e-14,7.218821447237771e-14,0.0,8.847089727481716e-14,0.0,-1.6282682802439452e-14,0.8159543612193674,2.1934224335144782e-13,-9.28686018210484e-15,0.0,-0.12864787209355882,0.0,7.855707080577795e-14
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,2.1098574276567916e-13,1.995548284189864e-13,0.0,2.1098574276567916e-13,0.0,-1.1430914346692763e-14,0.9458213896500678,1.8946898289208955e-13,-2.8190384560427957e-13,0.0,-1.4126636164993849,0.0,4.2284098345109624e-14
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,-2.2421300927000232e-13,-1.8819530432295734e-13,0.0,-2.2421300927000232e-13,0.0,3.6017704947044977e-14,0.8393594329592551,-5.184015950272089e-13,-8.470091720954332e-14,0.0,0.4500692379879476,-0.0,3.6092802600119043e-14
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,original_top_bottom_bc,0.007469936758453541,0.007461224731703281,-0.007535905582599472,0.007469936758453541,-0.007469936758476299,-8.712026750260123e-06,0.9988337214849374,-0.0004474718229867296,0.007419686434912778,0.007480188478878416,0.9944327776894316,1.0025416399930371,0.019229060351005564
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,minimal_rigid_body_bc,0.00742688396704631,0.005276001998295138,-0.0054042193126289115,0.00742688396704631,-0.007426883967747582,-0.0021508819687511716,0.7103924097515445,-0.00032314732856602527,0.007308597017855723,0.007448353217405802,1.3852528903926473,1.4117419250054544,0.020324346276889633
