case,seed,variant,subdomain,physical_boundary_fx_N,physical_boundary_fy_N,crack_band_interface_fx_N,crack_band_interface_fy_N,transition_interface_fx_N,transition_interface_fy_N,net_force_residual_x_N,net_force_residual_y_N,net_force_residual_magnitude_N,net_moment_residual_Nmm,subdomain_centroid_x,subdomain_centroid_y,physical_boundary_force_magnitude_sum_N,crack_band_interface_force_magnitude_sum_N,transition_interface_force_magnitude_sum_N,mechanically_separated_by_low_crack_interface,bc_treatment
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,upper,6.647081802390297e-05,0.007885483026046443,-0.00018056159510820356,-0.008228334630013288,0.0001562768747281383,-0.005820581557224632,4.2186097643837764e-05,-0.006163433161191477,0.006163577532513822,-1.4456365846854242e-05,0.00496690127614534,0.006453835838762299,0.008756766203093578,0.00926513508977207,0.02531218130448739,False,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,lower,0.000141404543293856,-0.008369285984931031,5.178942272641166e-05,0.008694787749898791,0.00010693358497342224,0.004641277461758673,0.00030012755099369004,0.004966779226726431,0.004975838867357612,1.3380737230345948e-05,0.005115917547832391,0.0036217804302700225,0.009514206734426172,0.00967409482007153,0.02282657983574862,False,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,whole,0.00020787536131775886,-0.0004838029588845865,,,,,0.00020787536131775886,-0.0004838029588845865,0.0005265714280783468,,,,,,,,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,upper,0.0018583835775190785,0.016947326409511913,-0.00021776937268291283,-0.008157426325741726,0.00012629373015096202,-0.005789738964142627,0.0017669079349871264,0.00300016111962755,0.003481799878575061,1.5880318308131774e-06,0.00496690127614534,0.006453835838762299,0.023255127846516545,0.00984109694151422,0.025195715799688094,False,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,lower,0.0018068283649374255,-0.017197115213273044,0.00010094317097001133,0.008631685394774118,0.00010944808868296567,0.004606694748055181,0.002017219624590403,-0.003958735070443748,0.004443057322586995,-1.0375039282739098e-06,0.005115917547832391,0.0036217804302700225,0.023241312798614095,0.010003521725276162,0.02270806014304543,False,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,whole,0.003665211942456505,-0.00024978880376113396,,,,,0.003665211942456505,-0.00024978880376113396,0.0036737137925551854,,,,,,,,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,upper,6.063517928066574e-14,-2.804458704601605e-14,2.459797130783037e-15,2.7228571432764446e-15,0.0,0.0,6.309497641144882e-14,-2.5321729902739617e-14,6.798651376286757e-14,1.0665331934174859e-15,0.00496690127614534,0.006453835838762299,4.560473582810856e-13,3.778001377806808e-14,0.0,False,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005115917547832391,0.0036217804302700225,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,whole,6.063517928066575e-14,-2.804458704601607e-14,,,,,6.063517928066575e-14,-2.804458704601607e-14,6.680661515883027e-14,,,,,,,,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,upper,1.6533574702210014e-13,2.193422433514478e-13,-1.467471623140571e-15,6.728845351296281e-15,0.0,0.0,1.6386827539895953e-13,2.26071088702744e-13,2.7921487931246277e-13,1.1899254649115727e-15,0.00496690127614534,0.006453835838762299,6.756567919319364e-13,7.855707080577795e-14,0.0,False,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005115917547832391,0.0036217804302700225,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,whole,1.6533574702210014e-13,2.1934224335144782e-13,,,,,1.6533574702210014e-13,2.1934224335144782e-13,2.7467604366198674e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,upper,6.063517928066574e-14,-2.804458704601605e-14,2.459797130783037e-15,2.7228571432764446e-15,0.0,0.0,6.309497641144882e-14,-2.5321729902739617e-14,6.798651376286757e-14,1.0665331934174859e-15,0.00496690127614534,0.006453835838762299,4.560473582810856e-13,3.778001377806808e-14,0.0,False,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005115917547832391,0.0036217804302700225,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,whole,6.063517928066575e-14,-2.804458704601607e-14,,,,,6.063517928066575e-14,-2.804458704601607e-14,6.680661515883027e-14,,,,,,,,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,upper,1.6533574702210014e-13,2.193422433514478e-13,-1.467471623140571e-15,6.728845351296281e-15,0.0,0.0,1.6386827539895953e-13,2.26071088702744e-13,2.7921487931246277e-13,1.1899254649115727e-15,0.00496690127614534,0.006453835838762299,6.756567919319364e-13,7.855707080577795e-14,0.0,False,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005115917547832391,0.0036217804302700225,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,whole,1.6533574702210014e-13,2.1934224335144782e-13,,,,,1.6533574702210014e-13,2.1934224335144782e-13,2.7467604366198674e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,upper,6.634343789710973e-14,1.8946898289208957e-13,-2.8689698126987284e-15,5.497485022617537e-16,-5.404364602604371e-16,-7.767614755788694e-17,6.293403162415063e-14,1.8994105524679342e-13,2.000957191064692e-13,1.4802844598256833e-15,0.00496690127614534,0.006453835838762299,7.886154934059895e-13,4.2284098345109624e-14,6.288098180430333e-15,False,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005115917547832391,0.0036217804302700225,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,whole,6.634343789710974e-14,1.8946898289208955e-13,,,,,6.634343789710974e-14,1.8946898289208955e-13,2.0074846756618237e-13,,,,,,,,original_top_bottom_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,upper,3.904338071316017e-13,-5.184015950272088e-13,2.014762133740852e-15,-5.180645517329124e-15,-8.017620549304954e-16,-2.0378487948834365e-16,3.916468072104124e-13,-5.237860254240268e-13,6.540176007017007e-13,2.630448518581657e-15,0.00496690127614534,0.006453835838762299,1.1649293559304617e-12,3.6092802600119043e-14,6.347490886313598e-15,False,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005115917547832391,0.0036217804302700225,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,whole,3.9043380713160167e-13,-5.184015950272089e-13,,,,,3.9043380713160167e-13,-5.184015950272089e-13,6.489828745645227e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,upper,-7.611950564618483e-05,0.0073888380943202825,5.420828449043045e-05,-0.009256296898458772,0.00023743897948196157,-0.0052916125682588985,0.00021552775832620695,-0.007159071372397389,0.007162314928128263,-1.5442398916374203e-05,0.0050973877918945865,0.00639853802451166,0.008281335914488888,0.010325198581952558,0.0221646655631301,False,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,lower,0.00027913471276086124,-0.007836309917307008,-0.00010236923557873224,0.00789236226673766,-2.6749613766070588e-05,0.005262942934591636,0.00015001586341605855,0.005318995284022288,0.005321110371973861,1.355123767895339e-05,0.004986262455370623,0.003567179923863588,0.008878754698781868,0.008903861769052996,0.023096478477139453,False,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,whole,0.00020301520711467637,-0.0004474718229867296,,,,,0.00020301520711467637,-0.0004474718229867296,0.0004913717601642182,,,,,,,,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,upper,0.0016236036398586903,0.015825357375186682,0.00013242048458967222,-0.009190313093952763,0.0002273412492658579,-0.00526104188343403,0.0019833653737142197,0.0013740023977998899,0.002412803513510454,-1.3679025383591017e-06,0.0050973877918945865,0.00639853802451166,0.021806177092215544,0.010861611792771527,0.022082468962058042,False,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,lower,0.001861461813429774,-0.016148504703752717,-9.531925157251411e-05,0.00778168745918486,-5.44684096265567e-05,0.00524376715267443,0.0017116741522307027,-0.0031230500918934334,0.0035613579263941274,-1.5633810551439953e-06,0.004986262455370623,0.003567179923863588,0.02180862053004226,0.00946273448411811,0.023001280219656407,False,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,whole,0.0034850654532884665,-0.00032314732856602527,,,,,0.0034850654532884665,-0.00032314732856602527,0.0035000150584910497,,,,,,,,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,upper,2.2724914336823717e-15,-2.5546591120276525e-14,4.662684233912565e-15,5.0415211875860396e-15,0.0,0.0,6.935175667594938e-15,-2.050506993269049e-14,2.164612100319428e-14,5.142611954343258e-16,0.0050973877918945865,0.00639853802451166,3.5169754879209604e-13,4.9949048785403743e-14,0.0,False,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986262455370623,0.003567179923863588,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,whole,2.2724914336823653e-15,-2.5546591120276515e-14,,,,,2.2724914336823653e-15,-2.5546591120276515e-14,2.5647466447638655e-14,,,,,,,,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,upper,5.415073828045532e-15,-4.1876492559392663e-13,-5.288747836512379e-15,4.3014806160622203e-16,0.0,0.0,1.2632599153315408e-16,-4.1833477753232047e-13,4.183347966058671e-13,-4.575542142750908e-17,0.0050973877918945865,0.00639853802451166,7.607659754316188e-13,6.042523841945686e-14,0.0,False,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986262455370623,0.003567179923863588,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,whole,5.415073828045533e-15,-4.1876492559392663e-13,,,,,5.415073828045533e-15,-4.1876492559392663e-13,4.1879993544919516e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,upper,2.2724914336823717e-15,-2.5546591120276525e-14,4.662684233912565e-15,5.0415211875860396e-15,0.0,0.0,6.935175667594938e-15,-2.050506993269049e-14,2.164612100319428e-14,5.142611954343258e-16,0.0050973877918945865,0.00639853802451166,3.5169754879209604e-13,4.9949048785403743e-14,0.0,False,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986262455370623,0.003567179923863588,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,whole,2.2724914336823653e-15,-2.5546591120276515e-14,,,,,2.2724914336823653e-15,-2.5546591120276515e-14,2.5647466447638655e-14,,,,,,,,original_top_bottom_bc
