case,seed,variant,bc_treatment,topology,stiffness_treatment,delta_mm,node_dof_count,scalar_dof_count,active_element_count,zero_stiffness_element_count,component_count,prescribed_dof_count,delta_control_dof_count,auto_anchor_count,solve_status,elastic_energy_Nmm_proxy,top_sigma_integral_reaction_N,bottom_sigma_integral_reaction_N,top_constrained_dof_reaction_N,bottom_constrained_dof_reaction_N,energy_conjugate_reaction_N,all_boundary_force_residual_x_N,all_boundary_force_residual_y_N,all_boundary_force_residual_magnitude_N,implementation_note
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,original_top_bottom_bc,continuous,current_split,0.0001999999803956598,2786,5572,5411,0,1,60,20,0,solved,7.969290030349625e-07,0.007959751516285682,-0.008036556645184876,0.00796929081143486,-0.007969290811139068,0.00796929081143486,0.00020787536131775886,-0.0004838029588845865,0.0005265714280783468,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,minimal_rigid_body_bc,continuous,current_split,0.0001999999803956598,2786,5572,5411,0,1,5,2,5,solved,7.919832554620169e-07,0.005637371586381216,-0.005759819531971789,0.00791983333057458,-0.007919833330706193,0.00791983333057458,0.003665211942456505,-0.00024978880376113396,0.0036737137925551854,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,original_top_bottom_bc,continuous,crack_band_void,0.0001999999803956598,2754,5508,5246,165,2,61,20,1,solved,1.9482708789186906e-17,-2.498043896949281e-14,0.0,-1.713039432527097e-14,0.0,-1.713039432527097e-14,6.063517928066575e-14,-2.804458704601607e-14,6.680661515883027e-14,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,minimal_rigid_body_bc,continuous,crack_band_void,0.0001999999803956598,2754,5508,5246,165,2,6,2,6,solved,2.418626110841709e-17,7.218821447237771e-14,0.0,8.847089727481716e-14,0.0,8.847089727481716e-14,1.6533574702210014e-13,2.1934224335144782e-13,2.7467604366198674e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,piecewise_upper_lower,crack_band_void,0.0001999999803956598,2754,5508,5246,165,2,61,20,1,solved,1.9482708789186906e-17,-2.498043896949281e-14,0.0,-1.713039432527097e-14,0.0,-1.713039432527097e-14,6.063517928066575e-14,-2.804458704601607e-14,6.680661515883027e-14,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,piecewise_upper_lower,crack_band_void,0.0001999999803956598,2754,5508,5246,165,2,6,2,6,solved,2.418626110841709e-17,7.218821447237771e-14,0.0,8.847089727481716e-14,0.0,8.847089727481716e-14,1.6533574702210014e-13,2.1934224335144782e-13,2.7467604366198674e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,piecewise_upper_lower,current_split,0.0001999999803956598,2842,5684,5411,0,2,61,20,1,solved,1.640824844979441e-17,1.995548284189864e-13,0.0,2.1098574276567916e-13,0.0,2.1098574276567916e-13,6.634343789710974e-14,1.8946898289208955e-13,2.0074846756618237e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,piecewise_upper_lower,current_split,0.0001999999803956598,2842,5684,5411,0,2,6,2,6,solved,2.4328758950569427e-17,-1.8819530432295734e-13,0.0,-2.2421300927000232e-13,0.0,-2.2421300927000232e-13,3.9043380713160167e-13,-5.184015950272089e-13,6.489828745645227e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,original_top_bottom_bc,continuous,current_split,0.0001999999803956598,2786,5572,5411,0,1,60,20,0,solved,7.469936026159929e-07,0.007461224731703281,-0.007535905582599472,0.007469936758453541,-0.007469936758476299,0.007469936758453541,0.00020301520711467637,-0.0004474718229867296,0.0004913717601642182,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,minimal_rigid_body_bc,continuous,current_split,0.0001999999803956598,2786,5572,5411,0,1,5,2,5,solved,7.426883239352352e-07,0.005276001998295138,-0.0054042193126289115,0.00742688396704631,-0.007426883967747582,0.00742688396704631,0.0034850654532884665,-0.00032314732856602527,0.0035000150584910497,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
