step,Delta_s,checkpoint,checkpoint_exists_local,reaction_metric_status,is_energy_conjugate,reaction_N_energy,alpha0p8_through_crack
0,1e-06,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,True,energy_conjugate,True,0.0049372074499842,False
1,3e-06,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,True,energy_conjugate,True,0.0164080483955331,False
2,5e-06,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,True,energy_conjugate,True,0.0283190220216056,False
3,7e-06,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,True,energy_conjugate,True,0.0402047153329476,False
4,1e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,True,energy_conjugate,True,0.0579610568820498,False
5,1.2e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,True,energy_conjugate,True,0.0697562500135973,False
6,1.5e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,True,energy_conjugate,True,0.087407672253903,False
7,1.7e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,True,energy_conjugate,True,0.0990707630990073,False
8,2e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,True,energy_conjugate,True,0.1164563145721331,False
9,2.2e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,True,energy_conjugate,True,0.1279345742659643,False
10,2.5e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0010.pt,True,energy_conjugate,True,0.1450211711926385,False
11,2.7e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0011.pt,True,energy_conjugate,True,0.1562394463689997,False
12,3e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0012.pt,True,energy_conjugate,True,0.1730065996525809,False
13,3.2e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0013.pt,True,energy_conjugate,True,0.1836774026742205,False
14,3.5e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0014.pt,True,energy_conjugate,True,0.199937101569958,False
15,3.7e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0015.pt,True,energy_conjugate,True,0.2103413571603596,False
16,4e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0016.pt,True,energy_conjugate,True,0.226069416385144,False
17,4.2e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0017.pt,True,energy_conjugate,True,0.2357595367357134,False
18,4.5e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0018.pt,True,energy_conjugate,True,0.2506029268261045,False
19,4.7e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0019.pt,True,energy_conjugate,True,0.2593893441371619,False
20,5e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0030_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0020.pt,True,energy_conjugate,True,0.2728560357354581,False
