step,Delta_s,alpha_min,alpha_mean,alpha_max,max_alpha_x,max_alpha_y,HI_max,HII_max,HII_over_HI_peak_ratio,HII_active,He_current_max,max_He_current_x,max_He_current_y,mechanics_drive_max,mechanics_drive_max_x,mechanics_drive_max_y,notch_tip_alpha_max,notch_tip_He_current_max,notch_tip_mechanics_drive_max,bottom_right_alpha_max,bottom_right_He_current_max,bottom_right_mechanics_drive_max,drive_location_classification
0,1e-06,-0.0003178826300427,-8.403429092140868e-05,0.0001561676035635,0.0098801748827099,0.0002885742287617,3.381031547178281e-06,2.130196207872359e-06,0.6300432806224965,True,5.524949301616289e-06,0.0050210845656692,0.0049986438825726,5.524949301616289e-06,0.0050210845656692,0.0049986438825726,-3.777011443162337e-05,5.524949301616289e-06,5.524949301616289e-06,0.0001561676035635,9.25720655686746e-08,9.25720655686746e-08,notch-dominated
1,3e-06,-0.0003451971278991,-8.885793795343488e-05,7.720748544670641e-05,0.0098801748827099,0.0002885742287617,3.464866313152015e-05,2.1877753169974312e-05,0.631416949246505,True,5.6667340686544776e-05,0.0050210845656692,0.0049986438825726,5.6667340686544776e-05,0.0050210845656692,0.0049986438825726,-1.1881909813382665e-05,5.6667340686544776e-05,5.6667340686544776e-05,7.720748544670641e-05,1.1120019962618244e-06,1.1120019962618244e-06,notch-dominated
2,5e-06,-0.0002485634759068,-4.7216497478075325e-05,0.002833982463926,0.0050210845656692,0.0049986438825726,0.0001010892374324,6.384009611792862e-05,0.6315221851447789,True,0.0001653405488468,0.0050210845656692,0.0049986438825726,0.0001653405488468,0.0050210845656692,0.0049986438825726,0.002833982463926,0.0001653405488468,0.0001653405488468,0.0003005667531397,3.330862455186434e-06,3.330862455186434e-06,notch-dominated
3,7e-06,-0.0002323281223652,-1.9422664990997877e-05,0.0046799285337328,0.0050444970838725,0.0049571054987609,0.0002037441008724,0.0001286648330278,0.6315021268192675,True,0.0003332376945763,0.0050210845656692,0.0049986438825726,0.0003332376945763,0.0050210845656692,0.0049986438825726,0.0046799285337328,0.0003332376945763,0.0003332376945763,0.0005587388877756,6.726821538904915e-06,6.726821538904915e-06,notch-dominated
4,1e-05,-0.0002275670703966,7.114404434105381e-05,0.0077266497537493,0.0050444970838725,0.0049571054987609,0.0004227881727274,0.0002670183021109,0.6315652124049947,True,0.0006915264530107,0.0050210845656692,0.0049986438825726,0.0006915264530107,0.0050210845656692,0.0049986438825726,0.0077266497537493,0.0006915264530107,0.0006915264530107,0.0012667782139033,1.3998153917782474e-05,1.3998153917782474e-05,notch-dominated
5,1.2e-05,-0.0001800917088985,0.0002088029577862,0.0112491250038146,0.0050444970838725,0.0049571054987609,0.0006145004299469,0.0003880997246596,0.6315694924625785,True,0.0010051000863313,0.0050210845656692,0.0049986438825726,0.0010051000863313,0.0050210845656692,0.0049986438825726,0.0112491250038146,0.0010051000863313,0.0010051000863313,0.0014651166275143,2.0336558009148572e-05,2.0336558009148572e-05,notch-dominated
6,1.5e-05,-0.0002871699398383,0.0005387077108025,0.0162294320762157,0.0050444970838725,0.0049571054987609,0.0009595904266461,0.0006060514133423,0.6315730091853174,True,0.0015695455949753,0.0050210845656692,0.0049986438825726,0.0015695455949753,0.0050210845656692,0.0049986438825726,0.0162294320762157,0.0015695455949753,0.0015695455949753,0.0028896923176944,3.2066476705949754e-05,3.2066476705949754e-05,notch-dominated
7,1.7e-05,-0.0003240574442315,0.0007611972396261,0.0215531885623931,0.0050444970838725,0.0049571054987609,0.0012333365157246,0.0007789434748701,0.6315741607735188,True,0.0020172973163425,0.0050210845656692,0.0049986438825726,0.0020172973163425,0.0050210845656692,0.0049986438825726,0.0215531885623931,0.0020172973163425,0.0020172973163425,0.0042589209042489,4.126209387322888e-05,4.126209387322888e-05,notch-dominated
8,2e-05,-0.0003905477642547,0.0012650316348299,0.0324371680617332,0.0050444970838725,0.0049571054987609,0.0017537504900246,0.0011076139053329,0.6315686932850769,True,0.0028684989083558,0.0050210845656692,0.0049986438825726,0.0028684989083558,0.0050210845656692,0.0049986438825726,0.0324371680617332,0.0028684989083558,0.0028684989083558,0.0057502193376421,5.745210364693776e-05,5.745210364693776e-05,notch-dominated
9,2.2e-05,-0.0007435969891957,0.0018439592095091,0.0336485132575035,0.0050444970838725,0.0049571054987609,0.0021233879961073,0.0013410815736278,0.6315763186409348,True,0.0034731079358607,0.0050210845656692,0.0049986438825726,0.0034731079358607,0.0050210845656692,0.0049986438825726,0.0336485132575035,0.0034731079358607,0.0034731079358607,0.0067636175081133,6.954649143153802e-05,6.954649143153802e-05,notch-dominated
