logical_output,type,source_path_local,source_exists,package_path,package_exists,note
shear_stress_strain_seed23.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\stress_strain_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/shear_stress_strain_seed23.png,True,required stronger shear figure
shear_reaction_strain_seed23.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\reaction_strain_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/shear_reaction_strain_seed23.png,True,required stronger shear figure
final_fields_panel_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_fields_panel_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_fields_panel_seed23_shear.png,True,required stronger shear figure
final_alpha_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_alpha_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_alpha_seed23_shear.png,True,required stronger shear figure
final_u_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_u_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_u_seed23_shear.png,True,required stronger shear figure
final_v_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_v_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_v_seed23_shear.png,True,required stronger shear figure
final_HI_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_HI_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_HI_seed23_shear.png,True,required stronger shear figure
final_HII_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_HII_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_HII_seed23_shear.png,True,required stronger shear figure
final_mechanics_drive_seed23_shear.png,figure,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\figures\final_mechanics_drive_seed23_shear.png,True,examples/TM_comsol_no_thermal_micro/runs/20260615_existing_geometry_shear_stronger_training/figures/final_mechanics_drive_seed23_shear.png,True,required stronger shear figure
reaction_by_step.csv,table,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\curves\reaction_by_step.csv,True,,True,source table copied or summarized in package tables
stress_strain_by_step.csv,table,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\curves\stress_strain_by_step.csv,True,,True,source table copied or summarized in package tables
reaction_metric_availability.csv,table,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\results\seed23_S0030_shear\curves\reaction_metric_availability.csv,True,,True,source table copied or summarized in package tables
