step,Delta_s,top_u_min,top_u_mean,top_u_max,top_v_min,top_v_mean,top_v_max,top_v_abs_max,top_v_absmax_over_Delta_s,top_v_identically_zero,top_v_drift_classification,diagnostic_note
0,1e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,-4.3687379047696606e-07,2.74106213282721e-07,1.0255153028992936e-06,1.0255153028992936e-06,1.0255153028992936,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
1,3e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,-1.3954438600194408e-06,7.495743261642929e-07,3.019353243871592e-06,3.019353243871592e-06,1.0064510812905307,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
2,5e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,-2.3852983304095687e-06,1.2116964853703394e-06,5.015594979340676e-06,5.015594979340676e-06,1.0031189958681352,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
3,7e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,-3.37860160470882e-06,1.677661430221633e-06,7.021049441391369e-06,7.021049441391369e-06,1.0030070630559098,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
4,1e-05,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,-4.869832991971634e-06,2.372129301875248e-06,1.0009436664404348e-05,1.0009436664404348e-05,1.0009436664404348,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
5,1.2e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,-5.86318492423743e-06,2.845611788870883e-06,1.2026842341583688e-05,1.2026842341583688e-05,1.0022368617986406,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
6,1.5e-05,1.4999999621068127e-05,1.500000053056283e-05,1.4999999621068127e-05,-7.358890798059292e-06,3.5500233934726566e-06,1.5045547115732916e-05,1.5045547115732916e-05,1.0030364743821945,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
7,1.7e-05,1.700000029813964e-05,1.7000002117129043e-05,1.700000029813964e-05,-8.354273631994147e-06,4.020577307528583e-06,1.7047013898263685e-05,1.7047013898263685e-05,1.0027655234272757,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
8,2e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,-9.841390237852464e-06,4.728584826807492e-06,2.006043359870091e-05,2.006043359870091e-05,1.0030216799350455,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
9,2.2e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,-1.0828829545062035e-05,5.205972229305189e-06,2.2077081666793678e-05,2.2077081666793678e-05,1.0035037121269854,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
10,2.5e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,-1.2326278920227196e-05,5.917919224884827e-06,2.508481702534482e-05,2.508481702534482e-05,1.0033926810137928,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
11,2.7e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,-1.330504619545536e-05,6.390257567545632e-06,2.708839019760489e-05,2.708839019760489e-05,1.0032737110224035,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
12,3e-05,2.999999924213625e-05,3.000000106112566e-05,2.999999924213625e-05,-1.4797053154325113e-05,7.112048024282558e-06,3.012524757650681e-05,3.012524757650681e-05,1.0041749192168936,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
13,3.2e-05,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,-1.5784406059538014e-05,7.587020718347048e-06,3.21300103678368e-05,3.21300103678368e-05,1.0040628239949,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
14,3.5e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,-1.7254989870707504e-05,8.335904567502439e-06,3.519821257214062e-05,3.519821257214062e-05,1.0056632163468748,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
15,3.7e-05,3.700000161188655e-05,3.700000161188655e-05,3.700000161188655e-05,-1.8240731151308864e-05,8.832331332087051e-06,3.723509144037962e-05,3.723509144037962e-05,1.0063538227129627,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
16,4e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,-1.9717059331014752e-05,9.593436516297515e-06,4.032296055811457e-05,4.032296055811457e-05,1.0080740139528643,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
17,4.2e-05,4.199999966658652e-05,4.199999966658652e-05,4.199999966658652e-05,-2.0692352336482145e-05,1.009364041237859e-05,4.2364703404018655e-05,4.2364703404018655e-05,1.0086834143813965,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
18,4.5e-05,4.5000000682193786e-05,4.500000432017259e-05,4.5000000682193786e-05,-2.2146252376842316e-05,1.087059990823036e-05,4.545232150121592e-05,4.545232150121592e-05,1.0100515889159092,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
19,4.7e-05,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,-2.3101434635464105e-05,1.1407806596253067e-05,4.754227120429277e-05,4.754227120429277e-05,1.0115376851977185,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
20,5e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,-2.455417779856361e-05,1.22033179650316e-05,5.065076402388513e-05,5.065076402388513e-05,1.0130152804777026,False,finite_high_monitor,top v remains finite and nonzero; final ratio is high enough to monitor but no blow-up was observed
