step,Delta_s,loss_total,loss_log10,elastic_energy,fracture_energy,mechanics_current_energy,phase_history_elastic_energy,phase_history_energy,alpha_step_change_mean,alpha_step_change_max
0,1e-06,2.4029147329337488e-12,-11.619261639796754,2.3955347254467348e-12,7.380007487013587e-15,2.3955347254467348e-12,1.6241801740340957e-12,1.6315603382222046e-12,8.416584751103073e-05,0.0003178826300427
1,3e-06,2.3645998792568164e-11,-10.626242336927062,2.3637187693270608e-11,8.811099297552881e-15,2.3637026363987342e-11,2.045660515981318e-11,2.0465417555071138e-11,4.491512299864553e-05,0.0002792763116303
2,5e-06,6.835083652293275e-11,-10.165256165879326,6.833583698906409e-11,1.499953386865406e-14,6.833356103186361e-11,6.146598507950074e-11,6.148098002922707e-11,5.193361357669346e-05,0.0028654811903834
3,7e-06,1.3688243911963308e-10,-9.863652264668303,1.368377355870365e-10,4.4703532596588463e-14,1.3683149058252295e-10,1.2493665824120368e-10,1.2498135859573267e-10,5.194653567741625e-05,0.0025269037578254
4,1e-05,2.840573020535366e-10,-9.546594042152268,2.838754509237873e-10,1.818511297492845e-13,2.8386368255972627e-10,2.6193042179656345e-10,2.6211227632799705e-10,0.0001289443025598,0.0032888352870941
5,1.2e-05,4.117319578268892e-10,-9.38538542260848,4.11314482473557e-10,4.174753533321696e-13,4.112901685893177e-10,3.811266857667306e-10,3.8154412962398965e-10,0.0001463493535993,0.0035224752500653
6,1.5e-05,6.475333635177354e-10,-9.188737850075496,6.463128920941584e-10,1.220471423576952e-12,6.46262376946538e-10,6.013096687240703e-10,6.025300813838895e-10,0.0003865750040858,0.0055195493623614
7,1.7e-05,8.33970191516098e-10,-9.078849472013852,8.318621347314091e-10,2.108056784688728e-12,8.317686539527357e-10,7.75467079439096e-10,7.77575115407103e-10,0.0002866502909455,0.005459020845592
8,2e-05,1.1569414766487982e-09,-8.936688609078775,1.1524435850063242e-09,4.497891642474272e-12,1.1522955922771414e-09,1.0767887692608722e-09,1.0812866158005363e-09,0.0005386731936596,0.01088397949934
9,2.2e-05,1.4018319417601064e-09,-8.853304048524175,1.3949389421341607e-09,6.892999625945917e-12,1.3946933608011134e-09,1.3051276726017136e-09,1.3120207142947036e-09,0.0008163579041138,0.0061451401561498
10,2.5e-05,1.8109578099265167e-09,-8.742091667372048,1.7984929101544367e-09,1.2464899772079983e-11,1.7982331179666742e-09,1.6849744932656563e-09,1.6974393002300303e-09,0.0008965642191469,0.016840361058712
11,2.7e-05,2.113270280990065e-09,-8.675044954421491,2.096052442723817e-09,1.721783826624801e-11,2.095577933403092e-09,1.965609008891533e-09,1.9828267916466302e-09,0.0007970863953232,0.012809794396162
12,3e-05,2.6067834679038837e-09,-8.583895041942544,2.579304547722927e-09,2.7478920180956656e-11,2.578715241341456e-09,2.4217303717932732e-09,2.449209279831166e-09,0.0009903403697535,0.0283719003200531
13,3.2e-05,2.963263644878422e-09,-8.52822970713549,2.926777487033405e-09,3.648615784501708e-11,2.9260409650788692e-09,2.749651173417078e-09,2.786137542898359e-09,0.000834786624182,0.0116904377937316
14,3.5e-05,3.539682512376796e-09,-8.451035689755646,3.484788457797094e-09,5.4894054579701645e-11,3.483729749120812e-09,3.276987792233399e-09,3.33188188150757e-09,0.0011665298370644,0.0300184488296508
15,3.7e-05,3.951157817594364e-09,-8.403275623332586,3.882584920233967e-09,6.857289736039718e-11,3.881248211712318e-09,3.654037072919891e-09,3.722609998035864e-09,0.0008869510493241,0.0164237916469573
16,4e-05,4.606043768617951e-09,-8.336671939498373,4.508484252596645e-09,9.755951602130608e-11,4.507104023332431e-09,4.2461651972303124e-09,4.343724047117803e-09,0.001278682029806,0.0375585258007049
17,4.2e-05,5.069117514633348e-09,-8.295067640643785,4.947868781357556e-09,1.2124873327579166e-10,4.946234533065308e-09,4.663006869520814e-09,4.784255214218547e-09,0.0009997679153457,0.0293486565351486
18,4.5e-05,5.8011547787728546e-09,-8.236485547104333,5.635177657836721e-09,1.6597712093613382e-10,5.6326219244340345e-09,5.315799356253592e-09,5.4817763661674235e-09,0.0014839553041383,0.0464557856321334
19,4.7e-05,6.313788186718128e-09,-8.19970999179485,6.1104037385462115e-09,2.0338444817191714e-10,6.107227612517363e-09,5.768391986293864e-09,5.971776406710205e-09,0.001118661952205,0.0383224040269851
20,5e-05,7.113058836383246e-09,-8.147943598976703,6.8353243065644165e-09,2.7773452981882935e-10,6.831775145599295e-09,6.4571601399165965e-09,6.734895308113664e-09,0.0016832068795338,0.0670268535614013
