group,case,seed,run_dir,step,Delta,exact_autograd_available,R_energy_exact_N,method,reason
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,0,1e-06,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,1,5e-06,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,2,1e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,3,1.5e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,4,2e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,5,2.5e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,6,3e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,7,3.5e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,8,4e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,9,4.5e-05,False,,not_computed,no checkpoint/state_dict/model_settings available for actual PINN reconstruction
