group,case,seed,run_dir,step,Delta,strain,mechanics_current_energy_proxy,history_elastic_energy_proxy,fracture_energy_proxy,legacy_top_sigma_integral_N,diagnostics_reaction_N_tm_eff,saved_field_virtual_work_proxy_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,crack_band_interface_force_N,crack_band_interface_edge_count,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,top_boundary_outward_fx_N,top_boundary_outward_fy_N,bottom_boundary_outward_fx_N,bottom_sigma_integral_outward_N,left_boundary_outward_fx_N,left_boundary_outward_fy_N,right_boundary_outward_fx_N,right_boundary_outward_fy_N,whole_boundary_residual_x_N,whole_boundary_residual_y_N,whole_boundary_residual_magnitude_N,saved_field_energy_fd_proxy_N,saved_field_history_energy_fd_proxy_N
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,0,1e-06,9.999999999999999e-05,3.601863236485423e-11,3.601863236485423e-11,1.2220206359406058e-15,0.03724019689017172,0.0372401997447013,0.054218956884240346,0.04414107994208334,0.04795761174210231,145,155,0.0,0,False,0,,,,0.0,0.000477155016008371,0.03724019689017172,0.00015145869195600187,-0.053045359845680325,-0.0003130546789052261,-0.0005711656686364337,-0.028420226558419356,-0.0015793277347070128,-0.02810466752936021,-0.01795565635885206,0.03335083105730738,0.2529407527755034,0.25294075294133245
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,1,5e-06,0.0005,1.047781643466868e-09,1.0477816441301843e-09,1.7352510198614273e-12,0.19506772747907813,0.1950677335262298,0.2691335371272752,0.23119068765604972,0.2514436657005049,145,155,0.0,0,False,0,,,,0.0,0.0033974909012196726,0.19506772747907813,0.0047922350265129695,-0.26794937516951256,-0.0006159309829465058,-0.002087002225733048,0.13009229127051064,-0.003516501788970617,0.13766608621529677,-0.07848515170513809,0.1584672531850542,0.42058675928369954,0.42058677792823324
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,2,1e-05,0.001,4.198502980561592e-09,4.198503189939481e-09,4.454600460306163e-11,0.3810431370806624,0.3810431361198425,0.5298277181035735,0.44831331808005204,0.4890502980351815,145,155,0.0,0,False,0,,,,0.0,0.0053833602113675695,0.3810431370806624,0.005653525869700766,-0.5229988286707917,-0.005386642684080393,-0.0025630577248770933,0.2946444163281178,-0.006008275114277935,0.3002946597251057,-0.15052702442928434,0.3359096124598869,0.8199533457681762,0.819953602151375
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,3,1.5e-05,0.0015,9.247315101148629e-09,9.247317665643932e-09,2.299145187486273e-10,0.5324371788664786,0.5324371457099915,0.7674337640095772,0.6377780921383931,0.6986438599605163,145,155,0.0,0,False,0,,,,0.0,0.01029917968352476,0.5324371788664786,0.007411320283174625,-0.7531597085663827,-0.002023204704043817,-0.005184807935165325,0.4299361569623351,-0.008360206686685731,0.4456234522249907,-0.23426754432175512,0.503449643455494,1.158663281060197,1.1586650799814828
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,4,2e-05,0.002,1.5785135791163563e-08,1.578515398975431e-08,7.727337203725058e-10,0.6410798690604063,0.641079843044281,0.9621470715869966,0.7828049774787589,0.8665796303877022,145,155,0.0,0,False,0,,,,0.0,0.012863220311841148,0.6410798690604063,0.010632629939101055,-0.9418788183434593,-0.0017396579556224478,-0.0057825955411279426,0.48596849983254453,-0.010404746278835541,0.5077246921278643,-0.31698629110301657,0.5985521462191753,1.3338379899113004,1.3352057528920356
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,5,2.5e-05,0.0025,2.2585695000261637e-08,2.259937519456429e-08,2.4414483802992027e-09,0.6861076338200538,0.6861076354980469,0.9398889472767191,0.8613385304389891,0.9776605146054226,145,152,0.9876332531634728,6,False,7,0.005021084565669298,0.005142071284353733,0.0049947286024689674,0.00012098671868443489,0.015002509983942435,0.6861076338200538,0.007041151735334917,-1.0552527752024152,-0.003730119580988903,-0.006161988312530674,0.3889549954055981,-0.011811380135406734,0.40726853754388653,-0.3871185098302987,0.5618971456827017,1.3224565307411633,1.331389447763788
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,6,3e-05,0.003,2.9009701098575193e-08,2.9099048467392188e-08,5.042766028636881e-09,0.6936550439547586,0.6936549544334412,0.4658370625149415,0.8822949457890932,1.0474401912986282,146,160,2.964387175179493,13,False,22,0.005021084565669298,0.005522225983440876,0.005008518124337901,0.0005011414177715778,0.014488770410905863,0.6936550439547586,0.0008474967084008103,-1.11981841979705,-0.02372434807428665,-0.005589118372958661,0.18203446170751558,-0.012983039785234494,0.17364638075253563,-0.4447355340004844,0.4774335144825409,1.1702045918102364,1.1961606896744459
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,7,3.5e-05,0.0034999999999999996,3.428774091836399e-08,3.456098209130874e-08,8.575085560321367e-09,0.6877238004177538,0.6877238750457764,-0.7361010087978155,0.873560056444347,1.0575936202957898,148,156,5.992721630862713,27,False,40,0.005021084565669298,0.0061364322900772095,0.005027747119311243,0.0011153477244079113,0.011894768303944115,0.6877238004177538,-0.006874840122605632,-1.1406289871670159,-0.040626693988100836,-0.005009582990312711,-0.1520776112511175,-0.013423657844639187,-0.18768437705787985,-0.47133842758421396,0.507331586547855,0.8801741061312904,0.924469464430477
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,8,4e-05,0.004,3.781144215988809e-08,3.8343743111696954e-08,1.2775909237514663e-08,0.6701765399544242,0.6701765060424805,-2.9465785305114482,0.790476496966299,1.006513548468189,148,152,8.650079213178223,43,False,62,0.005021084565669298,0.006823498290032148,0.005042375200578282,0.0018024137243628502,0.012301296679160013,0.6701765399544242,-0.009758427316693248,-1.1406658125213314,-0.043745164401268424,0.0009707955654261761,-0.6317808321601048,-0.01416673688460361,-0.6729831271989065,-0.48368521388608476,0.8287687709044346,0.4927408603002015,0.5625931098569747
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,9,4.5e-05,0.0045000000000000005,3.921514952136602e-08,4.018691318987849e-08,1.7172602468919034e-08,0.6897196215662094,0.6897196173667908,-6.195500022566741,0.6963110132122111,0.9117010938480047,147,151,11.83956691596694,61,False,92,0.005021084565669298,0.00791241880506277,0.005051495153052004,0.0028913342393934727,0.004114541629362022,0.6897196215662094,-0.006564908335910645,-1.1409798633616433,-0.04844920145693196,0.0032318998997271455,-1.2092581292645534,-0.012001746384703324,-1.2601576974280342,-0.46003008828041003,1.3415010639244407,0.10614402993354248,0.21033971591893214
