group,case,seed,metric,initial_reaction_N,peak_abs_reaction_N,peak_step,peak_Delta,final_reaction_N,final_abs_reaction_N,post_peak_drop_fraction_abs,post_peak_drop_percent_abs,final_alpha0p8_through_crack
D0040,D0040_seed7_default_unitbox,7,legacy_top_sigma_integral_N,0.03724019689017172,0.9684229232080865,53,0.00019,0.9327040022643978,0.9327040022643978,0.03688359712238431,3.6883597122384306,True
D0040,D0040_seed7_default_unitbox,7,saved_field_energy_fd_proxy_N,0.2529407527755034,1.3338379899113004,4,2e-05,-0.09251807271732733,0.09251807271732733,0.9306376985682648,93.06376985682648,True
D0040,D0040_seed7_default_unitbox,7,saved_field_virtual_work_proxy_N,0.054218956884240346,346.6620089911002,54,0.0002,-346.6620089911002,346.6620089911002,0.0,0.0,True
D0040,D0040_seed7_default_unitbox,7,bottom_sigma_integral_outward_N,-0.053045359845680325,1.1435445206856414,10,4.7e-05,-1.1048648442171198,1.1048648442171198,0.03382437305137028,3.382437305137028,True
D0040,D0040_seed7_default_unitbox,7,internal_cut_force_above_crack_N,0.04414107994208334,0.8822949457890932,6,3e-05,0.5178872011877662,0.5178872011877662,0.41302259107402417,41.30225910740242,True
D0040,D0040_seed13_default_unitbox,13,legacy_top_sigma_integral_N,0.03744230257884912,1.0131171902657272,51,0.00017,0.9429994539576543,0.9429994539576543,0.0692098969218773,6.920989692187731,True
D0040,D0040_seed13_default_unitbox,13,saved_field_energy_fd_proxy_N,0.25327316239533537,1.331771600852385,4,2e-05,0.01997061881044587,0.01997061881044587,0.9850044716393833,98.50044716393833,True
D0040,D0040_seed13_default_unitbox,13,saved_field_virtual_work_proxy_N,0.05400784070670412,332.3969648776241,54,0.0002,-332.3969648776241,332.3969648776241,0.0,0.0,True
D0040,D0040_seed13_default_unitbox,13,bottom_sigma_integral_outward_N,-0.05311690276726277,1.1425736511846074,9,4.5e-05,-1.0618854026034608,1.0618854026034608,0.07061973510196913,7.061973510196913,True
D0040,D0040_seed13_default_unitbox,13,internal_cut_force_above_crack_N,0.044219042244333165,0.9003394205995543,6,3e-05,0.4242420681682143,0.4242420681682143,0.5287976306916531,52.87976306916531,True
D0040,D0040_seed42_default_unitbox,42,legacy_top_sigma_integral_N,0.037233147324741575,0.9898702673690796,51,0.00017,0.9192553796006827,0.9192553796006827,0.07133751774975543,7.133751774975543,True
D0040,D0040_seed42_default_unitbox,42,saved_field_energy_fd_proxy_N,0.25245690307156193,1.3363436392697854,4,2e-05,0.03796805019901005,0.03796805019901005,0.9715881087144944,97.15881087144945,True
D0040,D0040_seed42_default_unitbox,42,saved_field_virtual_work_proxy_N,0.054174031204676384,343.5424193535626,54,0.0002,-343.5424193535626,343.5424193535626,0.0,0.0,True
D0040,D0040_seed42_default_unitbox,42,bottom_sigma_integral_outward_N,-0.05305395666866165,1.1455959485287805,13,5.3e-05,-1.079078224795174,1.079078224795174,0.0580638608394445,5.80638608394445,True
D0040,D0040_seed42_default_unitbox,42,internal_cut_force_above_crack_N,0.044221294068150556,0.8985239498891263,7,3.5e-05,0.5867964510848745,0.5867964510848745,0.34693287679501195,34.693287679501196,True
D0020,D0020_seed7_default_unitbox,7,legacy_top_sigma_integral_N,0.03724019689017172,0.7958803769827807,31,9.5e-05,0.7899184746855936,0.7899184746855936,0.007490952748186755,0.7490952748186755,True
D0020,D0020_seed7_default_unitbox,7,saved_field_energy_fd_proxy_N,0.2529407527755034,1.3338379899113004,4,2e-05,0.01555129494667997,0.01555129494667997,0.9883409416553548,98.83409416553548,True
