group,case,seed,step,Delta,strain,metric,reaction_N,alpha0p8_through_crack
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,legacy_top_sigma_integral_N,0.03724019689017172,False
D0040,D0040_seed7_default_unitbox,7,1,5e-06,0.0005,legacy_top_sigma_integral_N,0.19506772747907813,False
D0040,D0040_seed7_default_unitbox,7,2,1e-05,0.001,legacy_top_sigma_integral_N,0.3810431370806624,False
D0040,D0040_seed7_default_unitbox,7,3,1.5e-05,0.0015,legacy_top_sigma_integral_N,0.5324371788664786,False
D0040,D0040_seed7_default_unitbox,7,4,2e-05,0.002,legacy_top_sigma_integral_N,0.6410798690604063,False
D0040,D0040_seed7_default_unitbox,7,5,2.5e-05,0.0025,legacy_top_sigma_integral_N,0.6861076338200538,False
D0040,D0040_seed7_default_unitbox,7,6,3e-05,0.003,legacy_top_sigma_integral_N,0.6936550439547586,False
D0040,D0040_seed7_default_unitbox,7,7,3.5e-05,0.0034999999999999996,legacy_top_sigma_integral_N,0.6877238004177538,False
D0040,D0040_seed7_default_unitbox,7,8,4e-05,0.004,legacy_top_sigma_integral_N,0.6701765399544242,False
D0040,D0040_seed7_default_unitbox,7,9,4.5e-05,0.0045000000000000005,legacy_top_sigma_integral_N,0.6897196215662094,False
D0040,D0040_seed7_default_unitbox,7,10,4.7e-05,0.004699999999999999,legacy_top_sigma_integral_N,0.7131088285804633,False
D0040,D0040_seed7_default_unitbox,7,11,4.9e-05,0.0049,legacy_top_sigma_integral_N,0.7150322508260157,False
D0040,D0040_seed7_default_unitbox,7,12,5.1e-05,0.0050999999999999995,legacy_top_sigma_integral_N,0.7128582664111426,False
D0040,D0040_seed7_default_unitbox,7,13,5.3e-05,0.0053,legacy_top_sigma_integral_N,0.7155696064505835,False
D0040,D0040_seed7_default_unitbox,7,14,5.5e-05,0.0055,legacy_top_sigma_integral_N,0.7072629693601249,True
D0040,D0040_seed7_default_unitbox,7,15,5.7e-05,0.0057,legacy_top_sigma_integral_N,0.704153397087716,True
D0040,D0040_seed7_default_unitbox,7,16,5.9e-05,0.0059,legacy_top_sigma_integral_N,0.6886949317820551,True
D0040,D0040_seed7_default_unitbox,7,17,6.1e-05,0.0060999999999999995,legacy_top_sigma_integral_N,0.692692500707405,True
D0040,D0040_seed7_default_unitbox,7,18,6.3e-05,0.0063,legacy_top_sigma_integral_N,0.6808298386039698,True
D0040,D0040_seed7_default_unitbox,7,19,6.5e-05,0.0065,legacy_top_sigma_integral_N,0.7012043757700963,True
D0040,D0040_seed7_default_unitbox,7,20,6.7e-05,0.0067,legacy_top_sigma_integral_N,0.7002755900550559,True
D0040,D0040_seed7_default_unitbox,7,21,6.9e-05,0.0069,legacy_top_sigma_integral_N,0.7261497185135061,True
D0040,D0040_seed7_default_unitbox,7,22,7.1e-05,0.0071,legacy_top_sigma_integral_N,0.7216868306905438,True
D0040,D0040_seed7_default_unitbox,7,23,7.3e-05,0.0073,legacy_top_sigma_integral_N,0.7347203069397402,True
D0040,D0040_seed7_default_unitbox,7,24,7.5e-05,0.007499999999999999,legacy_top_sigma_integral_N,0.7544236570216236,True
D0040,D0040_seed7_default_unitbox,7,25,7.7e-05,0.0077,legacy_top_sigma_integral_N,0.7680470429742193,True
D0040,D0040_seed7_default_unitbox,7,26,8e-05,0.008,legacy_top_sigma_integral_N,0.7712236651020162,True
D0040,D0040_seed7_default_unitbox,7,27,8.3e-05,0.0083,legacy_top_sigma_integral_N,0.7906915984136228,True
D0040,D0040_seed7_default_unitbox,7,28,8.6e-05,0.0086,legacy_top_sigma_integral_N,0.7836327985446447,True
D0040,D0040_seed7_default_unitbox,7,29,8.9e-05,0.0089,legacy_top_sigma_integral_N,0.7920156979097943,True
D0040,D0040_seed7_default_unitbox,7,30,9.2e-05,0.0092,legacy_top_sigma_integral_N,0.7920017163011058,True
D0040,D0040_seed7_default_unitbox,7,31,9.5e-05,0.0095,legacy_top_sigma_integral_N,0.7958803769827807,True
D0040,D0040_seed7_default_unitbox,7,32,9.8e-05,0.0098,legacy_top_sigma_integral_N,0.7773010326264428,True
D0040,D0040_seed7_default_unitbox,7,33,0.0001,0.01,legacy_top_sigma_integral_N,0.7899184746855936,True
D0040,D0040_seed7_default_unitbox,7,34,0.000102,0.010199999999999999,legacy_top_sigma_integral_N,0.7853725615123062,True
D0040,D0040_seed7_default_unitbox,7,35,0.000104,0.0104,legacy_top_sigma_integral_N,0.7851210021431504,True
D0040,D0040_seed7_default_unitbox,7,36,0.000106,0.0106,legacy_top_sigma_integral_N,0.8201037523245984,True
D0040,D0040_seed7_default_unitbox,7,37,0.000108,0.010799999999999999,legacy_top_sigma_integral_N,0.7978046941848906,True
D0040,D0040_seed7_default_unitbox,7,38,0.00011,0.011,legacy_top_sigma_integral_N,0.8686503545665113,True
D0040,D0040_seed7_default_unitbox,7,39,0.000112,0.0112,legacy_top_sigma_integral_N,0.883328128042474,True
D0040,D0040_seed7_default_unitbox,7,40,0.000115,0.0115,legacy_top_sigma_integral_N,0.8531762138052142,True
D0040,D0040_seed7_default_unitbox,7,41,0.000118,0.0118,legacy_top_sigma_integral_N,0.9313885336544527,True
D0040,D0040_seed7_default_unitbox,7,42,0.00012,0.012,legacy_top_sigma_integral_N,0.9059424364425941,True
D0040,D0040_seed7_default_unitbox,7,43,0.000125,0.0125,legacy_top_sigma_integral_N,0.9152429867943465,True
D0040,D0040_seed7_default_unitbox,7,44,0.00013,0.013,legacy_top_sigma_integral_N,0.8858057874147454,True
D0040,D0040_seed7_default_unitbox,7,45,0.000135,0.0135,legacy_top_sigma_integral_N,0.9419055049257212,True
D0040,D0040_seed7_default_unitbox,7,46,0.00014,0.013999999999999999,legacy_top_sigma_integral_N,0.931469931036719,True
D0040,D0040_seed7_default_unitbox,7,47,0.000145,0.014499999999999999,legacy_top_sigma_integral_N,0.9554738527531481,True
D0040,D0040_seed7_default_unitbox,7,48,0.00015,0.014999999999999998,legacy_top_sigma_integral_N,0.8801520975021182,True
D0040,D0040_seed7_default_unitbox,7,49,0.000155,0.0155,legacy_top_sigma_integral_N,0.8762546454148221,True
D0040,D0040_seed7_default_unitbox,7,50,0.00016,0.016,legacy_top_sigma_integral_N,0.9322794341513233,True
D0040,D0040_seed7_default_unitbox,7,51,0.00017,0.017,legacy_top_sigma_integral_N,0.9298018151559574,True
D0040,D0040_seed7_default_unitbox,7,52,0.00018,0.018000000000000002,legacy_top_sigma_integral_N,0.9497928883166102,True
D0040,D0040_seed7_default_unitbox,7,53,0.00019,0.019,legacy_top_sigma_integral_N,0.9684229232080865,True
D0040,D0040_seed7_default_unitbox,7,54,0.0002,0.02,legacy_top_sigma_integral_N,0.9327040022643978,True
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,saved_field_energy_fd_proxy_N,0.2529407527755034,False
D0040,D0040_seed7_default_unitbox,7,1,5e-06,0.0005,saved_field_energy_fd_proxy_N,0.42058675928369954,False
D0040,D0040_seed7_default_unitbox,7,2,1e-05,0.001,saved_field_energy_fd_proxy_N,0.8199533457681762,False
D0040,D0040_seed7_default_unitbox,7,3,1.5e-05,0.0015,saved_field_energy_fd_proxy_N,1.158663281060197,False
D0040,D0040_seed7_default_unitbox,7,4,2e-05,0.002,saved_field_energy_fd_proxy_N,1.3338379899113004,False
D0040,D0040_seed7_default_unitbox,7,5,2.5e-05,0.0025,saved_field_energy_fd_proxy_N,1.3224565307411633,False
D0040,D0040_seed7_default_unitbox,7,6,3e-05,0.003,saved_field_energy_fd_proxy_N,1.1702045918102364,False
D0040,D0040_seed7_default_unitbox,7,7,3.5e-05,0.0034999999999999996,saved_field_energy_fd_proxy_N,0.8801741061312904,False
D0040,D0040_seed7_default_unitbox,7,8,4e-05,0.004,saved_field_energy_fd_proxy_N,0.4927408603002015,False
D0040,D0040_seed7_default_unitbox,7,9,4.5e-05,0.0045000000000000005,saved_field_energy_fd_proxy_N,0.10614402993354248,False
D0040,D0040_seed7_default_unitbox,7,10,4.7e-05,0.004699999999999999,saved_field_energy_fd_proxy_N,-0.01823949092681111,False
D0040,D0040_seed7_default_unitbox,7,11,4.9e-05,0.0049,saved_field_energy_fd_proxy_N,-0.15061443841029448,False
D0040,D0040_seed7_default_unitbox,7,12,5.1e-05,0.0050999999999999995,saved_field_energy_fd_proxy_N,-0.3202980915640169,False
D0040,D0040_seed7_default_unitbox,7,13,5.3e-05,0.0053,saved_field_energy_fd_proxy_N,-0.3962776814245249,False
D0040,D0040_seed7_default_unitbox,7,14,5.5e-05,0.0055,saved_field_energy_fd_proxy_N,-0.25567347467117874,True
D0040,D0040_seed7_default_unitbox,7,15,5.7e-05,0.0057,saved_field_energy_fd_proxy_N,-0.23737530417944874,True
D0040,D0040_seed7_default_unitbox,7,16,5.9e-05,0.0059,saved_field_energy_fd_proxy_N,-0.31032832325581305,True
D0040,D0040_seed7_default_unitbox,7,17,6.1e-05,0.0060999999999999995,saved_field_energy_fd_proxy_N,-0.19605453589022562,True
D0040,D0040_seed7_default_unitbox,7,18,6.3e-05,0.0063,saved_field_energy_fd_proxy_N,-0.2824903417332006,True
D0040,D0040_seed7_default_unitbox,7,19,6.5e-05,0.0065,saved_field_energy_fd_proxy_N,-0.3344213684007991,True
D0040,D0040_seed7_default_unitbox,7,20,6.7e-05,0.0067,saved_field_energy_fd_proxy_N,-0.18029700910343616,True
