group,case,seed,step,Delta,strain,mechanics_current_energy_proxy,history_elastic_energy_proxy,fracture_energy_proxy,saved_field_energy_fd_proxy_N,saved_field_history_energy_fd_proxy_N,saved_field_virtual_work_proxy_N,legacy_top_sigma_integral_N,alpha0p8_through_crack,method,exact_autograd_available
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,3.601863236485423e-11,3.601863236485423e-11,1.2220206359406058e-15,0.2529407527755034,0.25294075294133245,0.054218956884240346,0.03724019689017172,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,1,5e-06,0.0005,1.047781643466868e-09,1.0477816441301843e-09,1.7352510198614273e-12,0.42058675928369954,0.42058677792823324,0.2691335371272752,0.19506772747907813,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,2,1e-05,0.001,4.198502980561592e-09,4.198503189939481e-09,4.454600460306163e-11,0.8199533457681762,0.819953602151375,0.5298277181035735,0.3810431370806624,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,3,1.5e-05,0.0015,9.247315101148629e-09,9.247317665643932e-09,2.299145187486273e-10,1.158663281060197,1.1586650799814828,0.7674337640095772,0.5324371788664786,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,4,2e-05,0.002,1.5785135791163563e-08,1.578515398975431e-08,7.727337203725058e-10,1.3338379899113004,1.3352057528920356,0.9621470715869966,0.6410798690604063,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,5,2.5e-05,0.0025,2.2585695000261637e-08,2.259937519456429e-08,2.4414483802992027e-09,1.3224565307411633,1.331389447763788,0.9398889472767191,0.6861076338200538,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,6,3e-05,0.003,2.9009701098575193e-08,2.9099048467392188e-08,5.042766028636881e-09,1.1702045918102364,1.1961606896744459,0.4658370625149415,0.6936550439547586,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,7,3.5e-05,0.0034999999999999996,3.428774091836399e-08,3.456098209130874e-08,8.575085560321367e-09,0.8801741061312904,0.924469464430477,-0.7361010087978155,0.6877238004177538,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,8,4e-05,0.004,3.781144215988809e-08,3.8343743111696954e-08,1.2775909237514663e-08,0.4927408603002015,0.5625931098569747,-2.9465785305114482,0.6701765399544242,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,9,4.5e-05,0.0045000000000000005,3.921514952136602e-08,4.018691318987849e-08,1.7172602468919034e-08,0.10614402993354248,0.21033971591893214,-6.195500022566741,0.6897196215662094,False,saved_field_proxy,False
