step,Delta,Delta_s,engineering_shear_strain,checkpoint,reaction_metric_status,is_energy_conjugate,history_source,checkpoint_exists,field_npz_exists
0,1e-06,1e-06,0.0001,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,energy_conjugate,True,zero_initial_history,True,True
1,3e-06,3e-06,0.0003,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,energy_conjugate,True,checkpoint_step_0000_post_history,True,True
2,5e-06,5e-06,0.0005,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,energy_conjugate,True,checkpoint_step_0001_post_history,True,True
3,7e-06,7e-06,0.0007,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,energy_conjugate,True,checkpoint_step_0002_post_history,True,True
4,1e-05,1e-05,0.001,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,energy_conjugate,True,checkpoint_step_0003_post_history,True,True
5,1.2e-05,1.2e-05,0.0012,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,energy_conjugate,True,checkpoint_step_0004_post_history,True,True
6,1.5e-05,1.5e-05,0.0015,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,energy_conjugate,True,checkpoint_step_0005_post_history,True,True
7,1.7e-05,1.7e-05,0.0017,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,energy_conjugate,True,checkpoint_step_0006_post_history,True,True
8,2e-05,2e-05,0.002,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,energy_conjugate,True,checkpoint_step_0007_post_history,True,True
9,2.2e-05,2.2e-05,0.0021999999999999,outputs\checkpoints\seed23_S0050_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,energy_conjugate,True,checkpoint_step_0008_post_history,True,True
