cuda
mixedH_TM idx: 0; displacement: 1e-06
mixedH_TM idx: 1; displacement: 5e-06
mixedH_TM idx: 2; displacement: 1e-05
mixedH_TM idx: 3; displacement: 1.5e-05
mixedH_TM idx: 4; displacement: 2e-05
mixedH_TM idx: 5; displacement: 2.5e-05
mixedH_TM idx: 6; displacement: 3e-05
mixedH_TM idx: 7; displacement: 3.5e-05
mixedH_TM idx: 8; displacement: 4e-05
mixedH_TM idx: 9; displacement: 4.5e-05
mixedH_TM idx: 10; displacement: 4.7e-05
mixedH_TM idx: 11; displacement: 4.9e-05
mixedH_TM idx: 12; displacement: 5.1e-05
mixedH_TM idx: 13; displacement: 5.3e-05
mixedH_TM idx: 14; displacement: 5.5e-05
mixedH_TM idx: 15; displacement: 5.7e-05
mixedH_TM idx: 16; displacement: 5.9e-05
mixedH_TM idx: 17; displacement: 6.1e-05
mixedH_TM idx: 18; displacement: 6.3e-05
mixedH_TM idx: 19; displacement: 6.5e-05
mixedH_TM idx: 20; displacement: 6.7e-05
mixedH_TM idx: 21; displacement: 6.9e-05
mixedH_TM idx: 22; displacement: 7.1e-05
mixedH_TM idx: 23; displacement: 7.3e-05
mixedH_TM idx: 24; displacement: 7.5e-05
mixedH_TM idx: 25; displacement: 7.7e-05
mixedH_TM idx: 26; displacement: 8e-05
mixedH_TM idx: 27; displacement: 8.3e-05
mixedH_TM idx: 28; displacement: 8.6e-05
mixedH_TM idx: 29; displacement: 8.9e-05
mixedH_TM idx: 30; displacement: 9.2e-05
mixedH_TM idx: 31; displacement: 9.5e-05
mixedH_TM idx: 32; displacement: 9.8e-05
mixedH_TM idx: 33; displacement: 0.0001
