seed,step,Delta,strain,checkpoint,history_source,R_energy_exact_N,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,mechanics_current_energy_kNmm,history_elastic_energy_kNmm,phase_history_total_energy_kNmm,legacy_top_sigma_integral_N,saved_field_legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,alpha_mean,alpha_max,saved_field_alpha_max,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span
7,0,1e-06,9.999999999999999e-05,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,zero_initial_history,0.07881747296778485,3.6019857235780606e-11,3.601863599045352e-11,1.2219859515209277e-15,3.601863599045352e-11,3.601863599045352e-11,3.588782743202401e-11,0.03724021436782092,0.03724019689017172,-0.05304534837360302,0.04414117644622922,0.04795758991699677,145,155,0.03335038827103958,-3.467350688879378e-05,0.00014440219092648476,0.00014446179557126015,False,0,,,,0.0
7,1,5e-06,0.0005,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,checkpoint_step_0000_post_history,0.427455612225458,1.0495170288393751e-09,1.047781750251886e-09,1.7352423751365587e-12,1.047781750251886e-09,1.047781750251886e-09,1.0482730239402827e-09,0.19506778017232757,0.19506772747907813,-0.2679494022513191,0.23118893645020147,0.2514440604316533,145,155,0.15846932025424704,0.0006527907098643482,0.004004240036010742,0.0040043992921710014,False,0,,,,0.0
7,2,1e-05,0.001,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,checkpoint_step_0001_post_history,0.8481868426315486,4.2430494673340036e-09,4.1985037668723635e-09,4.45459086284572e-11,4.198503322783154e-09,4.1985037668723635e-09,4.2399310729024364e-09,0.3810433901310059,0.3810431370806624,-0.522998640568203,0.4483132305686858,0.48905099250530637,145,155,0.33590844012938154,0.005827195942401886,0.04065032675862312,0.040650349110364914,False,0,,,,0.0
7,3,1.5e-05,0.0015,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,checkpoint_step_0002_post_history,1.2412937358021736,9.477233220422931e-09,9.247318466520937e-09,2.2991458736854042e-10,9.247316690164098e-09,9.247318466520937e-09,9.47110834204068e-09,0.5324380757206686,0.5324371788664786,-0.7531592955984968,0.637770199634203,0.6986473701888352,145,155,0.5034525174087706,0.013314236886799335,0.12968690693378448,0.12968692183494568,False,0,,,,0.0
7,4,2e-05,0.002,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,checkpoint_step_0003_post_history,1.5864964807406068,1.6557889281898497e-08,1.5785154516834154e-08,7.727340989305276e-10,1.578513675326576e-08,1.5785154516834154e-08,1.6548007408800913e-08,0.6410805090381484,0.6410798690604063,-0.9418791487176068,0.7828075967338289,0.866577783386345,145,155,0.5985593497743988,0.023987332358956337,0.3391522467136383,0.33915194869041443,False,0,,,,0.0
7,5,2.5e-05,0.0025,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,checkpoint_step_0004_post_history,1.7821155488491058,2.5040824525035532e-08,2.2599378368681755e-08,2.441446822487592e-09,2.2585696868304694e-08,2.2599378368681755e-08,2.5030013617310942e-08,0.6861086093039972,0.6861076338200538,-1.0552538973235857,0.8613452867637285,0.9776652748717819,145,152,0.5619013495904753,0.03892142325639725,0.8747785687446594,0.8747787475585938,False,7,0.005021084565669298,0.005142071284353733,0.0049947284694228855,0.00012098671868443489
7,6,3e-05,0.003,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,checkpoint_step_0005_post_history,1.8339642556384206,3.4141816485089294e-08,2.9099048504122038e-08,5.042767092788836e-09,2.9009701307813884e-08,2.9099048504122038e-08,3.413563831600186e-08,0.6936558486752507,0.6936550439547586,-1.1198192161998273,0.8822925314912595,1.0474287747763096,146,160,0.47742603222930563,0.05440732091665268,1.0001996755599976,1.000199794769287,False,22,0.005021084565669298,0.005522225517779589,0.005008517955006523,0.0005011409521102905
7,7,3.5e-05,0.0034999999999999996,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,checkpoint_step_0006_post_history,1.731373369693756,4.3136068939020333e-08,3.456098340848257e-08,8.575084642359343e-09,3.4287740646732345e-08,3.456098340848257e-08,4.31326725447434e-08,0.6877228886408776,0.6877238004177538,-1.1406299528019412,0.8735689643427342,1.0576028251513538,148,156,0.507333029304263,0.06987661123275757,1.0004754066467285,1.0004754066467285,False,40,0.005021084565669298,0.0061364322900772095,0.005027746956329793,0.0011153477244079113
7,8,4e-05,0.004,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,checkpoint_step_0007_post_history,1.4293116983026266,5.1119652511033564e-08,3.834374595612644e-08,1.2775907443085543e-08,3.781144286563176e-08,3.834374595612644e-08,5.111596479423497e-08,0.6701752462756956,0.6701765399544242,-1.1406655473392364,0.7904819644184224,1.0065066348218594,148,152,0.8287639256376501,0.08503485471010208,1.0007818937301636,1.0007818937301636,False,62,0.005021084565669298,0.006823498290032148,0.005042375065386295,0.0018024137243628502
7,9,4.5e-05,0.0045000000000000005,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,checkpoint_step_0008_post_history,1.0070409625768661,5.7359518024213685e-08,4.018691512897021e-08,1.7172602895243472e-08,3.9215159119976306e-08,4.018691512897021e-08,5.7356682958698e-08,0.6897184049308401,0.6897196215662094,-1.140980001588766,0.696312564080353,0.9117016860848027,147,151,1.341495760201948,0.0980919674038887,1.000997543334961,1.000997543334961,False,92,0.005021084565669298,0.00791241880506277,0.005051495001205932,0.0028913342393934727
