seed,step,Delta,eps,R_energy_exact_N,R_fd_N,fd_abs_error_N,fd_rel_error,branch_flip_I_plus_fraction,branch_flip_I_minus_fraction,branch_flip_II_plus_fraction,branch_flip_II_minus_fraction,max_branch_flip_fraction,branch_stable,status
7,0,1e-06,1e-09,0.07881747296778485,0.07880848751362635,8.98545415850549e-06,0.0001140033271832773,0.0,0.0,0.0,0.0,0.0,True,computed
7,0,1e-06,5e-09,0.07881747296778485,0.07879460972581853,2.2863241966319947e-05,0.00029007834310629146,0.0,0.0,0.0,0.0,0.0,True,computed
7,0,1e-06,1e-08,0.07881747296778485,0.0787894055553906,2.806741239425037e-05,0.00035610647407742176,0.0,0.0,0.0,0.0,0.0,True,computed
7,0,1e-06,5e-08,0.07881747296778485,0.07876192753553113,5.554543225372299e-05,0.0007047350056049898,0.0,0.0,0.0,0.0,0.0,True,computed
7,0,1e-06,1e-07,0.07881747296778485,0.07874004399888168,7.742896890317041e-05,0.0009823832963385929,0.0,0.0,0.0,0.0,0.0,True,computed
7,0,1e-06,5e-07,0.07881747296778485,0.07857436923330852,0.00024310373447633538,0.0030843888458045262,0.0,0.0,0.0,0.0,0.0,True,computed
7,0,1e-06,1e-06,0.07881747296778485,0.07947635605187742,0.0006588830840925652,0.00835960681411178,0.0,1.0,0.0,1.0,1.0,False,computed
7,1,5e-06,1e-09,0.427455612225458,0.42743586448068527,1.974774477275787e-05,4.619835184744768e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,1,5e-06,5e-09,0.427455612225458,0.4274469667109315,8.645514526506304e-06,2.0225525830612553e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,1,5e-06,1e-08,0.427455612225458,0.4274636200563009,8.007830842871044e-06,1.8733713194640144e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,1,5e-06,5e-08,0.427455612225458,0.42742587247346364,2.9739751994384278e-05,6.95738952625993e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,1,5e-06,1e-07,0.427455612225458,0.42741754580077895,3.806642467907295e-05,8.905351477522565e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,1,5e-06,5e-07,0.427455612225458,0.4274080533939184,4.755883153961804e-05,0.00011126028101961969,0.00018480872677173465,0.0003696174535434693,0.00018480872677173465,0.0,0.0003696174535434693,True,computed
7,1,5e-06,1e-06,0.427455612225458,0.42740508354732754,5.0528678130490334e-05,0.00011820801197912309,0.00018480872677173465,0.0007392349070869386,0.0003696174535434693,0.0005544261657632887,0.0007392349070869386,True,computed
7,2,1e-05,1e-09,0.8481868426315486,0.8484324354185446,0.0002455927869959851,0.00028955033802931826,0.0,0.0,0.0,0.0,0.0,True,computed
7,2,1e-05,5e-09,0.8481868426315486,0.8482103908136196,2.354818207095377e-05,2.7762965525254054e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,2,1e-05,1e-08,0.8481868426315486,0.8481437774321421,4.306519940655562e-05,5.0773246225965205e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,2,1e-05,5e-08,0.8481868426315486,0.8481881863531271,1.3437215784506407e-06,1.5842282748476348e-06,0.0,0.0,0.0,0.0,0.0,True,computed
7,2,1e-05,1e-07,0.8481868426315486,0.8481793045689301,7.538062618550612e-06,8.887266625314934e-06,0.0,0.0,0.0,0.0,0.0,True,computed
7,2,1e-05,5e-07,0.8481868426315486,0.8481486624134504,3.818021809820493e-05,4.501392403087579e-05,0.00018480872677173465,0.0003696174535434693,0.0,0.00018480872677173465,0.0003696174535434693,True,computed
7,2,1e-05,1e-06,0.8481868426315486,0.8481290114659146,5.78311656340702e-05,6.818210649748548e-05,0.0005544261657632887,0.0009240435902029276,0.0005544261657632887,0.0007392349070869386,0.0009240435902029276,True,computed
7,3,1.5e-05,1e-09,1.2412937358021736,1.241229341530925,6.439427124860231e-05,5.187673907577416e-05,0.0,0.0,0.0,0.0,0.0,True,computed
7,3,1.5e-05,5e-09,1.2412937358021736,1.241140523688955,0.00015321211321861483,0.00012342937759176158,0.0,0.0,0.0,0.0,0.0,True,computed
7,3,1.5e-05,1e-08,1.2412937358021736,1.241318159372895,2.4423570721410215e-05,1.967589944021326e-05,0.00018480872677173465,0.0,0.0,0.0,0.00018480872677173465,True,computed
7,3,1.5e-05,5e-08,1.2412937358021736,1.241291514020304,2.221781869593542e-06,1.789892114582966e-06,0.00018480872677173465,0.0,0.0,0.00018480872677173465,0.00018480872677173465,True,computed
7,3,1.5e-05,1e-07,1.2412937358021736,1.2413137184807965,1.998267862290959e-05,1.609826751441389e-05,0.0003696174535434693,0.0,0.0,0.00018480872677173465,0.0003696174535434693,True,computed
7,3,1.5e-05,5e-07,1.2412937358021736,1.2412879613066252,5.774495548394043e-06,4.651997655222463e-06,0.0011088523315265775,0.0011088523315265775,0.0005544261657632887,0.002032896038144827,0.002032896038144827,False,computed
7,3,1.5e-05,1e-06,1.2412937358021736,1.2412790795224282,1.4656279745395295e-05,1.1807261506821205e-05,0.0012936610728502274,0.0029569396283477545,0.0014784698141738772,0.00443540932610631,0.00443540932610631,False,computed
7,4,2e-05,1e-09,1.5864964807406068,1.5862866575844237,0.00020982315618311986,0.00013225567073755525,0.0,0.0,0.0,0.00018480872677173465,0.00018480872677173465,True,computed
7,4,2e-05,5e-09,1.5864964807406068,1.5866419289523037,0.00014544821169693023,9.167887446496712e-05,0.00018480872677173465,0.0,0.0,0.00018480872677173465,0.00018480872677173465,True,computed
7,4,2e-05,1e-08,1.5864964807406068,1.5864642932683637,3.218747224309482e-05,2.0288398136294064e-05,0.00018480872677173465,0.00018480872677173465,0.00018480872677173465,0.0003696174535434693,0.0003696174535434693,True,computed
7,4,2e-05,5e-08,1.5864964807406068,1.5864998204051517,3.3396645449101925e-06,2.1050563839581754e-06,0.0007392349070869386,0.0007392349070869386,0.00018480872677173465,0.0005544261657632887,0.0007392349070869386,True,computed
7,4,2e-05,1e-07,1.5864964807406068,1.5864820568367577,1.4423903849092312e-05,9.091670876167944e-06,0.0011088523315265775,0.002032896038144827,0.0003696174535434693,0.0018480871804058552,0.002032896038144827,False,computed
7,4,2e-05,5e-07,1.5864964807406068,1.5864678459820425,2.8634758564294316e-05,1.804905268426884e-05,0.0025873221457004547,0.005359453149139881,0.002402513287961483,0.006468305364251137,0.006468305364251137,False,computed
