seed,step,load_case,Delta_s,engineering_shear_strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,reaction_metric_status,is_energy_conjugate,nominal_shear_stress_energy_MPa,nominal_shear_stress_virtual_work_MPa,reaction_N_energy,reaction_N_virtual_work,alpha0p8_through_crack,Delta,strain,checkpoint,history_source,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span
23,0,shear,1e-06,0.0001,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,0.4937207449984271,,0.0049372074499842,,False,1e-06,0.0001,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,zero_initial_history,2.402915323315713e-12,2.3955351591276038e-12,7.380146400416936e-15,0,,,,0.0
23,1,shear,3e-06,0.0003,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,1.6408048395533117,,0.0164080483955331,,False,3e-06,0.0003,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,checkpoint_step_0000_post_history,2.364601917048681e-11,2.3637208509952323e-11,8.811117085244773e-15,0,,,,0.0
23,2,shear,5e-06,0.0005,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,2.8319022021605638,,0.0283190220216056,,False,5e-06,0.0005,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,checkpoint_step_0001_post_history,6.835085969436605e-11,6.833585780574579e-11,1.5000021759631682e-14,0,,,,0.0
23,3,shear,7e-06,0.0007,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,4.020471533294767,,0.0402047153329476,,False,7e-06,0.0007,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,checkpoint_step_0002_post_history,1.3688247757492888e-10,1.3683777722039991e-10,4.470335980186722e-14,0,,,,0.0
23,4,shear,1e-05,0.001,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,5.796105688204989,,0.0579610568820498,,False,1e-05,0.001,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,checkpoint_step_0003_post_history,2.8405733321079646e-10,2.8387547867936286e-10,1.8185194290091386e-13,0,,,,0.0
23,5,shear,1.2e-05,0.0012,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,6.975625001359731,,0.0697562500135973,,False,1.2e-05,0.0012,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,checkpoint_step_0004_post_history,4.1173206510869415e-10,4.1131459349585953e-10,4.1747757594662326e-13,0,,,,0.0
23,6,shear,1.5e-05,0.0015,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,8.7407672253903,,0.087407672253903,,False,1.5e-05,0.0015,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,checkpoint_step_0005_post_history,6.475331937316753e-10,6.463127255607047e-10,1.2204681709704346e-12,0,,,,0.0
23,7,shear,1.7e-05,0.0017,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,9.90707630990073,,0.0990707630990073,,False,1.7e-05,0.0017,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,checkpoint_step_0006_post_history,8.339702817217186e-10,8.318622457537116e-10,2.108062422540025e-12,0,,,,0.0
23,8,shear,2e-05,0.002,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,11.645631457213312,,0.1164563145721331,,False,2e-05,0.002,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,checkpoint_step_0007_post_history,1.1569415425682903e-09,1.1524436960286264e-09,4.497900749772521e-12,0,,,,0.0
23,9,shear,2.2e-05,0.0021999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,12.793457426596431,,0.1279345742659643,,False,2.2e-05,0.0021999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,checkpoint_step_0008_post_history,1.401832760983268e-09,1.394939719290278e-09,6.893011769010249e-12,0,,,,0.0
